time_stamp,pm2.5_atm
2023-12-19T12:00:00-05:00,1.2
2023-12-19T13:00:00-05:00,1.2
2023-12-19T14:00:00-05:00,2.1
2023-12-19T15:00:00-05:00,2.7
2023-12-19T16:00:00-05:00,3
2023-12-19T17:00:00-05:00,3.1
2023-12-19T18:00:00-05:00,3.6
2023-12-19T19:00:00-05:00,5.6
2023-12-19T20:00:00-05:00,6
2023-12-19T21:00:00-05:00,5.4
2023-12-19T22:00:00-05:00,6.2
2023-12-19T23:00:00-05:00,6.7
2023-12-20T00:00:00-05:00,8.2
2023-12-20T01:00:00-05:00,9.8
2023-12-20T02:00:00-05:00,10.9
2023-12-20T03:00:00-05:00,10.6
2023-12-20T04:00:00-05:00,9.2
2023-12-20T05:00:00-05:00,15.2
2023-12-20T06:00:00-05:00,19.1
2023-12-20T07:00:00-05:00,19.9
2023-12-20T08:00:00-05:00,23.6
2023-12-20T09:00:00-05:00,16.4
2023-12-20T10:00:00-05:00,12.3
2023-12-20T11:00:00-05:00,8.9
2023-12-20T12:00:00-05:00,7.9
2023-12-20T13:00:00-05:00,6.3
2023-12-20T14:00:00-05:00,4.1
2023-12-20T15:00:00-05:00,3.8
2023-12-20T16:00:00-05:00,3.9
2023-12-20T17:00:00-05:00,4.9
2023-12-20T18:00:00-05:00,5.9
2023-12-20T19:00:00-05:00,6.6
2023-12-20T20:00:00-05:00,7.6
2023-12-20T21:00:00-05:00,8.7
2023-12-20T22:00:00-05:00,10.1
2023-12-20T23:00:00-05:00,10.9
2023-12-21T00:00:00-05:00,10.5
2023-12-21T01:00:00-05:00,11.8
2023-12-21T02:00:00-05:00,12.7
2023-12-21T03:00:00-05:00,13.5
2023-12-21T04:00:00-05:00,14.3
2023-12-21T05:00:00-05:00,15.4
2023-12-21T06:00:00-05:00,15.1
2023-12-21T07:00:00-05:00,15.7
2023-12-21T08:00:00-05:00,15.1
2023-12-21T09:00:00-05:00,16.4
2023-12-21T10:00:00-05:00,17.6
2023-12-21T11:00:00-05:00,17.3
2023-12-21T12:00:00-05:00,14.7
2023-12-21T13:00:00-05:00,15.3
2023-12-21T14:00:00-05:00,13.3
2023-12-21T15:00:00-05:00,10.3
2023-12-21T16:00:00-05:00,12.3
2023-12-21T17:00:00-05:00,12.2
2023-12-21T18:00:00-05:00,13.1
2023-12-21T19:00:00-05:00,16.1
2023-12-21T20:00:00-05:00,17.7
2023-12-21T21:00:00-05:00,20.1
2023-12-21T22:00:00-05:00,20.1
2023-12-21T23:00:00-05:00,21.8
2023-12-22T00:00:00-05:00,22.1
2023-12-22T01:00:00-05:00,22.3
2023-12-22T02:00:00-05:00,21.4
2023-12-22T03:00:00-05:00,21.5
2023-12-22T04:00:00-05:00,21.5
