time_stamp,pm2.5_atm
2023-10-01T00:00:00+00:00,1.2
2023-10-01T01:00:00+00:00,1.5
2023-10-01T02:00:00+00:00,2.0
2023-10-01T03:00:00+00:00,4.6
2023-10-01T04:00:00+00:00,6.0
2023-10-01T05:00:00+00:00,5.9
2023-10-01T06:00:00+00:00,6.8
2023-10-01T07:00:00+00:00,8.3
2023-10-01T08:00:00+00:00,22.1
2023-10-01T09:00:00+00:00,22.0
2023-10-01T10:00:00+00:00,15.5
2023-10-01T11:00:00+00:00,13.3
2023-10-01T12:00:00+00:00,14.6
2023-10-01T13:00:00+00:00,15.6
2023-10-01T14:00:00+00:00,17.0
2023-10-01T15:00:00+00:00,20.7
2023-10-01T16:00:00+00:00,18.1
2023-10-01T17:00:00+00:00,17.3
2023-10-01T18:00:00+00:00,16.9
2023-10-01T19:00:00+00:00,13.4
2023-10-01T20:00:00+00:00,11.1
2023-10-01T21:00:00+00:00,8.3
2023-10-01T22:00:00+00:00,6.5
2023-10-01T23:00:00+00:00,5.7
2023-10-02T00:00:00+00:00,5.4
2023-10-02T01:00:00+00:00,6.7
2023-10-02T02:00:00+00:00,11.9
2023-10-02T03:00:00+00:00,14.0
2023-10-02T04:00:00+00:00,12.8
2023-10-02T05:00:00+00:00,11.6
2023-10-02T06:00:00+00:00,10.0
2023-10-02T07:00:00+00:00,14.9
2023-10-02T08:00:00+00:00,15.2
2023-10-02T09:00:00+00:00,10.7
2023-10-02T10:00:00+00:00,9.4
2023-10-02T11:00:00+00:00,9.1
2023-10-02T12:00:00+00:00,9.5
2023-10-02T13:00:00+00:00,10.5
2023-10-02T14:00:00+00:00,12.7
2023-10-02T15:00:00+00:00,14.7
2023-10-02T16:00:00+00:00,18.2
2023-10-02T17:00:00+00:00,16.4
2023-10-02T18:00:00+00:00,13.5
2023-10-02T19:00:00+00:00,9.5
2023-10-02T20:00:00+00:00,6.7
2023-10-02T21:00:00+00:00,5.7
2023-10-02T22:00:00+00:00,5.3
2023-10-02T23:00:00+00:00,6.5
2023-10-03T00:00:00+00:00,5.4
2023-10-03T01:00:00+00:00,5.4
2023-10-03T02:00:00+00:00,7.9
2023-10-03T03:00:00+00:00,9.5
2023-10-03T04:00:00+00:00,7.8
2023-10-03T05:00:00+00:00,7.8
2023-10-03T06:00:00+00:00,8.4
2023-10-03T07:00:00+00:00,8.8
2023-10-03T08:00:00+00:00,9.2
2023-10-03T09:00:00+00:00,10.0
2023-10-03T10:00:00+00:00,10.7
2023-10-03T11:00:00+00:00,12.1
2023-10-03T12:00:00+00:00,14.7
2023-10-03T13:00:00+00:00,17.9
2023-10-03T14:00:00+00:00,21.4
2023-10-03T15:00:00+00:00,32.8
2023-10-03T16:00:00+00:00,26.4
2023-10-03T17:00:00+00:00,22.0
2023-10-03T18:00:00+00:00,19.5
2023-10-03T19:00:00+00:00,16.0
2023-10-03T20:00:00+00:00,14.9
2023-10-03T21:00:00+00:00,9.6
2023-10-03T22:00:00+00:00,7.2
2023-10-03T23:00:00+00:00,6.7
2023-10-04T00:00:00+00:00,7.8
2023-10-04T01:00:00+00:00,8.6
2023-10-04T02:00:00+00:00,10.7
2023-10-04T03:00:00+00:00,13.1
2023-10-04T04:00:00+00:00,13.9
2023-10-04T05:00:00+00:00,14.8
2023-10-04T06:00:00+00:00,15.5
2023-10-04T07:00:00+00:00,15.6
2023-10-04T08:00:00+00:00,16.2
2023-10-04T09:00:00+00:00,17.8
2023-10-04T10:00:00+00:00,17.2
2023-10-04T11:00:00+00:00,18.6
2023-10-04T12:00:00+00:00,18.2
2023-10-04T13:00:00+00:00,17.5
2023-10-04T14:00:00+00:00,17.7
2023-10-04T15:00:00+00:00,21.4
2023-10-04T16:00:00+00:00,21.6
2023-10-04T17:00:00+00:00,19.4
2023-10-04T18:00:00+00:00,19.3
2023-10-04T19:00:00+00:00,14.1
2023-10-04T20:00:00+00:00,12.3
2023-10-04T21:00:00+00:00,9.8
2023-10-04T22:00:00+00:00,6.5
2023-10-04T23:00:00+00:00,6.4
2023-10-05T00:00:00+00:00,6.0
2023-10-05T01:00:00+00:00,7.2
2023-10-05T02:00:00+00:00,8.8
2023-10-05T03:00:00+00:00,11.4
2023-10-05T04:00:00+00:00,12.9
2023-10-05T05:00:00+00:00,14.4
2023-10-05T06:00:00+00:00,15.3
2023-10-05T07:00:00+00:00,14.6
2023-10-05T08:00:00+00:00,14.2
2023-10-05T09:00:00+00:00,16.4
2023-10-05T10:00:00+00:00,18.4
2023-10-05T11:00:00+00:00,17.4
2023-10-05T12:00:00+00:00,16.7
2023-10-05T13:00:00+00:00,16.1
2023-10-05T14:00:00+00:00,15.2
2023-10-05T15:00:00+00:00,16.5
2023-10-05T16:00:00+00:00,20.0
2023-10-05T17:00:00+00:00,17.6
2023-10-05T18:00:00+00:00,14.8
2023-10-05T19:00:00+00:00,17.0
2023-10-05T20:00:00+00:00,16.1
2023-10-05T21:00:00+00:00,10.3
2023-10-05T22:00:00+00:00,6.9
2023-10-05T23:00:00+00:00,7.8
2023-10-06T00:00:00+00:00,8.5
2023-10-06T01:00:00+00:00,9.2
2023-10-06T02:00:00+00:00,12.2
2023-10-06T03:00:00+00:00,15.8
2023-10-06T04:00:00+00:00,17.1
