time,u10,v10
2023-10-01T00:00,0.995,-0.806
2023-10-01T01:00,1.192,-1.908
2023-10-01T02:00,1.318,-2.194
2023-10-01T03:00,1.989,-1.611
2023-10-01T04:00,0.806,-2.101
2023-10-01T05:00,2.388,-2.306
2023-10-01T06:00,2.681,-3.311
2023-10-01T07:00,1.116,-2.393
2023-10-01T08:00,1.087,-1.809
2023-10-01T09:00,1.104,-0.894
2023-10-01T10:00,-1.204,-0.695
2023-10-01T11:00,-0.100,-0.000
2023-10-01T12:00,0.597,-0.403
2023-10-01T13:00,0.301,-0.399
2023-10-01T14:00,-0.895,0.399
2023-10-01T15:00,-0.195,0.599
2023-10-01T16:00,-0.400,1.099
2023-10-01T17:00,-0.402,1.403
2023-10-01T18:00,0.284,2.705
2023-10-01T19:00,0.508,2.202
2023-10-01T20:00,0.806,0.995
2023-10-01T21:00,1.296,-0.299
2023-10-01T22:00,1.997,-0.105
2023-10-01T23:00,1.504,-0.702
2023-10-02T00:00,1.096,-1.403
2023-10-02T01:00,1.797,-1.404
2023-10-02T02:00,2.199,-0.800
2023-10-02T03:00,1.103,-1.103
2023-10-02T04:00,0.488,-1.503
2023-10-02T05:00,-0.206,-1.304
2023-10-02T06:00,1.800,-1.999
2023-10-02T07:00,1.797,-1.404
2023-10-02T08:00,1.898,-1.009
2023-10-02T09:00,1.597,-1.204
2023-10-02T10:00,0.694,-0.604
2023-10-02T11:00,-0.405,-0.701
2023-10-02T12:00,1.900,0.000
2023-10-02T13:00,0.901,0.499
2023-10-02T14:00,0.700,0.297
2023-10-02T15:00,0.201,-0.702
2023-10-02T16:00,0.000,0.000
2023-10-02T17:00,0.207,0.896
2023-10-02T18:00,0.200,0.000
2023-10-02T19:00,-0.099,-0.099
2023-10-02T20:00,1.595,-0.813
2023-10-02T21:00,1.710,-1.385
2023-10-02T22:00,1.117,-2.192
2023-10-02T23:00,1.712,-2.191
2023-10-03T00:00,2.397,-2.397
2023-10-03T01:00,2.086,-2.015
2023-10-03T02:00,1.994,-1.105
2023-10-03T03:00,1.791,-1.208
2023-10-03T04:00,1.613,-1.791
2023-10-03T05:00,0.304,-0.995
2023-10-03T06:00,0.502,0.502
2023-10-03T07:00,0.995,-0.105
2023-10-03T08:00,-0.702,-0.201
2023-10-03T09:00,-1.704,1.193
2023-10-03T10:00,-0.901,1.500
2023-10-03T11:00,-1.503,0.488
2023-10-03T12:00,-1.296,0.299
2023-10-03T13:00,-1.403,1.096
2023-10-03T14:00,-1.217,2.195
2023-10-03T15:00,-1.385,1.710
2023-10-03T16:00,-2.102,2.596
2023-10-03T17:00,-1.214,2.490
2023-10-03T18:00,-0.603,3.102
2023-10-03T19:00,-0.200,1.900
2023-10-03T20:00,-0.000,1.000
2023-10-03T21:00,-0.297,0.700
2023-10-03T22:00,-0.304,-0.099
2023-10-03T23:00,0.000,-0.400
2023-10-04T00:00,0.491,-1.607
2023-10-04T01:00,0.798,-1.501
2023-10-04T02:00,0.499,-0.901
2023-10-04T03:00,0.894,-1.104
2023-10-04T04:00,-0.696,-0.505
2023-10-04T05:00,-1.495,-0.210
2023-10-04T06:00,-1.003,0.903
2023-10-04T07:00,-1.100,0.799
2023-10-04T08:00,-1.903,0.887
2023-10-04T09:00,-1.207,1.294
2023-10-04T10:00,-0.099,0.703
2023-10-04T11:00,-0.201,-0.298
2023-10-04T12:00,-0.702,-0.201
