time_stamp,pm2.5_atm,pm2.5_atm_a,pm2.5_atm_b
2023-10-01T00:00:00+00:00,4.0,4.0,4.1
2023-10-01T01:00:00+00:00,1.4,1.3,1.4
2023-10-01T02:00:00+00:00,10.9,11.5,10.4
2023-10-01T03:00:00+00:00,3.6,3.7,3.6
2023-10-01T04:00:00+00:00,5.4,5.6,5.3
2023-10-01T05:00:00+00:00,5.2,5.3,5.2
2023-10-01T06:00:00+00:00,5.5,5.7,5.3
2023-10-01T07:00:00+00:00,6.7,6.9,6.6
2023-10-01T08:00:00+00:00,10.6,10.6,10.5
2023-10-01T09:00:00+00:00,11.2,11.3,11.1
2023-10-01T10:00:00+00:00,12.4,12.5,12.3
2023-10-01T11:00:00+00:00,13.6,13.8,13.3
2023-10-01T12:00:00+00:00,15.4,15.7,15.0
2023-10-01T13:00:00+00:00,13.1,13.3,12.9
2023-10-01T14:00:00+00:00,15.6,15.8,15.5
2023-10-01T15:00:00+00:00,16.2,16.2,16.2
2023-10-01T16:00:00+00:00,16.2,16.1,16.3
2023-10-01T17:00:00+00:00,12.7,12.4,12.9
2023-10-01T18:00:00+00:00,14.2,14.2,14.3
2023-10-01T19:00:00+00:00,12.6,12.6,12.6
2023-10-01T20:00:00+00:00,7.5,7.5,7.5
2023-10-01T21:00:00+00:00,6.9,6.8,7.0
2023-10-01T22:00:00+00:00,6.0,6.0,6.1
2023-10-01T23:00:00+00:00,5.6,5.6,5.6
2023-10-02T00:00:00+00:00,4.7,4.7,4.7
2023-10-02T01:00:00+00:00,4.7,4.7,4.6
2023-10-02T02:00:00+00:00,5.6,5.7,5.5
2023-10-02T03:00:00+00:00,10.0,10.2,9.8
2023-10-02T04:00:00+00:00,21.2,22.0,20.4
2023-10-02T05:00:00+00:00,13.4,13.8,13.1
2023-10-02T06:00:00+00:00,12.5,12.7,12.3
2023-10-02T07:00:00+00:00,11.8,12.1,11.6
2023-10-02T08:00:00+00:00,10.2,10.4,10.1
2023-10-02T09:00:00+00:00,9.1,9.4,8.8
2023-10-02T10:00:00+00:00,8.5,8.7,8.3
2023-10-02T11:00:00+00:00,8.0,8.1,8.0
2023-10-02T12:00:00+00:00,7.8,8.0,7.6
2023-10-02T13:00:00+00:00,9.3,9.4,9.1
2023-10-02T14:00:00+00:00,10.6,10.8,10.3
2023-10-02T15:00:00+00:00,13.8,14.0,13.7
2023-10-02T16:00:00+00:00,14.6,14.8,14.4
2023-10-02T17:00:00+00:00,14.1,13.9,14.3
2023-10-02T18:00:00+00:00,11.9,11.9,11.8
2023-10-02T19:00:00+00:00,9.7,9.6,9.7
2023-10-02T20:00:00+00:00,5.8,5.9,5.7
2023-10-02T21:00:00+00:00,4.6,4.6,4.7
2023-10-02T22:00:00+00:00,4.8,4.8,4.7
2023-10-02T23:00:00+00:00,4.9,4.8,5.0
2023-10-03T00:00:00+00:00,5.2,5.2,5.1
2023-10-03T01:00:00+00:00,4.8,4.8,4.7
2023-10-03T02:00:00+00:00,5.5,5.6,5.5
2023-10-03T03:00:00+00:00,8.6,8.6,8.7
2023-10-03T04:00:00+00:00,12.1,12.4,11.8
2023-10-03T05:00:00+00:00,10.6,10.9,10.3
2023-10-03T06:00:00+00:00,11.0,11.1,10.8
2023-10-03T07:00:00+00:00,10.0,10.1,9.9
2023-10-03T08:00:00+00:00,10.5,10.7,10.2
2023-10-03T09:00:00+00:00,10.4,10.6,10.3
2023-10-03T10:00:00+00:00,9.7,10.0,9.5
2023-10-03T11:00:00+00:00,10.8,11.2,10.4
2023-10-03T12:00:00+00:00,18.8,19.5,18.2
2023-10-03T13:00:00+00:00,29.2,29.7,28.7
2023-10-03T14:00:00+00:00,35.0,35.3,34.8
2023-10-03T15:00:00+00:00,34.4,34.8,33.9
2023-10-03T16:00:00+00:00,27.4,27.7,27.1
2023-10-03T17:00:00+00:00,24.7,24.5,24.9
2023-10-03T18:00:00+00:00,20.6,20.7,20.6
2023-10-03T19:00:00+00:00,15.9,16.2,15.7
2023-10-03T20:00:00+00:00,10.9,11.0,10.9
2023-10-03T21:00:00+00:00,7.4,7.3,7.4
2023-10-03T22:00:00+00:00,5.7,5.7,5.8
2023-10-03T23:00:00+00:00,7.3,7.2,7.4
2023-10-04T00:00:00+00:00,6.6,6.6,6.7
2023-10-04T01:00:00+00:00,7.3,7.4,7.3
2023-10-04T02:00:00+00:00,9.8,10.0,9.6
2023-10-04T03:00:00+00:00,18.1,18.3,18.0
2023-10-04T04:00:00+00:00,13.3,13.7,13.0
2023-10-04T05:00:00+00:00,15.6,15.9,15.3
2023-10-04T06:00:00+00:00,18.7,18.9,18.5
2023-10-04T07:00:00+00:00,19.4,19.8,18.9
2023-10-04T08:00:00+00:00,18.3,18.8,17.8
2023-10-04T09:00:00+00:00,18.8,19.4,18.1
2023-10-04T10:00:00+00:00,19.5,20.0,19.0
2023-10-04T11:00:00+00:00,20.0,20.3,19.7
2023-10-04T12:00:00+00:00,20.0,20.8,19.3
2023-10-04T13:00:00+00:00,19.4,19.8,19.0
2023-10-04T14:00:00+00:00,21.2,21.8,20.7
2023-10-04T15:00:00+00:00,27.6,27.9,27.3
2023-10-04T16:00:00+00:00,20.5,20.6,20.5
2023-10-04T17:00:00+00:00,21.8,21.2,22.3
2023-10-04T18:00:00+00:00,13.5,13.4,13.7
2023-10-04T19:00:00+00:00,11.0,11.0,11.1
2023-10-04T20:00:00+00:00,9.7,9.7,9.7
2023-10-04T21:00:00+00:00,8.0,7.9,8.1
2023-10-04T22:00:00+00:00,6.2,6.1,6.3
2023-10-04T23:00:00+00:00,4.7,4.5,5.0
2023-10-05T00:00:00+00:00,5.8,5.8,5.9
2023-10-05T01:00:00+00:00,7.0,6.9,7.1
2023-10-05T02:00:00+00:00,11.5,11.6,11.4
2023-10-05T03:00:00+00:00,20.3,20.5,20.1
2023-10-05T04:00:00+00:00,18.3,18.5,18.1
2023-10-05T05:00:00+00:00,14.7,14.7,14.7
2023-10-05T06:00:00+00:00,14.7,14.7,14.7
2023-10-05T07:00:00+00:00,13.3,13.3,13.2
2023-10-05T08:00:00+00:00,14.6,15.0,14.2
2023-10-05T09:00:00+00:00,17.6,18.0,17.1
2023-10-05T10:00:00+00:00,20.9,21.3,20.5
2023-10-05T11:00:00+00:00,20.6,20.9,20.3
2023-10-05T12:00:00+00:00,21.4,21.9,20.9
2023-10-05T13:00:00+00:00,23.7,24.1,23.3
2023-10-05T14:00:00+00:00,24.8,25.0,24.7
2023-10-05T15:00:00+00:00,26.6,26.8,26.4
2023-10-05T16:00:00+00:00,22.8,22.7,23.0
2023-10-05T17:00:00+00:00,14.9,14.4,15.4
2023-10-05T18:00:00+00:00,14.2,14.1,14.3
2023-10-05T19:00:00+00:00,14.7,14.7,14.7
2023-10-05T20:00:00+00:00,12.2,12.2,12.2
2023-10-05T21:00:00+00:00,11.7,11.7,11.7
2023-10-05T22:00:00+00:00,9.1,9.1,9.1
2023-10-05T23:00:00+00:00,7.1,7.0,7.1
2023-10-06T00:00:00+00:00,6.8,6.8,6.9
2023-10-06T01:00:00+00:00,8.7,8.6,8.8
2023-10-06T02:00:00+00:00,10.5,10.5,10.5
2023-10-06T03:00:00+00:00,15.7,15.7,15.8
2023-10-06T04:00:00+00:00,18.4,18.8,18.1
2023-10-06T05:00:00+00:00,20.8,20.7,20.8
2023-10-06T06:00:00+00:00,21.7,22.1,21.3
2023-10-06T07:00:00+00:00,20.5,20.9,20.0
2023-10-06T08:00:00+00:00,25.2,25.7,24.7
2023-10-06T09:00:00+00:00,21.7,22.5,21.0
2023-10-06T10:00:00+00:00,20.6,21.2,20.1
2023-10-06T11:00:00+00:00,23.5,24.3,22.6
2023-10-06T12:00:00+00:00,22.8,23.6,22.0
2023-10-06T13:00:00+00:00,20.6,21.3,19.9
2023-10-06T14:00:00+00:00,25.8,26.5,25.0
2023-10-06T15:00:00+00:00,37.7,38.3,37.0
2023-10-06T16:00:00+00:00,30.9,31.1,30.6
2023-10-06T17:00:00+00:00,29.9,29.8,30.0
2023-10-06T18:00:00+00:00,21.6,22.0,21.2
2023-10-06T19:00:00+00:00,22.3,22.5,22.0
2023-10-06T20:00:00+00:00,19.7,19.8,19.6
2023-10-06T21:00:00+00:00,17.1,17.2,17.0
2023-10-06T22:00:00+00:00,15.5,15.6,15.5
2023-10-06T23:00:00+00:00,12.3,12.3,12.3
2023-10-07T00:00:00+00:00,9.5,9.5,9.4
2023-10-07T01:00:00+00:00,14.5,14.3,14.7
2023-10-07T02:00:00+00:00,41.7,42.7,40.7
2023-10-07T03:00:00+00:00,14.3,14.3,14.4
2023-10-07T04:00:00+00:00,21.1,21.6,20.7
2023-10-07T05:00:00+00:00,28.2,28.6,27.8
2023-10-07T06:00:00+00:00,24.2,24.7,23.6
2023-10-07T07:00:00+00:00,26.8,27.3,26.2
2023-10-07T08:00:00+00:00,28.4,29.0,27.9
2023-10-07T09:00:00+00:00,29.1,29.8,28.4
2023-10-07T10:00:00+00:00,31.3,31.9,30.7
2023-10-07T11:00:00+00:00,36.4,37.0,35.8
2023-10-07T12:00:00+00:00,36.8,37.7,36.0
2023-10-07T13:00:00+00:00,38.1,38.8,37.3
2023-10-07T14:00:00+00:00,49.5,50.7,48.3
2023-10-07T15:00:00+00:00,60.9,62.7,59.1
2023-10-07T16:00:00+00:00,45.2,45.8,44.5
2023-10-07T17:00:00+00:00,30.6,30.3,30.9
2023-10-07T18:00:00+00:00,32.1,32.5,31.7
2023-10-07T19:00:00+00:00,26.0,26.2,25.8
2023-10-07T20:00:00+00:00,14.3,14.4,14.3
2023-10-07T21:00:00+00:00,24.6,25.2,24.0
2023-10-07T22:00:00+00:00,12.7,12.8,12.6
2023-10-07T23:00:00+00:00,12.0,12.0,12.0
2023-10-08T00:00:00+00:00,11.6,11.8,11.5
2023-10-08T01:00:00+00:00,13.6,13.8,13.5
2023-10-08T02:00:00+00:00,18.7,19.2,18.1
2023-10-08T03:00:00+00:00,22.1,22.7,21.6
2023-10-08T04:00:00+00:00,24.5,25.1,24.0
2023-10-08T05:00:00+00:00,26.3,27.2,25.3
2023-10-08T06:00:00+00:00,28.5,29.5,27.6
2023-10-08T07:00:00+00:00,29.2,30.1,28.2
2023-10-08T08:00:00+00:00,30.8,31.6,30.0
2023-10-08T09:00:00+00:00,33.2,34.0,32.5
2023-10-08T10:00:00+00:00,29.7,30.6,28.8
2023-10-08T11:00:00+00:00,33.3,34.3,32.3
2023-10-08T12:00:00+00:00,37.0,38.0,35.9
2023-10-08T13:00:00+00:00,40.4,41.6,39.2
2023-10-08T14:00:00+00:00,46.6,47.7,45.4
2023-10-08T15:00:00+00:00,44.0,44.9,43.1
2023-10-08T16:00:00+00:00,29.0,29.6,28.3
2023-10-08T17:00:00+00:00,20.0,19.4,20.6
2023-10-08T18:00:00+00:00,20.4,20.8,20.0
