time_stamp,pm2.5_atm,pm2.5_cf_1,humidity
2023-10-01T00:00:00+00:00,0.9,0.9,34
2023-10-01T01:00:00+00:00,1.5,1.5,39
2023-10-01T02:00:00+00:00,3.2,3.2,42
2023-10-01T03:00:00+00:00,4.2,4.2,44
2023-10-01T04:00:00+00:00,5.8,5.8,49
2023-10-01T05:00:00+00:00,6.9,6.9,51
2023-10-01T06:00:00+00:00,7.9,7.9,53
2023-10-01T07:00:00+00:00,18.3,18.3,54
2023-10-01T08:00:00+00:00,20.9,20.9,56
2023-10-01T09:00:00+00:00,12.4,12.4,58
2023-10-01T10:00:00+00:00,10.1,10.1,58
2023-10-01T11:00:00+00:00,10.2,10.2,59
2023-10-01T12:00:00+00:00,10.8,10.8,60
2023-10-01T13:00:00+00:00,12.0,12.0,62
2023-10-01T14:00:00+00:00,13.4,13.4,62
2023-10-01T15:00:00+00:00,14.7,14.7,43
2023-10-01T16:00:00+00:00,12.3,12.3,33
2023-10-01T17:00:00+00:00,10.6,10.6,33
2023-10-01T18:00:00+00:00,12.0,12.0,34
2023-10-01T19:00:00+00:00,15.2,15.2,32
2023-10-01T20:00:00+00:00,11.6,11.6,32
2023-10-01T21:00:00+00:00,8.4,8.4,30
2023-10-01T22:00:00+00:00,7.0,7.0,29
2023-10-01T23:00:00+00:00,6.3,6.3,30
2023-10-02T00:00:00+00:00,7.0,7.0,33
2023-10-02T01:00:00+00:00,7.3,7.3,36
2023-10-02T02:00:00+00:00,9.3,9.3,39
2023-10-02T03:00:00+00:00,9.2,9.2,44
2023-10-02T04:00:00+00:00,9.9,9.9,47
2023-10-02T05:00:00+00:00,10.4,10.4,48
2023-10-02T06:00:00+00:00,9.4,9.4,45
2023-10-02T07:00:00+00:00,9.8,9.8,46
2023-10-02T08:00:00+00:00,12.1,12.1,46
2023-10-02T09:00:00+00:00,11.7,11.7,47
2023-10-02T10:00:00+00:00,13.1,13.1,49
2023-10-02T11:00:00+00:00,11.9,11.9,49
2023-10-02T12:00:00+00:00,10.4,10.4,49
2023-10-02T13:00:00+00:00,10.2,10.2,50
2023-10-02T14:00:00+00:00,10.5,10.5,51
2023-10-02T15:00:00+00:00,12.2,12.2,37
2023-10-02T16:00:00+00:00,15.8,15.8,26
2023-10-02T17:00:00+00:00,18.5,18.5,27
2023-10-02T18:00:00+00:00,16.8,16.8,27
2023-10-02T19:00:00+00:00,10.7,10.7,26
2023-10-02T20:00:00+00:00,6.4,6.4,23
2023-10-02T21:00:00+00:00,6.0,6.0,22
2023-10-02T22:00:00+00:00,5.6,5.6,22
2023-10-02T23:00:00+00:00,6.1,6.1,23
2023-10-03T00:00:00+00:00,6.1,6.1,25
2023-10-03T01:00:00+00:00,6.0,6.0,27
2023-10-03T02:00:00+00:00,6.5,6.5,32
2023-10-03T03:00:00+00:00,7.0,7.0,38
2023-10-03T04:00:00+00:00,7.8,7.8,41
2023-10-03T05:00:00+00:00,8.7,8.7,44
2023-10-03T06:00:00+00:00,10.3,10.3,47
2023-10-03T07:00:00+00:00,10.8,10.8,49
2023-10-03T08:00:00+00:00,10.8,10.8,52
2023-10-03T09:00:00+00:00,11.7,11.7,53
2023-10-03T10:00:00+00:00,12.3,12.3,55
2023-10-03T11:00:00+00:00,13.6,13.6,57
2023-10-03T12:00:00+00:00,16.9,16.9,59
2023-10-03T13:00:00+00:00,18.3,18.3,61
2023-10-03T14:00:00+00:00,21.5,21.5,58
2023-10-03T15:00:00+00:00,21.4,21.4,37
2023-10-03T16:00:00+00:00,17.4,17.4,27
2023-10-03T17:00:00+00:00,17.2,17.2,28
2023-10-03T18:00:00+00:00,15.2,15.2,26
2023-10-03T19:00:00+00:00,11.5,11.5,22
2023-10-03T20:00:00+00:00,10.6,10.6,20
2023-10-03T21:00:00+00:00,10.5,10.5,19
2023-10-03T22:00:00+00:00,10.4,10.4,19
2023-10-03T23:00:00+00:00,10.3,10.3,19
2023-10-04T00:00:00+00:00,10.3,10.3,21
2023-10-04T01:00:00+00:00,9.2,9.2,26
2023-10-04T02:00:00+00:00,10.0,10.0,33
2023-10-04T03:00:00+00:00,12.8,12.8,37
2023-10-04T04:00:00+00:00,15.4,15.4,41
2023-10-04T05:00:00+00:00,16.6,16.6,44
2023-10-04T06:00:00+00:00,17.1,17.1,47
2023-10-04T07:00:00+00:00,18.0,18.0,50
2023-10-04T08:00:00+00:00,15.7,15.7,51
2023-10-04T09:00:00+00:00,14.9,14.9,53
2023-10-04T10:00:00+00:00,15.4,15.4,56
2023-10-04T11:00:00+00:00,15.2,15.2,58
2023-10-04T12:00:00+00:00,15.0,15.0,59
2023-10-04T13:00:00+00:00,15.5,15.5,60
2023-10-04T14:00:00+00:00,16.3,16.3,58
2023-10-04T15:00:00+00:00,19.7,19.7,33
2023-10-04T16:00:00+00:00,18.4,18.4,22
2023-10-04T17:00:00+00:00,16.2,16.2,22
2023-10-04T18:00:00+00:00,12.7,12.7,20
2023-10-04T19:00:00+00:00,14.1,14.1,19
2023-10-04T20:00:00+00:00,14.4,14.4,19
2023-10-04T21:00:00+00:00,10.9,10.9,18
2023-10-04T22:00:00+00:00,8.8,8.8,17
2023-10-04T23:00:00+00:00,6.3,6.3,18
2023-10-05T00:00:00+00:00,6.7,6.7,21
2023-10-05T01:00:00+00:00,7.6,7.6,25
2023-10-05T02:00:00+00:00,7.0,7.0,33
2023-10-05T03:00:00+00:00,10.5,10.5,38
2023-10-05T04:00:00+00:00,12.3,12.3,42
2023-10-05T05:00:00+00:00,13.8,13.8,45
2023-10-05T06:00:00+00:00,13.5,13.5,46
2023-10-05T07:00:00+00:00,12.9,12.9,47
2023-10-05T08:00:00+00:00,13.2,13.2,50
2023-10-05T09:00:00+00:00,12.5,12.5,53
2023-10-05T10:00:00+00:00,12.0,12.0,54
2023-10-05T11:00:00+00:00,12.1,12.1,56
2023-10-05T12:00:00+00:00,11.9,11.9,58
2023-10-05T13:00:00+00:00,11.7,11.7,58
2023-10-05T14:00:00+00:00,12.4,12.4,57
2023-10-05T15:00:00+00:00,15.4,15.4,33
2023-10-05T16:00:00+00:00,16.6,16.6,21
2023-10-05T17:00:00+00:00,12.8,12.8,20
2023-10-05T18:00:00+00:00,11.6,11.6,20
2023-10-05T19:00:00+00:00,12.0,12.0,19
2023-10-05T20:00:00+00:00,14.0,14.0,19
2023-10-05T21:00:00+00:00,17.0,17.0,18
2023-10-05T22:00:00+00:00,10.3,10.3,17
2023-10-05T23:00:00+00:00,7.3,7.3,18
2023-10-06T00:00:00+00:00,8.4,8.4,20
2023-10-06T01:00:00+00:00,9.5,9.5,25
2023-10-06T02:00:00+00:00,11.4,11.4,33
2023-10-06T03:00:00+00:00,14.2,14.2,39
2023-10-06T04:00:00+00:00,15.8,15.8,43
2023-10-06T05:00:00+00:00,15.6,15.6,45
2023-10-06T06:00:00+00:00,16.4,16.4,48
2023-10-06T07:00:00+00:00,17.1,17.1,52
2023-10-06T08:00:00+00:00,17.8,17.8,54
2023-10-06T09:00:00+00:00,18.1,18.1,57
2023-10-06T10:00:00+00:00,18.3,18.3,59
2023-10-06T11:00:00+00:00,18.4,18.4,60
2023-10-06T12:00:00+00:00,17.2,17.2,61
2023-10-06T13:00:00+00:00,14.9,14.9,60
2023-10-06T14:00:00+00:00,17.3,17.3,59
