time_stamp,pm2.5_atm,pm2.5_cf_1,humidity
2023-10-01T00:00:00+00:00,1.7,1.7,30
2023-10-01T01:00:00+00:00,1.9,1.9,32
2023-10-01T02:00:00+00:00,3.2,3.2,34
2023-10-01T03:00:00+00:00,4.7,4.7,36
2023-10-01T04:00:00+00:00,5.5,5.5,38
2023-10-01T05:00:00+00:00,9.2,9.2,41
2023-10-01T06:00:00+00:00,22.3,22.4,42
2023-10-01T07:00:00+00:00,20.2,20.2,42
2023-10-01T08:00:00+00:00,7.4,7.4,44
2023-10-01T09:00:00+00:00,7.4,7.4,45
2023-10-01T10:00:00+00:00,8.8,8.8,45
2023-10-01T11:00:00+00:00,8.8,8.8,47
2023-10-01T12:00:00+00:00,8.7,8.7,48
2023-10-01T13:00:00+00:00,9.1,9.1,49
2023-10-01T14:00:00+00:00,9.5,9.5,49
2023-10-01T15:00:00+00:00,11.4,11.4,46
2023-10-01T16:00:00+00:00,12.5,12.5,44
2023-10-01T17:00:00+00:00,10.1,10.1,40
2023-10-01T18:00:00+00:00,8.9,8.9,34
2023-10-01T19:00:00+00:00,11.8,11.8,31
2023-10-01T20:00:00+00:00,11.6,11.6,29
2023-10-01T21:00:00+00:00,8.7,8.7,28
2023-10-01T22:00:00+00:00,6.6,6.6,26
2023-10-01T23:00:00+00:00,6.5,6.5,27
2023-10-02T00:00:00+00:00,7.6,7.6,29
2023-10-02T01:00:00+00:00,7.1,7.1,29
2023-10-02T02:00:00+00:00,7.5,7.5,32
2023-10-02T03:00:00+00:00,9.0,9.0,34
2023-10-02T04:00:00+00:00,9.4,9.4,35
2023-10-02T05:00:00+00:00,9.1,9.1,36
2023-10-02T06:00:00+00:00,9.9,9.9,37
2023-10-02T07:00:00+00:00,11.1,11.1,38
2023-10-02T08:00:00+00:00,12.2,12.2,38
2023-10-02T09:00:00+00:00,10.7,10.7,38
2023-10-02T10:00:00+00:00,10.7,10.7,39
2023-10-02T11:00:00+00:00,11.6,11.6,40
2023-10-02T12:00:00+00:00,9.9,9.9,42
2023-10-02T13:00:00+00:00,8.4,8.4,39
2023-10-02T14:00:00+00:00,8.8,8.8,39
2023-10-02T15:00:00+00:00,10.3,10.3,38
2023-10-02T16:00:00+00:00,13.2,13.2,37
2023-10-02T17:00:00+00:00,14.7,14.7,34
2023-10-02T18:00:00+00:00,14.8,14.8,30
2023-10-02T19:00:00+00:00,11.0,11.0,27
2023-10-02T20:00:00+00:00,7.1,7.1,24
2023-10-02T21:00:00+00:00,5.9,5.9,22
2023-10-02T22:00:00+00:00,5.6,5.6,20
2023-10-02T23:00:00+00:00,5.8,5.8,20
2023-10-03T00:00:00+00:00,6.3,6.3,21
2023-10-03T01:00:00+00:00,7.8,7.8,22
2023-10-03T02:00:00+00:00,13.5,13.5,25
2023-10-03T03:00:00+00:00,8.4,8.4,30
2023-10-03T04:00:00+00:00,10.2,10.2,33
2023-10-03T05:00:00+00:00,8.2,8.2,34
2023-10-03T06:00:00+00:00,8.2,8.2,36
2023-10-03T07:00:00+00:00,8.8,8.8,38
2023-10-03T08:00:00+00:00,10.1,10.1,40
2023-10-03T09:00:00+00:00,9.6,9.6,40
2023-10-03T10:00:00+00:00,10.2,10.2,42
2023-10-03T11:00:00+00:00,11.3,11.3,43
2023-10-03T12:00:00+00:00,12.5,12.5,45
2023-10-03T13:00:00+00:00,11.6,11.6,44
2023-10-03T14:00:00+00:00,11.6,11.6,39
2023-10-03T15:00:00+00:00,14.1,14.1,39
2023-10-03T16:00:00+00:00,14.3,14.3,37
2023-10-03T17:00:00+00:00,15.0,15.0,34
2023-10-03T18:00:00+00:00,12.8,12.8,28
2023-10-03T19:00:00+00:00,9.2,9.2,22
2023-10-03T20:00:00+00:00,7.7,7.7,18
2023-10-03T21:00:00+00:00,8.3,8.3,17
2023-10-03T22:00:00+00:00,9.0,9.0,17
2023-10-03T23:00:00+00:00,9.5,9.5,17
2023-10-04T00:00:00+00:00,8.8,8.8,19
2023-10-04T01:00:00+00:00,9.9,10.2,22
2023-10-04T02:00:00+00:00,10.0,10.0,26
2023-10-04T03:00:00+00:00,11.6,11.6,28
2023-10-04T04:00:00+00:00,11.2,11.2,32
2023-10-04T05:00:00+00:00,12.5,12.5,34
2023-10-04T06:00:00+00:00,10.9,10.9,36
2023-10-04T07:00:00+00:00,10.7,10.7,37
2023-10-04T08:00:00+00:00,9.8,9.8,37
2023-10-04T09:00:00+00:00,9.8,9.8,38
2023-10-04T10:00:00+00:00,10.4,10.4,40
2023-10-04T11:00:00+00:00,10.9,10.9,42
2023-10-04T12:00:00+00:00,11.0,11.0,43
2023-10-04T13:00:00+00:00,10.7,10.7,44
2023-10-04T14:00:00+00:00,11.8,11.8,43
2023-10-04T15:00:00+00:00,13.8,13.8,41
2023-10-04T16:00:00+00:00,13.6,13.6,37
2023-10-04T17:00:00+00:00,13.7,13.7,31
2023-10-04T18:00:00+00:00,12.4,12.4,24
2023-10-04T19:00:00+00:00,11.4,11.4,21
2023-10-04T20:00:00+00:00,12.2,12.2,19
2023-10-04T21:00:00+00:00,12.8,12.8,17
2023-10-04T22:00:00+00:00,9.1,9.1,16
2023-10-04T23:00:00+00:00,6.8,6.8,16
2023-10-05T00:00:00+00:00,6.5,6.5,18
2023-10-05T01:00:00+00:00,7.1,7.1,21
2023-10-05T02:00:00+00:00,11.8,11.8,23
2023-10-05T03:00:00+00:00,10.4,10.4,27
2023-10-05T04:00:00+00:00,11.0,11.0,31
2023-10-05T05:00:00+00:00,10.5,10.5,32
2023-10-05T06:00:00+00:00,10.5,10.5,35
2023-10-05T07:00:00+00:00,10.6,10.6,36
2023-10-05T08:00:00+00:00,9.8,9.8,36
2023-10-05T09:00:00+00:00,7.9,7.9,38
2023-10-05T10:00:00+00:00,8.4,8.4,39
2023-10-05T11:00:00+00:00,8.3,8.3,41
2023-10-05T12:00:00+00:00,8.0,8.0,42
2023-10-05T13:00:00+00:00,8.5,8.5,38
2023-10-05T14:00:00+00:00,8.6,8.6,38
2023-10-05T15:00:00+00:00,13.4,13.4,37
2023-10-05T16:00:00+00:00,13.4,13.4,34
2023-10-05T17:00:00+00:00,11.8,11.8,29
2023-10-05T18:00:00+00:00,11.0,11.0,23
2023-10-05T19:00:00+00:00,10.9,10.9,20
2023-10-05T20:00:00+00:00,12.1,12.1,18
2023-10-05T21:00:00+00:00,13.0,13.0,16
2023-10-05T22:00:00+00:00,11.9,11.9,17
2023-10-05T23:00:00+00:00,8.2,8.2,17
2023-10-06T00:00:00+00:00,8.2,8.2,17
2023-10-06T01:00:00+00:00,9.0,9.0,20
2023-10-06T02:00:00+00:00,10.8,10.8,25
2023-10-06T03:00:00+00:00,14.3,14.3,30
2023-10-06T04:00:00+00:00,11.9,11.9,32
2023-10-06T05:00:00+00:00,11.8,11.8,34
2023-10-06T06:00:00+00:00,11.1,11.1,36
2023-10-06T07:00:00+00:00,11.9,11.9,39
2023-10-06T08:00:00+00:00,14.0,14.0,40
2023-10-06T09:00:00+00:00,15.5,15.5,41
2023-10-06T10:00:00+00:00,11.8,11.8,42
2023-10-06T11:00:00+00:00,10.9,10.9,44
2023-10-06T12:00:00+00:00,10.1,10.1,43
2023-10-06T13:00:00+00:00,10.4,10.4,43
2023-10-06T14:00:00+00:00,10.3,10.3,41
2023-10-06T15:00:00+00:00,14.2,14.2,38
2023-10-06T16:00:00+00:00,16.0,16.0,35
2023-10-06T17:00:00+00:00,14.4,14.4,30
2023-10-06T18:00:00+00:00,13.6,13.6,24
2023-10-06T19:00:00+00:00,13.4,13.4,21
2023-10-06T20:00:00+00:00,13.5,13.5,18
2023-10-06T21:00:00+00:00,16.4,16.4,17
2023-10-06T22:00:00+00:00,17.7,17.7,16
2023-10-06T23:00:00+00:00,14.7,14.7,17
2023-10-07T00:00:00+00:00,10.0,10.0,17
2023-10-07T01:00:00+00:00,9.0,9.0,20
2023-10-07T02:00:00+00:00,11.4,11.4,26
2023-10-07T03:00:00+00:00,15.5,15.5,29
2023-10-07T04:00:00+00:00,15.6,15.6,32
2023-10-07T05:00:00+00:00,16.0,16.0,33
2023-10-07T06:00:00+00:00,18.5,18.5,36
2023-10-07T07:00:00+00:00,17.2,17.2,38
2023-10-07T08:00:00+00:00,16.6,16.6,39
2023-10-07T09:00:00+00:00,17.1,17.1,39
2023-10-07T10:00:00+00:00,16.4,16.4,40
2023-10-07T11:00:00+00:00,15.8,15.8,41
2023-10-07T12:00:00+00:00,16.1,16.1,42
2023-10-07T13:00:00+00:00,16.3,16.3,43
2023-10-07T14:00:00+00:00,16.5,16.5,43
2023-10-07T15:00:00+00:00,20.8,20.8,38
2023-10-07T16:00:00+00:00,24.1,24.2,36
2023-10-07T17:00:00+00:00,18.5,18.5,28
2023-10-07T18:00:00+00:00,14.7,14.7,22
2023-10-07T19:00:00+00:00,18.2,18.2,21
2023-10-07T20:00:00+00:00,22.2,22.2,19
2023-10-07T21:00:00+00:00,20.2,20.2,17
2023-10-07T22:00:00+00:00,19.7,25.2,16
2023-10-07T23:00:00+00:00,17.0,17.0,15
2023-10-08T00:00:00+00:00,15.7,15.7,17
2023-10-08T01:00:00+00:00,16.0,16.0,20
2023-10-08T02:00:00+00:00,20.2,20.2,24
2023-10-08T03:00:00+00:00,19.4,19.4,26
2023-10-08T04:00:00+00:00,23.6,23.6,31
2023-10-08T05:00:00+00:00,24.1,24.1,34
2023-10-08T06:00:00+00:00,26.1,26.4,35
2023-10-08T07:00:00+00:00,24.6,24.6,38
2023-10-08T08:00:00+00:00,22.4,22.4,39
2023-10-08T09:00:00+00:00,21.0,21.0,40
2023-10-08T10:00:00+00:00,19.4,19.4,37
2023-10-08T11:00:00+00:00,16.7,16.7,40
2023-10-08T12:00:00+00:00,18.7,18.7,42
2023-10-08T13:00:00+00:00,16.5,16.5,39
2023-10-08T14:00:00+00:00,17.7,17.7,37
2023-10-08T15:00:00+00:00,23.2,23.3,36
2023-10-08T16:00:00+00:00,26.8,27.0,35
2023-10-08T17:00:00+00:00,17.6,17.6,27
2023-10-08T18:00:00+00:00,12.6,12.6,21
2023-10-08T19:00:00+00:00,15.1,15.1,19
2023-10-08T20:00:00+00:00,17.4,17.4,16
2023-10-08T21:00:00+00:00,16.2,16.2,15
2023-10-08T22:00:00+00:00,13.7,13.7,14
2023-10-08T23:00:00+00:00,14.6,14.6,14
2023-10-09T00:00:00+00:00,13.5,13.5,15
2023-10-09T01:00:00+00:00,14.2,14.2,20
2023-10-09T02:00:00+00:00,18.0,18.0,25
2023-10-09T03:00:00+00:00,19.8,19.8,29
2023-10-09T04:00:00+00:00,18.0,18.0,30
2023-10-09T05:00:00+00:00,14.1,14.1,30
2023-10-09T06:00:00+00:00,13.8,13.8,31
2023-10-09T07:00:00+00:00,15.4,15.4,34
2023-10-09T08:00:00+00:00,15.8,15.8,35
2023-10-09T09:00:00+00:00,17.1,17.1,37
2023-10-09T10:00:00+00:00,18.5,18.5,38
2023-10-09T11:00:00+00:00,18.7,18.7,41
2023-10-09T12:00:00+00:00,17.8,17.8,43
2023-10-09T13:00:00+00:00,17.9,17.9,44
2023-10-09T14:00:00+00:00,16.3,16.3,41
2023-10-09T15:00:00+00:00,18.1,18.1,37
2023-10-09T16:00:00+00:00,16.7,16.7,34
2023-10-09T17:00:00+00:00,16.2,16.2,30
2023-10-09T18:00:00+00:00,19.1,19.1,29
2023-10-09T19:00:00+00:00,18.1,18.1,26
2023-10-09T20:00:00+00:00,18.5,18.5,25
2023-10-09T21:00:00+00:00,11.9,11.9,25
2023-10-09T22:00:00+00:00,9.8,9.8,25
2023-10-09T23:00:00+00:00,9.2,9.2,27
2023-10-10T00:00:00+00:00,9.6,9.6,27
2023-10-10T01:00:00+00:00,8.7,8.7,28
2023-10-10T02:00:00+00:00,6.8,6.8,32
2023-10-10T03:00:00+00:00,5.4,5.4,34
2023-10-10T04:00:00+00:00,5.0,5.0,36
2023-10-10T05:00:00+00:00,4.3,4.3,39
2023-10-10T06:00:00+00:00,4.7,4.7,41
2023-10-10T07:00:00+00:00,5.2,5.2,42
2023-10-10T08:00:00+00:00,5.4,5.4,44
2023-10-10T09:00:00+00:00,5.7,5.7,45
2023-10-10T10:00:00+00:00,6.3,6.3,45
2023-10-10T11:00:00+00:00,7.8,7.8,45
2023-10-10T12:00:00+00:00,8.2,8.2,46
2023-10-10T13:00:00+00:00,9.2,9.2,47
2023-10-10T14:00:00+00:00,11.1,11.1,47
2023-10-10T15:00:00+00:00,12.6,12.6,44
2023-10-10T16:00:00+00:00,16.7,16.7,41
2023-10-10T17:00:00+00:00,14.9,14.9,37
2023-10-10T18:00:00+00:00,5.5,5.5,36
2023-10-10T19:00:00+00:00,3.5,3.5,33
2023-10-10T20:00:00+00:00,2.2,2.2,31
2023-10-10T21:00:00+00:00,3.2,3.2,29
2023-10-10T22:00:00+00:00,3.7,3.7,28
2023-10-10T23:00:00+00:00,3.4,3.4,29
2023-10-11T00:00:00+00:00,7.1,7.1,29
2023-10-11T01:00:00+00:00,7.4,7.4,29
2023-10-11T02:00:00+00:00,4.5,4.5,29
2023-10-11T03:00:00+00:00,2.7,2.7,30
2023-10-11T04:00:00+00:00,3.8,3.8,32
2023-10-11T05:00:00+00:00,3.9,3.9,34
2023-10-11T06:00:00+00:00,2.7,2.7,34
2023-10-11T07:00:00+00:00,2.4,2.4,36
2023-10-11T08:00:00+00:00,1.9,1.9,38
2023-10-11T09:00:00+00:00,3.2,3.2,38
2023-10-11T10:00:00+00:00,3.5,3.5,36
2023-10-11T11:00:00+00:00,3.6,3.6,36
2023-10-11T12:00:00+00:00,4.4,4.4,38
2023-10-11T13:00:00+00:00,4.5,4.5,40
2023-10-11T14:00:00+00:00,4.7,4.7,38
2023-10-11T15:00:00+00:00,5.5,5.5,39
2023-10-11T16:00:00+00:00,5.7,5.7,40
2023-10-11T17:00:00+00:00,5.9,5.9,36
2023-10-11T18:00:00+00:00,5.1,5.1,30
2023-10-11T19:00:00+00:00,2.9,2.9,27
2023-10-11T20:00:00+00:00,2.9,2.9,24
2023-10-11T21:00:00+00:00,4.9,4.9,22
2023-10-11T22:00:00+00:00,3.5,3.5,22
2023-10-11T23:00:00+00:00,3.6,3.6,21
2023-10-12T00:00:00+00:00,2.4,2.4,21
2023-10-12T01:00:00+00:00,2.6,2.6,21
2023-10-12T02:00:00+00:00,3.6,3.6,23
2023-10-12T03:00:00+00:00,2.2,2.2,24
2023-10-12T04:00:00+00:00,2.6,2.6,25
2023-10-12T05:00:00+00:00,2.5,2.5,27
2023-10-12T06:00:00+00:00,2.6,2.6,28
2023-10-12T07:00:00+00:00,2.8,2.8,30
2023-10-12T08:00:00+00:00,3.0,3.0,34
2023-10-12T09:00:00+00:00,3.3,3.3,36
2023-10-12T10:00:00+00:00,3.4,3.4,38
2023-10-12T11:00:00+00:00,3.4,3.4,38
2023-10-12T12:00:00+00:00,3.3,3.3,38
2023-10-12T13:00:00+00:00,3.7,3.7,36
2023-10-12T14:00:00+00:00,4.4,4.4,35
2023-10-12T15:00:00+00:00,6.9,6.9,38
2023-10-12T16:00:00+00:00,6.4,6.4,36
2023-10-12T18:00:00+00:00,5.4,5.4,27
2023-10-12T19:00:00+00:00,5.6,5.6,23
2023-10-12T20:00:00+00:00,5.6,5.6,22
2023-10-12T21:00:00+00:00,4.4,4.4,21
2023-10-12T22:00:00+00:00,4.0,4.0,20
2023-10-12T23:00:00+00:00,4.4,4.4,20
2023-10-13T00:00:00+00:00,5.0,5.0,21
2023-10-13T01:00:00+00:00,5.2,5.2,26
2023-10-13T02:00:00+00:00,6.6,6.6,29
2023-10-13T03:00:00+00:00,8.2,8.2,32
2023-10-13T04:00:00+00:00,10.3,10.3,35
2023-10-13T05:00:00+00:00,10.9,10.9,37
2023-10-13T06:00:00+00:00,8.9,8.9,38
2023-10-13T07:00:00+00:00,7.0,7.0,36
2023-10-13T08:00:00+00:00,7.1,7.1,38
2023-10-13T09:00:00+00:00,7.4,7.4,40
2023-10-13T10:00:00+00:00,6.7,6.7,39
2023-10-13T11:00:00+00:00,6.7,6.7,42
2023-10-13T12:00:00+00:00,7.0,7.0,42
2023-10-13T13:00:00+00:00,7.2,7.2,42
2023-10-13T14:00:00+00:00,8.7,8.7,42
2023-10-13T15:00:00+00:00,9.7,9.7,40
2023-10-13T16:00:00+00:00,10.6,10.6,37
2023-10-13T17:00:00+00:00,19.5,19.5,32
2023-10-13T18:00:00+00:00,20.4,20.4,26
2023-10-13T19:00:00+00:00,11.4,11.4,23
2023-10-13T20:00:00+00:00,9.5,9.5,20
2023-10-13T21:00:00+00:00,7.1,7.1,17
2023-10-13T22:00:00+00:00,5.7,5.7,16
2023-10-13T23:00:00+00:00,5.1,5.1,16
2023-10-14T00:00:00+00:00,4.5,4.5,18
2023-10-14T01:00:00+00:00,6.5,6.5,25
2023-10-14T02:00:00+00:00,9.7,9.7,27
2023-10-14T03:00:00+00:00,16.0,16.0,29
2023-10-14T04:00:00+00:00,20.9,20.9,32
2023-10-14T05:00:00+00:00,7.8,7.8,28
2023-10-14T06:00:00+00:00,8.1,8.1,29
2023-10-14T07:00:00+00:00,6.7,6.7,31
2023-10-14T08:00:00+00:00,6.9,6.9,34
2023-10-14T09:00:00+00:00,6.4,6.4,35
2023-10-14T10:00:00+00:00,6.6,6.6,37
2023-10-14T11:00:00+00:00,7.1,7.1,39
2023-10-14T12:00:00+00:00,9.0,9.0,40
2023-10-14T13:00:00+00:00,11.8,11.8,41
2023-10-14T14:00:00+00:00,12.7,12.7,41
2023-10-14T15:00:00+00:00,13.7,13.7,36
2023-10-14T16:00:00+00:00,15.8,15.8,34
2023-10-14T17:00:00+00:00,15.6,15.6,29
2023-10-14T18:00:00+00:00,13.7,13.7,22
2023-10-14T19:00:00+00:00,10.1,10.1,18
2023-10-14T20:00:00+00:00,9.9,9.9,16
2023-10-14T21:00:00+00:00,7.9,7.9,15
2023-10-14T22:00:00+00:00,4.3,4.3,14
2023-10-14T23:00:00+00:00,3.9,3.9,14
2023-10-15T00:00:00+00:00,5.1,5.1,16
2023-10-15T01:00:00+00:00,8.3,8.3,20
2023-10-15T02:00:00+00:00,14.6,14.6,26
2023-10-15T03:00:00+00:00,14.2,14.2,29
2023-10-15T04:00:00+00:00,13.5,13.5,32
2023-10-15T05:00:00+00:00,14.8,14.8,33
2023-10-15T06:00:00+00:00,12.5,12.5,34
2023-10-15T07:00:00+00:00,10.8,10.8,36
2023-10-15T08:00:00+00:00,10.7,10.7,38
2023-10-15T09:00:00+00:00,10.8,10.8,39
2023-10-15T10:00:00+00:00,10.0,10.0,39
2023-10-15T11:00:00+00:00,10.0,10.0,41
2023-10-15T12:00:00+00:00,10.5,10.5,43
2023-10-15T13:00:00+00:00,13.4,13.4,45
2023-10-15T14:00:00+00:00,12.1,12.1,45
2023-10-15T15:00:00+00:00,11.1,11.1,40
2023-10-15T16:00:00+00:00,14.7,14.7,36
2023-10-15T17:00:00+00:00,13.4,13.4,28
2023-10-15T18:00:00+00:00,14.1,14.1,23
2023-10-15T19:00:00+00:00,14.8,14.8,20
2023-10-15T20:00:00+00:00,13.3,13.3,17
2023-10-15T21:00:00+00:00,11.4,11.4,15
2023-10-15T22:00:00+00:00,10.0,10.0,14
2023-10-15T23:00:00+00:00,9.2,9.2,14
2023-10-16T00:00:00+00:00,8.2,8.2,15
2023-10-16T01:00:00+00:00,13.1,13.1,21
2023-10-16T02:00:00+00:00,14.0,14.0,26
2023-10-16T03:00:00+00:00,13.4,13.4,29
2023-10-16T04:00:00+00:00,12.2,12.2,31
2023-10-16T05:00:00+00:00,12.7,12.7,36
2023-10-16T06:00:00+00:00,11.3,11.3,35
2023-10-16T07:00:00+00:00,10.0,10.0,33
2023-10-16T08:00:00+00:00,10.1,10.1,33
2023-10-16T09:00:00+00:00,10.6,10.6,35
2023-10-16T10:00:00+00:00,11.8,11.8,37
2023-10-16T11:00:00+00:00,12.6,12.6,39
2023-10-16T12:00:00+00:00,13.0,13.0,41
2023-10-16T13:00:00+00:00,12.9,12.9,40
2023-10-16T14:00:00+00:00,12.7,12.7,38
2023-10-16T15:00:00+00:00,17.5,17.5,35
2023-10-16T16:00:00+00:00,16.0,16.0,31
2023-10-16T17:00:00+00:00,15.9,15.9,27
2023-10-16T18:00:00+00:00,16.4,16.4,23
2023-10-16T19:00:00+00:00,14.6,14.6,22
2023-10-16T20:00:00+00:00,19.5,19.5,20
2023-10-16T21:00:00+00:00,11.6,11.6,20
2023-10-16T22:00:00+00:00,8.2,8.2,18
2023-10-16T23:00:00+00:00,7.3,7.3,19
2023-10-17T00:00:00+00:00,5.5,5.5,20
2023-10-17T01:00:00+00:00,9.0,9.0,22
2023-10-17T02:00:00+00:00,8.2,8.2,25
2023-10-17T03:00:00+00:00,18.1,19.5,28
2023-10-17T04:00:00+00:00,8.1,8.1,29
2023-10-17T05:00:00+00:00,1.8,1.8,31
2023-10-17T06:00:00+00:00,1.8,1.8,35
2023-10-17T07:00:00+00:00,1.4,1.4,39
2023-10-17T08:00:00+00:00,1.1,1.1,41
2023-10-17T09:00:00+00:00,1.1,1.1,44
2023-10-17T10:00:00+00:00,1.3,1.3,45
2023-10-17T11:00:00+00:00,1.7,1.7,47
2023-10-17T12:00:00+00:00,3.7,3.7,45
2023-10-17T13:00:00+00:00,4.6,4.6,44
2023-10-17T14:00:00+00:00,5.5,5.5,47
2023-10-17T15:00:00+00:00,7.0,7.0,48
2023-10-17T16:00:00+00:00,7.3,7.3,44
2023-10-17T17:00:00+00:00,16.2,16.2,38
2023-10-17T18:00:00+00:00,17.9,17.9,30
2023-10-17T19:00:00+00:00,13.3,13.3,27
2023-10-17T20:00:00+00:00,10.4,10.4,25
2023-10-17T21:00:00+00:00,6.9,6.9,22
2023-10-17T22:00:00+00:00,6.3,6.3,20
2023-10-17T23:00:00+00:00,16.6,16.6,23
2023-10-18T00:00:00+00:00,18.7,18.7,24
2023-10-18T01:00:00+00:00,23.1,23.7,28
2023-10-18T02:00:00+00:00,22.1,22.1,32
2023-10-18T03:00:00+00:00,24.2,24.2,35
2023-10-18T04:00:00+00:00,25.3,25.4,36
2023-10-18T05:00:00+00:00,22.8,22.9,38
2023-10-18T06:00:00+00:00,18.8,18.8,39
2023-10-18T07:00:00+00:00,17.2,17.2,41
2023-10-18T08:00:00+00:00,16.5,16.5,42
2023-10-18T09:00:00+00:00,15.1,15.1,43
2023-10-18T10:00:00+00:00,14.7,14.7,44
2023-10-18T11:00:00+00:00,14.9,14.9,45
2023-10-18T12:00:00+00:00,15.5,15.5,45
2023-10-18T13:00:00+00:00,14.3,14.3,43
2023-10-18T14:00:00+00:00,14.5,14.5,40
2023-10-18T15:00:00+00:00,15.5,15.5,40
2023-10-18T16:00:00+00:00,16.3,16.3,39
2023-10-18T17:00:00+00:00,19.0,19.0,35
2023-10-18T18:00:00+00:00,17.4,17.4,29
2023-10-18T19:00:00+00:00,14.9,14.9,25
2023-10-18T20:00:00+00:00,15.4,15.4,22
2023-10-18T21:00:00+00:00,16.3,16.3,21
2023-10-18T22:00:00+00:00,15.7,15.7,20
2023-10-18T23:00:00+00:00,15.6,15.6,21
2023-10-19T00:00:00+00:00,15.5,15.5,22
2023-10-19T01:00:00+00:00,17.4,17.4,28
2023-10-19T02:00:00+00:00,23.6,23.6,32
2023-10-19T03:00:00+00:00,23.1,23.1,36
2023-10-19T04:00:00+00:00,23.5,23.5,39
2023-10-19T05:00:00+00:00,25.1,25.2,41
2023-10-19T06:00:00+00:00,24.2,24.4,42
2023-10-19T07:00:00+00:00,20.7,20.7,43
2023-10-19T09:00:00+00:00,18.9,18.9,43
2023-10-19T10:00:00+00:00,18.8,18.8,44
2023-10-19T11:00:00+00:00,19.0,19.0,45
2023-10-19T12:00:00+00:00,19.6,19.6,44
2023-10-19T13:00:00+00:00,21.5,21.5,43
2023-10-19T14:00:00+00:00,23.9,24.0,45
2023-10-19T15:00:00+00:00,27.3,27.5,44
2023-10-19T16:00:00+00:00,31.2,33.0,39
2023-10-19T17:00:00+00:00,36.4,41.4,36
2023-10-19T18:00:00+00:00,38.2,44.5,30
2023-10-19T19:00:00+00:00,34.5,37.9,26
2023-10-19T20:00:00+00:00,33.2,35.8,22
2023-10-19T21:00:00+00:00,30.3,31.3,20
2023-10-19T22:00:00+00:00,26.0,26.1,20
2023-10-19T23:00:00+00:00,22.9,22.9,20
2023-10-20T00:00:00+00:00,26.1,26.2,22
2023-10-20T01:00:00+00:00,28.1,28.4,27
2023-10-20T02:00:00+00:00,31.5,33.1,32
2023-10-20T03:00:00+00:00,33.3,35.9,35
2023-10-20T04:00:00+00:00,32.5,34.7,38
2023-10-20T05:00:00+00:00,30.2,31.1,40
2023-10-20T06:00:00+00:00,30.2,31.1,42
2023-10-20T07:00:00+00:00,32.6,35.0,42
2023-10-20T08:00:00+00:00,30.7,32.1,40
2023-10-20T09:00:00+00:00,30.0,30.8,42
2023-10-20T10:00:00+00:00,28.6,29.1,40
2023-10-20T11:00:00+00:00,27.2,27.3,42
2023-10-20T12:00:00+00:00,28.6,29.0,45
2023-10-20T13:00:00+00:00,28.3,28.7,44
2023-10-20T14:00:00+00:00,25.8,25.9,40
2023-10-20T15:00:00+00:00,28.3,28.8,38
2023-10-20T16:00:00+00:00,28.7,29.4,37
2023-10-20T17:00:00+00:00,30.4,31.5,33
2023-10-20T18:00:00+00:00,28.3,28.7,28
2023-10-20T19:00:00+00:00,27.5,27.8,24
2023-10-20T20:00:00+00:00,27.9,28.2,21
2023-10-20T21:00:00+00:00,26.7,26.9,19
2023-10-20T22:00:00+00:00,26.9,27.0,19
