time_stamp,pm2.5_atm,pm2.5_cf_1,humidity,pm2.5_atm_a,pm2.5_atm_b
2023-10-01T00:00:00+00:00,0.4,0.4,33,0.4,0.3
2023-10-01T01:00:00+00:00,1.1,1.1,36,1.1,1.0
2023-10-01T02:00:00+00:00,1.4,1.4,40,1.4,1.3
2023-10-01T03:00:00+00:00,2.2,2.2,45,2.2,2.2
2023-10-01T04:00:00+00:00,4.4,4.4,48,4.3,4.6
2023-10-01T05:00:00+00:00,13.8,13.9,51,13.1,14.6
2023-10-01T06:00:00+00:00,31.0,32.7,53,29.7,32.3
2023-10-01T07:00:00+00:00,22.1,22.1,53,20.8,23.4
2023-10-01T08:00:00+00:00,8.1,8.1,52,7.5,8.6
2023-10-01T09:00:00+00:00,8.8,8.8,52,8.3,9.3
2023-10-01T10:00:00+00:00,7.5,7.5,52,7.1,7.9
2023-10-01T11:00:00+00:00,12.0,12.0,56,11.4,12.6
2023-10-01T12:00:00+00:00,18.6,18.6,59,17.6,19.6
2023-10-01T13:00:00+00:00,18.2,18.2,62,16.9,19.5
2023-10-01T14:00:00+00:00,17.5,17.5,61,16.1,18.9
2023-10-01T15:00:00+00:00,14.5,14.5,49,13.5,15.5
2023-10-01T16:00:00+00:00,10.7,10.7,42,10.2,11.2
2023-10-01T17:00:00+00:00,10.9,10.9,41,10.3,11.5
2023-10-01T18:00:00+00:00,15.8,15.8,41,14.9,16.6
2023-10-01T19:00:00+00:00,16.9,16.9,38,16.1,17.7
2023-10-01T20:00:00+00:00,14.2,14.2,32,13.6,14.7
2023-10-01T21:00:00+00:00,9.6,9.6,27,9.3,9.9
2023-10-01T22:00:00+00:00,7.4,7.4,26,7.3,7.6
2023-10-01T23:00:00+00:00,6.6,6.6,27,6.6,6.7
2023-10-02T00:00:00+00:00,6.3,6.3,29,6.2,6.4
2023-10-02T01:00:00+00:00,6.2,6.2,33,5.9,6.5
2023-10-02T02:00:00+00:00,7.7,7.7,35,7.5,7.9
2023-10-02T03:00:00+00:00,7.6,7.6,38,7.3,8.0
2023-10-02T04:00:00+00:00,8.6,8.6,42,8.3,9.0
2023-10-02T05:00:00+00:00,8.6,8.6,44,8.4,8.9
2023-10-02T06:00:00+00:00,9.0,9.0,44,8.7,9.3
2023-10-02T07:00:00+00:00,9.5,9.5,44,9.2,9.8
2023-10-02T08:00:00+00:00,10.7,10.7,46,10.3,11.0
2023-10-02T09:00:00+00:00,11.6,11.6,45,11.1,12.1
2023-10-02T10:00:00+00:00,11.0,11.0,45,10.4,11.5
2023-10-02T11:00:00+00:00,11.6,11.6,46,11.2,12.0
2023-10-02T12:00:00+00:00,14.3,14.3,50,13.7,15.0
2023-10-02T13:00:00+00:00,16.6,16.6,52,15.8,17.4
2023-10-02T14:00:00+00:00,20.2,20.2,52,19.1,21.4
2023-10-02T15:00:00+00:00,28.7,29.4,45,27.3,30.2
2023-10-02T16:00:00+00:00,35.2,39.1,40,33.6,36.7
2023-10-02T17:00:00+00:00,31.0,32.5,37,29.5,32.4
2023-10-02T18:00:00+00:00,25.1,25.3,33,23.6,26.7
2023-10-02T19:00:00+00:00,19.2,19.2,30,18.1,20.3
2023-10-02T20:00:00+00:00,11.6,11.6,25,11.2,12.1
2023-10-02T21:00:00+00:00,6.3,6.3,23,6.3,6.4
2023-10-02T22:00:00+00:00,6.3,6.3,22,6.2,6.4
2023-10-02T23:00:00+00:00,5.4,5.4,22,5.4,5.4
2023-10-03T00:00:00+00:00,5.8,5.8,22,5.8,5.9
2023-10-03T01:00:00+00:00,6.0,6.0,25,6.0,6.0
2023-10-03T02:00:00+00:00,5.8,5.8,28,5.8,5.9
2023-10-03T03:00:00+00:00,8.5,8.5,32,8.3,8.7
2023-10-03T04:00:00+00:00,8.0,8.0,35,7.8,8.3
2023-10-03T05:00:00+00:00,11.5,11.5,38,11.3,11.8
2023-10-03T06:00:00+00:00,12.0,12.0,42,11.6,12.4
2023-10-03T07:00:00+00:00,12.3,12.3,46,11.9,12.7
2023-10-03T08:00:00+00:00,14.5,14.5,49,13.9,15.1
2023-10-03T09:00:00+00:00,15.1,15.1,51,14.4,15.7
2023-10-03T10:00:00+00:00,15.7,15.7,52,15.0,16.4
2023-10-03T11:00:00+00:00,16.5,16.5,53,15.6,17.4
2023-10-03T12:00:00+00:00,17.0,17.0,54,16.3,17.7
2023-10-03T13:00:00+00:00,18.7,18.7,55,17.6,19.7
2023-10-03T14:00:00+00:00,18.2,18.2,51,17.1,19.2
2023-10-03T15:00:00+00:00,20.9,20.9,39,19.9,21.9
2023-10-03T16:00:00+00:00,17.7,17.7,34,17.0,18.4
2023-10-03T17:00:00+00:00,15.1,15.1,32,14.6,15.6
2023-10-03T18:00:00+00:00,13.3,13.3,29,12.7,13.9
2023-10-03T19:00:00+00:00,8.9,8.9,23,8.6,9.2
2023-10-03T20:00:00+00:00,7.1,7.1,19,7.0,7.2
2023-10-03T21:00:00+00:00,7.8,7.8,18,7.7,7.9
2023-10-03T22:00:00+00:00,7.6,7.6,17,7.6,7.7
2023-10-03T23:00:00+00:00,8.0,8.0,18,7.8,8.1
2023-10-04T00:00:00+00:00,8.6,8.6,19,8.5,8.6
2023-10-04T01:00:00+00:00,10.1,10.1,21,9.8,10.5
2023-10-04T02:00:00+00:00,10.1,10.1,26,9.7,10.5
2023-10-04T03:00:00+00:00,9.5,9.5,31,9.1,9.8
2023-10-04T04:00:00+00:00,10.5,10.5,34,10.2,10.8
2023-10-04T05:00:00+00:00,10.6,10.6,37,10.4,10.8
2023-10-04T06:00:00+00:00,10.9,10.9,39,10.7,11.1
2023-10-04T07:00:00+00:00,10.4,10.4,41,10.2,10.7
2023-10-04T08:00:00+00:00,9.8,9.8,42,9.6,10.0
2023-10-04T09:00:00+00:00,12.1,12.1,42,11.7,12.4
2023-10-04T10:00:00+00:00,10.7,10.7,44,10.5,10.8
2023-10-04T11:00:00+00:00,10.5,10.5,46,10.2,10.7
2023-10-04T12:00:00+00:00,11.6,11.6,47,11.2,12.0
2023-10-04T13:00:00+00:00,12.5,12.5,49,12.0,13.1
2023-10-04T14:00:00+00:00,14.4,14.4,46,13.6,15.2
2023-10-04T15:00:00+00:00,17.1,17.1,32,16.4,17.7
2023-10-04T16:00:00+00:00,23.7,23.7,28,22.4,25.1
2023-10-04T17:00:00+00:00,19.5,19.5,25,18.7,20.4
2023-10-04T18:00:00+00:00,12.6,12.6,22,12.3,13.0
2023-10-04T19:00:00+00:00,11.1,11.1,18,10.8,11.5
2023-10-04T20:00:00+00:00,10.9,10.9,17,10.5,11.2
2023-10-04T21:00:00+00:00,9.7,9.7,16,9.2,10.3
2023-10-04T22:00:00+00:00,8.0,8.0,15,7.6,8.5
2023-10-04T23:00:00+00:00,6.4,6.4,15,6.0,6.9
2023-10-05T00:00:00+00:00,5.1,5.1,17,5.0,5.2
2023-10-05T01:00:00+00:00,5.5,5.5,20,5.4,5.6
2023-10-05T02:00:00+00:00,7.1,7.1,24,7.0,7.3
2023-10-05T03:00:00+00:00,9.2,9.2,28,9.1,9.4
2023-10-05T04:00:00+00:00,8.8,8.8,32,8.8,8.8
2023-10-05T05:00:00+00:00,8.9,8.9,34,8.8,9.0
2023-10-05T06:00:00+00:00,9.1,9.1,36,8.8,9.4
2023-10-05T07:00:00+00:00,8.4,8.4,38,8.1,8.6
2023-10-05T08:00:00+00:00,7.6,7.6,38,7.4,7.8
2023-10-05T09:00:00+00:00,7.8,7.8,40,7.7,7.9
2023-10-05T10:00:00+00:00,8.1,8.1,41,7.9,8.4
2023-10-05T11:00:00+00:00,8.6,8.6,44,8.4,8.8
2023-10-05T12:00:00+00:00,9.2,9.2,45,8.8,9.5
2023-10-05T13:00:00+00:00,10.2,10.2,47,9.8,10.6
2023-10-05T14:00:00+00:00,11.8,11.8,44,11.3,12.3
2023-10-05T15:00:00+00:00,13.7,13.7,31,13.3,14.0
2023-10-05T16:00:00+00:00,13.0,13.0,26,12.6,13.4
2023-10-05T17:00:00+00:00,11.6,11.6,24,11.3,11.9
2023-10-05T18:00:00+00:00,8.5,8.5,21,8.3,8.7
2023-10-05T19:00:00+00:00,9.0,9.0,19,8.9,9.2
2023-10-05T20:00:00+00:00,11.2,11.2,18,10.6,11.7
2023-10-05T21:00:00+00:00,13.0,13.0,16,12.5,13.4
2023-10-05T22:00:00+00:00,13.7,13.7,16,13.2,14.3
2023-10-05T23:00:00+00:00,9.9,9.9,16,9.5,10.4
2023-10-06T00:00:00+00:00,7.0,7.0,17,6.5,7.4
2023-10-06T01:00:00+00:00,6.7,6.7,19,6.6,6.9
2023-10-06T02:00:00+00:00,9.8,9.8,23,9.7,10.0
2023-10-06T03:00:00+00:00,9.1,9.1,28,8.9,9.3
2023-10-06T04:00:00+00:00,8.3,8.3,29,8.1,8.5
2023-10-06T05:00:00+00:00,8.7,8.7,33,8.5,8.9
2023-10-06T06:00:00+00:00,11.4,11.4,36,11.0,11.8
2023-10-06T07:00:00+00:00,9.4,9.4,38,9.3,9.5
2023-10-06T08:00:00+00:00,9.9,9.9,41,9.6,10.1
2023-10-06T09:00:00+00:00,10.3,10.3,42,10.0,10.6
2023-10-06T10:00:00+00:00,10.1,10.1,44,9.7,10.4
2023-10-06T11:00:00+00:00,10.6,10.6,44,10.4,10.8
2023-10-06T12:00:00+00:00,11.3,11.3,45,10.9,11.6
2023-10-06T13:00:00+00:00,12.0,12.0,46,11.5,12.5
2023-10-06T14:00:00+00:00,13.1,13.1,45,12.6,13.5
2023-10-06T15:00:00+00:00,20.2,20.3,30,19.3,21.2
2023-10-06T16:00:00+00:00,20.5,20.5,27,19.8,21.3
2023-10-06T17:00:00+00:00,14.4,14.4,25,13.9,14.9
2023-10-06T18:00:00+00:00,12.4,12.4,22,12.1,12.7
