time_stamp,pm2.5_atm,pm2.5_cf_1,humidity
2023-10-01T00:00:00+00:00,3.4,3.5,37
2023-10-01T01:00:00+00:00,3.3,3.3,39
2023-10-01T02:00:00+00:00,2.9,2.9,41
2023-10-01T03:00:00+00:00,5.7,5.7,44
2023-10-01T04:00:00+00:00,5.9,5.9,47
2023-10-01T05:00:00+00:00,4.8,4.8,47
2023-10-01T06:00:00+00:00,6.2,6.2,48
2023-10-01T07:00:00+00:00,7.6,7.6,50
2023-10-01T08:00:00+00:00,8.8,8.8,53
2023-10-01T09:00:00+00:00,12.1,12.1,54
2023-10-01T10:00:00+00:00,13.9,13.9,55
2023-10-01T11:00:00+00:00,19.0,19.0,57
2023-10-01T12:00:00+00:00,16.6,16.6,58
2023-10-01T13:00:00+00:00,13.9,13.9,58
2023-10-01T14:00:00+00:00,14.3,14.3,59
2023-10-01T15:00:00+00:00,17.1,17.1,57
2023-10-01T16:00:00+00:00,19.6,20.2,51
2023-10-01T17:00:00+00:00,17.0,17.3,46
2023-10-01T18:00:00+00:00,18.2,18.3,44
2023-10-01T19:00:00+00:00,20.1,21.2,40
2023-10-01T20:00:00+00:00,12.3,12.4,36
2023-10-01T21:00:00+00:00,11.9,12.0,34
2023-10-01T22:00:00+00:00,7.8,7.8,34
2023-10-01T23:00:00+00:00,8.2,8.2,34
2023-10-02T00:00:00+00:00,12.1,12.8,35
2023-10-02T01:00:00+00:00,7.7,8.1,36
2023-10-02T02:00:00+00:00,13.3,15.6,39
2023-10-02T03:00:00+00:00,11.3,11.3,42
2023-10-02T04:00:00+00:00,13.3,13.3,44
2023-10-02T05:00:00+00:00,13.6,13.6,46
2023-10-02T06:00:00+00:00,12.8,12.8,46
2023-10-02T07:00:00+00:00,12.6,12.6,46
2023-10-02T08:00:00+00:00,10.8,10.8,45
2023-10-02T09:00:00+00:00,9.9,9.9,45
2023-10-02T10:00:00+00:00,8.7,8.7,45
2023-10-02T11:00:00+00:00,7.9,7.9,45
2023-10-02T12:00:00+00:00,8.3,8.3,46
2023-10-02T13:00:00+00:00,10.0,10.0,48
2023-10-02T14:00:00+00:00,11.8,11.8,50
2023-10-02T15:00:00+00:00,14.6,14.6,48
2023-10-02T16:00:00+00:00,21.1,22.3,45
2023-10-02T17:00:00+00:00,16.6,16.6,40
2023-10-02T18:00:00+00:00,13.4,13.4,35
2023-10-02T19:00:00+00:00,13.5,14.3,33
2023-10-02T20:00:00+00:00,7.5,7.5,30
2023-10-02T21:00:00+00:00,4.9,4.9,27
2023-10-02T22:00:00+00:00,5.3,5.3,26
2023-10-02T23:00:00+00:00,14.2,15.8,26
2023-10-03T00:00:00+00:00,6.2,6.2,27
2023-10-03T01:00:00+00:00,5.7,5.7,28
2023-10-03T02:00:00+00:00,7.1,7.1,30
2023-10-03T03:00:00+00:00,9.5,9.5,33
2023-10-03T04:00:00+00:00,11.0,11.0,36
2023-10-03T05:00:00+00:00,10.5,10.5,39
2023-10-03T06:00:00+00:00,11.1,11.1,41
2023-10-03T07:00:00+00:00,11.1,11.1,43
2023-10-03T08:00:00+00:00,10.8,10.8,46
2023-10-03T16:00:00+00:00,28.5,28.7,43
2023-10-03T17:00:00+00:00,25.8,25.8,40
2023-10-03T18:00:00+00:00,24.1,24.7,33
2023-10-03T19:00:00+00:00,22.9,23.7,28
2023-10-03T20:00:00+00:00,11.8,11.8,24
2023-10-03T21:00:00+00:00,9.0,9.1,22
2023-10-03T22:00:00+00:00,9.1,9.2,21
2023-10-03T23:00:00+00:00,8.0,8.0,22
2023-10-04T00:00:00+00:00,7.8,7.8,23
2023-10-04T01:00:00+00:00,12.9,13.3,26
2023-10-04T02:00:00+00:00,75.8,108.9,29
2023-10-04T03:00:00+00:00,44.8,60.0,32
2023-10-04T04:00:00+00:00,52.1,71.0,35
2023-10-04T05:00:00+00:00,44.4,58.6,38
2023-10-04T06:00:00+00:00,26.0,27.4,41
2023-10-04T07:00:00+00:00,26.9,28.2,42
2023-10-04T08:00:00+00:00,22.5,22.5,44
2023-10-04T09:00:00+00:00,21.8,21.8,46
2023-10-04T10:00:00+00:00,21.2,21.2,48
2023-10-04T11:00:00+00:00,20.8,20.8,50
2023-10-04T12:00:00+00:00,19.8,19.8,51
2023-10-04T13:00:00+00:00,19.4,19.4,52
2023-10-04T14:00:00+00:00,26.3,26.6,51
2023-10-04T15:00:00+00:00,28.1,28.3,47
2023-10-04T16:00:00+00:00,20.5,20.5,39
2023-10-04T17:00:00+00:00,22.2,22.2,33
2023-10-04T18:00:00+00:00,16.6,16.7,28
2023-10-04T19:00:00+00:00,17.2,17.5,25
2023-10-04T20:00:00+00:00,12.9,12.9,23
2023-10-04T21:00:00+00:00,8.9,8.9,22
2023-10-04T22:00:00+00:00,6.8,6.8,21
2023-10-04T23:00:00+00:00,6.3,6.3,22
2023-10-05T00:00:00+00:00,6.5,6.5,24
2023-10-05T01:00:00+00:00,8.0,8.0,26
2023-10-05T02:00:00+00:00,102.9,150.5,30
2023-10-05T03:00:00+00:00,53.5,73.2,32
2023-10-05T04:00:00+00:00,53.7,74.1,34
2023-10-05T05:00:00+00:00,38.1,48.8,37
2023-10-05T06:00:00+00:00,25.2,26.2,39
2023-10-05T07:00:00+00:00,17.6,17.6,41
2023-10-05T08:00:00+00:00,16.7,16.7,44
2023-10-05T09:00:00+00:00,19.7,19.7,46
2023-10-05T10:00:00+00:00,20.4,20.4,47
2023-10-05T11:00:00+00:00,22.8,22.8,49
2023-10-05T12:00:00+00:00,22.0,22.0,50
2023-10-05T13:00:00+00:00,22.7,22.7,51
2023-10-05T14:00:00+00:00,22.3,22.3,50
2023-10-05T15:00:00+00:00,24.8,24.8,47
2023-10-05T16:00:00+00:00,24.2,24.2,40
2023-10-05T17:00:00+00:00,16.4,16.4,34
2023-10-05T18:00:00+00:00,14.9,14.9,29
2023-10-05T19:00:00+00:00,17.7,17.9,26
2023-10-05T20:00:00+00:00,17.7,17.7,24
2023-10-05T21:00:00+00:00,12.6,12.6,23
2023-10-05T22:00:00+00:00,9.9,9.9,22
2023-10-05T23:00:00+00:00,7.9,7.9,22
2023-10-06T00:00:00+00:00,7.8,7.8,22
2023-10-06T01:00:00+00:00,10.1,10.1,25
2023-10-06T02:00:00+00:00,62.3,88.3,29
2023-10-06T03:00:00+00:00,84.9,122.3,33
2023-10-06T04:00:00+00:00,77.2,111.3,36
2023-10-06T05:00:00+00:00,44.8,58.9,39
2023-10-06T06:00:00+00:00,27.7,29.0,42
2023-10-06T07:00:00+00:00,24.8,24.8,44
2023-10-06T08:00:00+00:00,22.1,22.1,46
2023-10-06T09:00:00+00:00,23.0,23.0,47
2023-10-06T10:00:00+00:00,21.5,21.5,48
2023-10-06T11:00:00+00:00,19.1,19.1,49
2023-10-06T12:00:00+00:00,18.4,18.4,50
2023-10-06T13:00:00+00:00,18.9,18.9,50
2023-10-06T14:00:00+00:00,20.0,20.1,51
2023-10-06T15:00:00+00:00,36.1,40.5,48
2023-10-06T16:00:00+00:00,32.1,34.1,39
2023-10-06T17:00:00+00:00,30.4,31.5,35
2023-10-06T18:00:00+00:00,22.6,22.6,31
2023-10-06T19:00:00+00:00,21.3,21.3,26
2023-10-06T20:00:00+00:00,21.9,21.9,25
2023-10-06T21:00:00+00:00,18.9,18.9,23
2023-10-06T22:00:00+00:00,16.1,16.1,22
2023-10-06T23:00:00+00:00,13.0,13.0,21
2023-10-07T00:00:00+00:00,10.2,10.2,22
2023-10-07T01:00:00+00:00,11.0,11.0,25
2023-10-07T02:00:00+00:00,18.8,18.9,29
2023-10-07T03:00:00+00:00,22.9,23.5,33
2023-10-07T04:00:00+00:00,37.8,46.6,36
2023-10-07T05:00:00+00:00,34.6,40.1,38
2023-10-07T06:00:00+00:00,36.6,42.7,40
2023-10-07T07:00:00+00:00,31.2,32.5,43
2023-10-07T08:00:00+00:00,32.1,33.6,45
2023-10-07T09:00:00+00:00,32.0,33.4,47
2023-10-07T10:00:00+00:00,32.9,34.7,48
2023-10-07T11:00:00+00:00,35.3,38.6,48
2023-10-07T12:00:00+00:00,38.6,44.1,50
2023-10-07T13:00:00+00:00,50.7,64.0,51
2023-10-07T14:00:00+00:00,78.7,117.8,50
2023-10-07T15:00:00+00:00,112.7,170.2,48
2023-10-07T16:00:00+00:00,56.2,81.3,42
2023-10-07T17:00:00+00:00,32.6,35.0,35
2023-10-07T18:00:00+00:00,33.0,35.6,31
2023-10-07T19:00:00+00:00,27.3,28.5,27
2023-10-07T20:00:00+00:00,15.8,15.8,24
2023-10-07T21:00:00+00:00,14.3,14.3,22
2023-10-07T22:00:00+00:00,12.7,12.7,21
2023-10-07T23:00:00+00:00,12.1,12.1,21
2023-10-08T00:00:00+00:00,12.0,12.0,22
2023-10-08T01:00:00+00:00,19.4,20.0,25
2023-10-08T02:00:00+00:00,41.3,52.4,31
2023-10-08T03:00:00+00:00,101.7,150.1,35
2023-10-08T04:00:00+00:00,67.3,96.5,38
2023-10-08T05:00:00+00:00,50.0,68.2,40
2023-10-08T06:00:00+00:00,32.3,34.6,42
2023-10-08T07:00:00+00:00,32.3,34.2,44
2023-10-08T08:00:00+00:00,32.4,34.1,46
2023-10-08T09:00:00+00:00,32.1,33.7,48
2023-10-08T10:00:00+00:00,31.3,32.3,48
2023-10-08T11:00:00+00:00,32.5,34.0,48
2023-10-08T12:00:00+00:00,36.3,40.3,48
2023-10-08T13:00:00+00:00,40.8,48.2,48
2023-10-08T14:00:00+00:00,44.8,56.5,49
2023-10-08T15:00:00+00:00,45.1,58.0,47
2023-10-08T16:00:00+00:00,33.4,37.8,39
2023-10-08T17:00:00+00:00,22.1,23.1,30
2023-10-08T18:00:00+00:00,25.7,26.9,27
2023-10-08T19:00:00+00:00,23.6,41.3,24
2023-10-08T20:00:00+00:00,17.0,17.0,23
2023-10-08T21:00:00+00:00,15.7,15.7,21
2023-10-08T22:00:00+00:00,12.9,12.9,19
2023-10-08T23:00:00+00:00,12.1,12.1,18
2023-10-09T00:00:00+00:00,11.3,11.3,18
2023-10-09T01:00:00+00:00,23.8,26.2,23
2023-10-09T02:00:00+00:00,58.8,82.5,28
2023-10-09T03:00:00+00:00,83.3,120.8,31
2023-10-09T04:00:00+00:00,32.5,39.6,28
2023-10-09T05:00:00+00:00,24.0,26.3,31
2023-10-09T06:00:00+00:00,18.5,18.5,35
2023-10-09T07:00:00+00:00,16.7,16.7,38
2023-10-09T08:00:00+00:00,18.0,18.0,40
2023-10-09T09:00:00+00:00,16.4,16.4,40
2023-10-09T10:00:00+00:00,15.5,15.5,42
2023-10-09T11:00:00+00:00,17.8,17.8,44
2023-10-09T12:00:00+00:00,19.6,19.6,45
2023-10-09T13:00:00+00:00,19.7,19.7,46
2023-10-09T14:00:00+00:00,20.5,20.5,47
2023-10-09T15:00:00+00:00,22.1,22.1,45
2023-10-09T16:00:00+00:00,33.4,36.1,41
2023-10-09T17:00:00+00:00,35.8,40.3,36
2023-10-09T18:00:00+00:00,26.3,27.0,34
2023-10-09T19:00:00+00:00,30.5,32.2,33
2023-10-09T20:00:00+00:00,21.5,22.9,30
2023-10-09T21:00:00+00:00,14.0,14.0,32
2023-10-09T22:00:00+00:00,10.8,10.8,31
2023-10-09T23:00:00+00:00,8.9,8.9,31
2023-10-10T00:00:00+00:00,7.7,7.7,30
2023-10-10T01:00:00+00:00,8.5,8.5,34
2023-10-10T02:00:00+00:00,9.0,9.0,39
2023-10-10T03:00:00+00:00,8.6,8.6,41
2023-10-10T04:00:00+00:00,4.9,4.9,43
2023-10-10T05:00:00+00:00,3.9,3.9,46
2023-10-10T06:00:00+00:00,4.7,4.7,48
2023-10-10T07:00:00+00:00,5.7,5.7,50
2023-10-10T08:00:00+00:00,5.6,5.6,51
2023-10-10T09:00:00+00:00,5.6,5.6,52
2023-10-10T10:00:00+00:00,5.9,5.9,52
2023-10-10T11:00:00+00:00,6.4,6.4,54
2023-10-10T12:00:00+00:00,7.8,7.8,55
2023-10-10T13:00:00+00:00,14.0,14.1,56
2023-10-10T14:00:00+00:00,14.3,14.3,56
2023-10-10T15:00:00+00:00,18.0,18.0,53
2023-10-10T16:00:00+00:00,20.6,20.6,48
2023-10-10T17:00:00+00:00,13.2,13.2,47
2023-10-10T18:00:00+00:00,3.6,3.6,46
2023-10-10T19:00:00+00:00,6.7,6.8,41
2023-10-10T20:00:00+00:00,3.7,3.7,38
2023-10-10T21:00:00+00:00,3.8,3.8,37
2023-10-10T22:00:00+00:00,2.9,2.9,36
2023-10-10T23:00:00+00:00,2.5,2.5,35
2023-10-11T00:00:00+00:00,5.9,5.9,35
2023-10-11T01:00:00+00:00,7.4,7.4,34
2023-10-11T02:00:00+00:00,7.3,7.3,36
2023-10-11T03:00:00+00:00,4.1,4.1,38
2023-10-11T04:00:00+00:00,5.7,6.6,42
2023-10-11T05:00:00+00:00,2.9,2.9,43
2023-10-11T06:00:00+00:00,2.5,2.5,42
2023-10-11T07:00:00+00:00,2.5,2.5,44
