time_stamp,pm2.5_atm,pm2.5_cf_1,humidity,pm2.5_atm_a,pm2.5_atm_b
2023-10-01T00:00:00+00:00,10.7,10.7,35,1.4,19.9
2023-10-01T01:00:00+00:00,11.6,11.6,37,1.7,21.5
2023-10-01T02:00:00+00:00,11.0,11.0,38,1.9,20.1
2023-10-01T03:00:00+00:00,13.3,13.3,41,4.0,22.5
2023-10-01T04:00:00+00:00,14.0,14.0,42,4.7,23.4
2023-10-01T05:00:00+00:00,13.9,14.0,43,4.9,23.0
2023-10-01T06:00:00+00:00,14.3,14.4,44,5.2,23.5
2023-10-01T07:00:00+00:00,14.6,14.6,47,6.8,22.3
2023-10-01T08:00:00+00:00,23.1,23.9,49,15.8,30.5
2023-10-01T09:00:00+00:00,24.0,24.7,50,16.9,31.1
2023-10-01T10:00:00+00:00,20.7,20.9,52,13.1,28.4
2023-10-01T11:00:00+00:00,18.7,18.7,52,10.6,26.7
2023-10-01T12:00:00+00:00,19.4,19.5,53,11.4,27.4
2023-10-01T13:00:00+00:00,20.1,20.2,54,12.0,28.1
2023-10-01T14:00:00+00:00,21.3,21.5,54,13.3,29.2
2023-10-01T15:00:00+00:00,24.4,25.3,54,17.2,31.7
2023-10-01T16:00:00+00:00,22.6,23.2,48,14.6,30.7
2023-10-01T17:00:00+00:00,22.3,22.9,42,13.8,30.8
2023-10-01T18:00:00+00:00,22.0,22.6,39,13.2,30.9
2023-10-01T19:00:00+00:00,19.7,19.9,36,10.6,28.8
2023-10-01T20:00:00+00:00,17.7,17.8,31,8.9,26.5
2023-10-01T21:00:00+00:00,18.1,18.6,27,6.9,29.3
2023-10-01T22:00:00+00:00,18.6,19.6,26,5.5,31.6
2023-10-01T23:00:00+00:00,16.6,17.3,27,4.8,28.3
2023-10-02T00:00:00+00:00,14.1,14.1,29,5.1,23.1
2023-10-02T01:00:00+00:00,15.6,15.6,33,7.0,24.2
2023-10-02T02:00:00+00:00,18.0,18.1,38,9.6,26.4
2023-10-02T03:00:00+00:00,18.1,18.1,40,9.5,26.6
2023-10-02T04:00:00+00:00,19.7,19.8,42,11.1,28.3
2023-10-02T05:00:00+00:00,18.6,18.7,44,10.2,27.0
2023-10-02T06:00:00+00:00,16.8,16.8,44,8.3,25.2
2023-10-02T07:00:00+00:00,19.9,20.0,42,11.0,28.7
2023-10-02T08:00:00+00:00,21.3,21.8,41,13.0,29.5
2023-10-02T09:00:00+00:00,17.8,17.8,42,9.2,26.5
2023-10-02T10:00:00+00:00,16.6,16.6,42,8.1,25.1
2023-10-02T11:00:00+00:00,16.2,16.2,42,7.7,24.7
2023-10-02T12:00:00+00:00,16.4,16.4,43,7.9,24.9
2023-10-02T13:00:00+00:00,17.4,17.4,45,8.7,26.0
2023-10-02T14:00:00+00:00,17.9,17.9,47,9.6,26.2
2023-10-02T15:00:00+00:00,19.9,20.0,45,11.7,28.1
2023-10-02T16:00:00+00:00,20.9,21.1,42,12.6,29.1
2023-10-02T17:00:00+00:00,20.6,20.8,37,11.8,29.3
2023-10-02T18:00:00+00:00,19.2,19.3,35,10.6,27.8
2023-10-02T19:00:00+00:00,16.8,16.8,30,8.0,25.6
2023-10-02T20:00:00+00:00,17.5,18.0,23,5.8,29.2
2023-10-02T21:00:00+00:00,16.4,16.5,19,5.0,27.8
2023-10-02T22:00:00+00:00,15.8,15.9,18,4.9,26.7
2023-10-02T23:00:00+00:00,14.9,14.9,20,5.3,24.5
2023-10-03T00:00:00+00:00,13.9,13.9,22,5.0,22.7
2023-10-03T01:00:00+00:00,13.5,13.5,24,5.0,22.0
2023-10-03T02:00:00+00:00,15.5,15.5,29,5.9,25.1
2023-10-03T03:00:00+00:00,16.0,16.0,33,7.3,24.7
2023-10-03T04:00:00+00:00,17.3,17.4,36,8.5,26.1
2023-10-03T05:00:00+00:00,15.4,15.4,36,7.1,23.6
2023-10-03T06:00:00+00:00,15.6,15.6,38,7.4,23.8
2023-10-03T07:00:00+00:00,15.7,15.7,39,7.6,23.8
2023-10-03T08:00:00+00:00,16.1,16.1,41,8.0,24.3
2023-10-03T09:00:00+00:00,16.7,16.7,43,8.6,24.8
2023-10-03T10:00:00+00:00,16.8,16.8,46,9.1,24.5
2023-10-03T11:00:00+00:00,17.7,17.7,48,10.3,25.0
2023-10-03T12:00:00+00:00,19.2,19.2,50,12.0,26.4
2023-10-03T13:00:00+00:00,22.2,22.4,52,15.1,29.2
2023-10-03T14:00:00+00:00,23.9,24.4,53,17.2,30.6
2023-10-03T15:00:00+00:00,32.6,35.7,52,28.0,37.3
2023-10-03T16:00:00+00:00,28.5,30.5,45,21.8,35.2
2023-10-03T17:00:00+00:00,25.1,26.3,37,17.4,32.7
