time_stamp,pm2.5_atm,pm2.5_cf_1,humidity
2023-10-01T00:00:00+00:00,2.8,2.8,37
2023-10-01T01:00:00+00:00,1.9,1.9,48
2023-10-01T02:00:00+00:00,2.3,2.3,58
2023-10-01T03:00:00+00:00,2.4,2.4,62
2023-10-01T04:00:00+00:00,2.2,2.2,62
2023-10-01T05:00:00+00:00,5.4,5.4,66
2023-10-01T06:00:00+00:00,7.6,7.6,68
2023-10-01T07:00:00+00:00,12.8,12.8,68
2023-10-01T08:00:00+00:00,19.7,19.7,67
2023-10-01T09:00:00+00:00,19.2,19.2,69
2023-10-01T10:00:00+00:00,19.3,19.3,70
2023-10-01T11:00:00+00:00,17.7,17.7,72
2023-10-01T12:00:00+00:00,18.4,18.4,74
2023-10-01T13:00:00+00:00,17.8,17.8,75
2023-10-01T14:00:00+00:00,14.9,14.9,73
2023-10-01T15:00:00+00:00,12.1,12.1,68
2023-10-01T16:00:00+00:00,11.8,11.8,61
2023-10-01T17:00:00+00:00,10.6,10.6,49
2023-10-01T18:00:00+00:00,11.7,11.7,44
2023-10-01T19:00:00+00:00,13.6,13.6,42
2023-10-01T20:00:00+00:00,10.9,10.9,35
2023-10-01T21:00:00+00:00,10.1,10.1,32
2023-10-01T22:00:00+00:00,10.3,10.3,33
2023-10-01T23:00:00+00:00,8.9,8.9,33
2023-10-02T00:00:00+00:00,6.0,6.0,35
2023-10-02T01:00:00+00:00,9.6,9.6,46
2023-10-02T02:00:00+00:00,12.2,12.2,54
2023-10-02T03:00:00+00:00,9.4,9.4,56
2023-10-02T04:00:00+00:00,7.5,7.5,59
2023-10-02T05:00:00+00:00,8.3,8.3,62
2023-10-02T06:00:00+00:00,9.2,9.2,62
2023-10-02T07:00:00+00:00,10.5,10.5,63
2023-10-02T08:00:00+00:00,11.4,11.4,63
2023-10-02T09:00:00+00:00,12.3,12.3,63
2023-10-02T10:00:00+00:00,14.0,14.0,66
2023-10-02T11:00:00+00:00,22.1,22.1,66
2023-10-02T12:00:00+00:00,17.9,17.9,69
2023-10-02T13:00:00+00:00,17.2,17.2,68
2023-10-02T14:00:00+00:00,90.9,129.5,68
2023-10-02T15:00:00+00:00,76.0,103.9,59
2023-10-02T16:00:00+00:00,25.4,25.5,50
2023-10-02T17:00:00+00:00,21.7,21.7,48
2023-10-02T18:00:00+00:00,20.9,20.9,41
2023-10-02T19:00:00+00:00,17.5,17.5,34
2023-10-02T20:00:00+00:00,10.2,10.2,30
2023-10-02T21:00:00+00:00,10.0,10.0,29
2023-10-02T22:00:00+00:00,10.1,10.1,28
2023-10-02T23:00:00+00:00,8.3,8.3,30
2023-10-03T00:00:00+00:00,7.3,7.3,29
2023-10-03T01:00:00+00:00,8.1,8.1,37
2023-10-03T02:00:00+00:00,9.4,9.4,48
2023-10-03T03:00:00+00:00,7.8,7.8,50
2023-10-03T04:00:00+00:00,9.5,9.5,56
2023-10-03T05:00:00+00:00,13.5,13.5,60
2023-10-03T06:00:00+00:00,15.1,15.1,65
2023-10-03T07:00:00+00:00,17.1,17.1,66
2023-10-03T08:00:00+00:00,19.2,19.2,68
2023-10-03T09:00:00+00:00,21.1,21.1,67
2023-10-03T10:00:00+00:00,20.9,20.9,68
2023-10-03T11:00:00+00:00,23.9,23.9,70
2023-10-03T12:00:00+00:00,22.6,22.6,71
2023-10-03T13:00:00+00:00,23.6,23.6,70
2023-10-03T14:00:00+00:00,25.4,25.4,70
2023-10-03T15:00:00+00:00,22.4,22.4,62
2023-10-03T16:00:00+00:00,19.8,19.8,47
2023-10-03T17:00:00+00:00,17.8,17.8,40
2023-10-03T18:00:00+00:00,17.5,17.5,35
2023-10-03T19:00:00+00:00,12.4,12.4,30
2023-10-03T20:00:00+00:00,6.6,6.6,24
2023-10-03T21:00:00+00:00,6.8,6.8,23
2023-10-03T22:00:00+00:00,6.0,6.0,23
2023-10-03T23:00:00+00:00,5.9,5.9,22
2023-10-04T00:00:00+00:00,6.5,6.5,24
2023-10-04T01:00:00+00:00,6.5,6.5,33
2023-10-04T02:00:00+00:00,6.9,6.9,39
2023-10-04T03:00:00+00:00,7.5,7.5,44
2023-10-04T04:00:00+00:00,9.0,9.0,50
2023-10-04T05:00:00+00:00,11.5,11.5,55
2023-10-04T06:00:00+00:00,13.0,13.0,56
2023-10-04T07:00:00+00:00,12.7,12.7,59
2023-10-04T08:00:00+00:00,12.9,12.9,60
2023-10-04T09:00:00+00:00,13.9,13.9,61
2023-10-04T10:00:00+00:00,13.7,13.7,62
2023-10-04T11:00:00+00:00,15.8,15.8,63
2023-10-04T12:00:00+00:00,18.1,18.1,62
2023-10-04T13:00:00+00:00,18.4,18.4,64
2023-10-04T14:00:00+00:00,20.2,20.2,63
2023-10-04T15:00:00+00:00,26.2,26.6,56
2023-10-04T16:00:00+00:00,19.7,19.7,41
2023-10-04T17:00:00+00:00,12.7,12.7,35
2023-10-04T18:00:00+00:00,9.2,9.2,29
2023-10-04T19:00:00+00:00,8.9,8.9,25
2023-10-04T20:00:00+00:00,9.4,9.5,24
2023-10-04T21:00:00+00:00,8.2,8.2,23
2023-10-04T22:00:00+00:00,5.7,5.7,22
2023-10-04T23:00:00+00:00,4.9,4.9,23
2023-10-05T00:00:00+00:00,4.1,4.1,25
2023-10-05T01:00:00+00:00,4.1,4.1,33
2023-10-05T02:00:00+00:00,5.8,5.8,40
2023-10-05T03:00:00+00:00,6.2,6.2,45
2023-10-05T04:00:00+00:00,7.1,7.2,47
2023-10-05T05:00:00+00:00,7.8,7.8,48
2023-10-05T06:00:00+00:00,9.1,9.1,56
2023-10-05T07:00:00+00:00,8.4,8.4,55
2023-10-05T08:00:00+00:00,8.3,8.3,55
2023-10-05T09:00:00+00:00,10.0,10.0,57
2023-10-05T10:00:00+00:00,12.9,12.9,59
2023-10-05T11:00:00+00:00,14.7,14.7,61
2023-10-05T12:00:00+00:00,18.0,18.0,63
2023-10-05T13:00:00+00:00,17.5,17.5,63
2023-10-05T14:00:00+00:00,20.1,20.1,62
2023-10-05T15:00:00+00:00,24.3,24.4,54
2023-10-05T16:00:00+00:00,14.4,14.4,39
2023-10-05T17:00:00+00:00,13.7,13.7,32
2023-10-05T18:00:00+00:00,16.2,16.2,28
2023-10-05T19:00:00+00:00,16.8,16.8,26
2023-10-05T20:00:00+00:00,11.9,11.9,25
2023-10-05T21:00:00+00:00,13.9,13.9,24
2023-10-05T22:00:00+00:00,11.0,11.0,23
2023-10-05T23:00:00+00:00,10.1,10.1,23
2023-10-06T00:00:00+00:00,10.3,10.3,25
2023-10-06T01:00:00+00:00,10.9,10.9,33
2023-10-06T02:00:00+00:00,12.7,12.7,40
2023-10-06T03:00:00+00:00,15.0,15.0,51
2023-10-06T04:00:00+00:00,16.6,16.6,52
2023-10-06T05:00:00+00:00,17.7,17.7,61
2023-10-06T06:00:00+00:00,16.9,16.9,63
2023-10-06T07:00:00+00:00,15.8,15.8,62
2023-10-06T08:00:00+00:00,20.6,20.6,64
2023-10-06T09:00:00+00:00,23.9,24.0,68
2023-10-06T10:00:00+00:00,25.2,25.2,65
2023-10-06T11:00:00+00:00,29.9,30.8,64
2023-10-06T12:00:00+00:00,27.6,27.9,65
2023-10-06T13:00:00+00:00,28.3,28.8,63
