time_stamp,pm2.5_atm,pm2.5_cf_1,humidity
2023-10-01T00:00:00+00:00,0.0,0.0,36
2023-10-01T01:00:00+00:00,0.0,0.0,39
2023-10-01T02:00:00+00:00,0.0,0.0,41
2023-10-01T03:00:00+00:00,0.6,0.6,44
2023-10-01T04:00:00+00:00,1.6,1.6,48
2023-10-01T05:00:00+00:00,2.0,2.0,49
2023-10-01T06:00:00+00:00,3.1,3.1,50
2023-10-01T07:00:00+00:00,6.2,6.2,52
2023-10-01T08:00:00+00:00,23.2,23.2,52
2023-10-01T09:00:00+00:00,11.1,11.1,53
2023-10-01T10:00:00+00:00,5.4,5.4,53
2023-10-01T11:00:00+00:00,6.9,6.9,55
2023-10-01T12:00:00+00:00,6.6,6.6,56
2023-10-01T13:00:00+00:00,7.3,7.3,57
2023-10-01T14:00:00+00:00,9.5,9.5,58
2023-10-01T15:00:00+00:00,18.4,18.4,54
2023-10-01T16:00:00+00:00,13.3,13.3,42
2023-10-01T17:00:00+00:00,8.7,8.7,39
2023-10-01T18:00:00+00:00,10.6,10.6,38
2023-10-01T19:00:00+00:00,9.9,9.9,35
2023-10-01T20:00:00+00:00,5.4,5.4,34
2023-10-01T21:00:00+00:00,3.8,3.8,32
2023-10-01T22:00:00+00:00,2.0,2.0,30
2023-10-01T23:00:00+00:00,3.7,3.7,30
2023-10-02T00:00:00+00:00,1.7,1.7,32
2023-10-02T01:00:00+00:00,2.4,2.4,35
2023-10-02T02:00:00+00:00,4.1,4.1,39
2023-10-02T03:00:00+00:00,5.0,5.0,43
2023-10-02T04:00:00+00:00,17.8,17.8,46
2023-10-02T05:00:00+00:00,7.9,7.9,46
2023-10-02T06:00:00+00:00,6.1,6.1,44
2023-10-02T07:00:00+00:00,7.0,7.0,44
2023-10-02T08:00:00+00:00,7.9,7.9,45
2023-10-02T09:00:00+00:00,6.4,6.4,45
2023-10-02T10:00:00+00:00,7.1,7.1,45
2023-10-02T11:00:00+00:00,5.6,5.6,45
2023-10-02T12:00:00+00:00,5.8,5.8,45
2023-10-02T13:00:00+00:00,5.7,5.7,46
2023-10-02T14:00:00+00:00,6.0,6.0,48
2023-10-02T15:00:00+00:00,8.7,8.7,46
2023-10-02T16:00:00+00:00,10.6,10.6,36
2023-10-02T17:00:00+00:00,10.6,10.6,33
2023-10-02T18:00:00+00:00,7.7,7.7,32
2023-10-02T19:00:00+00:00,4.8,4.8,30
2023-10-02T20:00:00+00:00,2.2,2.2,26
2023-10-02T21:00:00+00:00,1.4,1.4,23
2023-10-02T22:00:00+00:00,1.4,1.4,22
2023-10-02T23:00:00+00:00,1.5,1.5,22
2023-10-03T00:00:00+00:00,22.4,22.4,24
2023-10-03T01:00:00+00:00,1.3,1.3,26
2023-10-03T02:00:00+00:00,1.6,1.6,31
2023-10-03T03:00:00+00:00,2.8,2.8,35
2023-10-03T04:00:00+00:00,3.3,3.3,37
2023-10-03T05:00:00+00:00,3.1,3.1,37
2023-10-03T06:00:00+00:00,8.8,8.8,40
2023-10-03T07:00:00+00:00,8.3,8.3,43
2023-10-03T08:00:00+00:00,5.9,5.9,46
2023-10-03T09:00:00+00:00,6.5,6.5,47
2023-10-03T10:00:00+00:00,6.3,6.3,49
2023-10-03T11:00:00+00:00,7.1,7.1,51
2023-10-03T12:00:00+00:00,7.3,7.3,53
2023-10-03T13:00:00+00:00,10.8,10.8,54
2023-10-03T14:00:00+00:00,18.1,18.1,55
2023-10-03T15:00:00+00:00,24.2,24.2,50
2023-10-03T16:00:00+00:00,19.7,19.7,37
2023-10-03T17:00:00+00:00,15.4,15.4,33
2023-10-03T18:00:00+00:00,14.8,14.8,30
2023-10-03T19:00:00+00:00,6.5,6.5,24
2023-10-03T20:00:00+00:00,5.9,5.9,21
2023-10-03T21:00:00+00:00,5.9,5.9,19
2023-10-03T22:00:00+00:00,6.6,6.6,19
2023-10-03T23:00:00+00:00,3.7,3.7,19
2023-10-04T00:00:00+00:00,4.0,4.0,21
2023-10-04T01:00:00+00:00,4.7,4.7,27
2023-10-04T02:00:00+00:00,5.0,5.0,32
2023-10-04T03:00:00+00:00,5.6,5.6,35
2023-10-04T04:00:00+00:00,6.7,6.7,38
2023-10-04T05:00:00+00:00,7.8,7.8,41
2023-10-04T06:00:00+00:00,8.6,8.6,44
2023-10-04T07:00:00+00:00,11.2,11.2,45
