time_stamp,pm2.5_atm,pm2.5_cf_1,humidity
2023-10-01T00:00:00+00:00,0.3,0.3,35
2023-10-01T01:00:00+00:00,0.6,0.6,37
2023-10-01T02:00:00+00:00,2.3,2.3,41
2023-10-01T03:00:00+00:00,1.9,1.9,43
2023-10-01T04:00:00+00:00,3.6,3.6,46
2023-10-01T05:00:00+00:00,12.4,14.1,49
2023-10-01T06:00:00+00:00,8.8,8.9,50
2023-10-01T07:00:00+00:00,14.7,14.7,51
2023-10-01T08:00:00+00:00,5.6,5.6,51
2023-10-01T09:00:00+00:00,6.3,6.3,53
2023-10-01T10:00:00+00:00,12.0,12.4,53
2023-10-01T11:00:00+00:00,8.2,9.4,55
2023-10-01T12:00:00+00:00,5.3,5.3,56
2023-10-01T13:00:00+00:00,5.7,5.7,57
2023-10-01T14:00:00+00:00,7.3,7.3,58
2023-10-01T15:00:00+00:00,12.1,12.6,57
2023-10-01T16:00:00+00:00,7.2,7.2,53
2023-10-01T17:00:00+00:00,6.8,6.8,49
2023-10-01T18:00:00+00:00,6.7,6.7,47
2023-10-01T19:00:00+00:00,8.4,8.4,43
2023-10-01T20:00:00+00:00,8.0,8.0,39
2023-10-01T21:00:00+00:00,5.9,5.9,36
2023-10-01T22:00:00+00:00,7.6,7.7,34
2023-10-01T23:00:00+00:00,9.5,9.5,34
2023-10-02T00:00:00+00:00,13.3,13.9,34
2023-10-02T01:00:00+00:00,11.5,11.6,35
2023-10-02T02:00:00+00:00,7.9,8.0,37
2023-10-02T03:00:00+00:00,7.2,7.2,41
2023-10-02T04:00:00+00:00,5.4,5.4,43
2023-10-02T05:00:00+00:00,5.6,5.6,44
2023-10-02T06:00:00+00:00,5.6,5.6,43
2023-10-02T07:00:00+00:00,6.6,6.6,45
2023-10-02T08:00:00+00:00,7.7,7.7,45
2023-10-02T09:00:00+00:00,6.5,6.5,45
2023-10-02T10:00:00+00:00,7.4,7.4,46
2023-10-02T11:00:00+00:00,9.1,9.1,47
2023-10-02T12:00:00+00:00,8.0,8.0,47
2023-10-02T13:00:00+00:00,6.7,6.7,48
2023-10-02T14:00:00+00:00,6.9,6.9,49
2023-10-02T15:00:00+00:00,9.5,9.6,49
2023-10-02T16:00:00+00:00,13.1,13.1,47
2023-10-02T17:00:00+00:00,15.2,15.2,44
