time_stamp,pm2.5_atm,pm2.5_atm_a,pm2.5_atm_b
2023-10-01T00:00:00+00:00,1663.7,3327.4,0.0
2023-10-01T01:00:00+00:00,1664.0,3327.9,0.0
2023-10-01T02:00:00+00:00,1664.4,3328.7,0.0
2023-10-01T03:00:00+00:00,1664.0,3327.7,0.3
2023-10-01T04:00:00+00:00,1664.3,3327.5,1.1
2023-10-01T05:00:00+00:00,1664.8,3328.2,1.3
2023-10-01T06:00:00+00:00,1665.5,3329.1,2.0
2023-10-01T07:00:00+00:00,1665.8,3328.2,3.4
2023-10-01T08:00:00+00:00,1667.0,3328.2,5.8
2023-10-01T09:00:00+00:00,1673.4,3329.5,17.3
2023-10-01T10:00:00+00:00,1671.7,3328.8,14.6
2023-10-01T11:00:00+00:00,1668.8,3328.4,9.3
2023-10-01T12:00:00+00:00,1670.4,3329.2,11.5
2023-10-01T13:00:00+00:00,1669.9,3329.6,10.1
2023-10-01T14:00:00+00:00,1668.6,3328.1,9.0
2023-10-01T15:00:00+00:00,1669.6,3326.0,13.2
2023-10-01T16:00:00+00:00,1670.4,3328.2,12.6
2023-10-01T17:00:00+00:00,1669.2,3327.8,10.6
2023-10-01T18:00:00+00:00,1669.5,3328.0,10.9
2023-10-01T19:00:00+00:00,1666.7,3327.7,5.8
2023-10-01T20:00:00+00:00,1666.7,3327.8,5.6
2023-10-01T21:00:00+00:00,1664.9,3326.9,2.9
2023-10-01T22:00:00+00:00,1664.5,3327.1,1.9
2023-10-01T23:00:00+00:00,1663.6,3326.7,0.5
2023-10-02T00:00:00+00:00,1664.0,3327.5,0.5
2023-10-02T01:00:00+00:00,1666.7,3327.3,6.0
2023-10-02T02:00:00+00:00,1666.7,3328.8,4.7
2023-10-02T03:00:00+00:00,1666.7,3327.2,6.2
2023-10-02T04:00:00+00:00,1666.7,3327.1,6.4
2023-10-02T05:00:00+00:00,1667.8,3329.4,6.2
2023-10-02T06:00:00+00:00,1667.5,3328.2,6.7
2023-10-02T07:00:00+00:00,1671.2,3327.6,14.9
2023-10-02T08:00:00+00:00,1667.9,3328.0,7.9
2023-10-02T09:00:00+00:00,1667.6,3328.9,6.3
2023-10-02T10:00:00+00:00,1666.6,3329.1,4.2
2023-10-02T11:00:00+00:00,1667.0,3328.6,5.3
2023-10-02T12:00:00+00:00,1667.7,3328.9,6.4
2023-10-02T13:00:00+00:00,1667.8,3328.8,6.7
2023-10-02T14:00:00+00:00,1667.7,3327.7,7.8
2023-10-02T15:00:00+00:00,1669.7,3328.2,11.3
2023-10-02T16:00:00+00:00,1668.2,3326.7,9.7
2023-10-02T17:00:00+00:00,1667.3,3327.6,6.9
2023-10-02T18:00:00+00:00,1666.9,3328.3,5.5
2023-10-02T19:00:00+00:00,1665.2,3327.0,3.3
