time_stamp,pm2.5_atm,pm2.5_cf_1,humidity
2023-10-01T00:00:00+00:00,10.7,10.7,35
2023-10-01T01:00:00+00:00,11.6,11.6,37
2023-10-01T02:00:00+00:00,11.0,11.0,38
2023-10-01T03:00:00+00:00,13.3,13.3,41
2023-10-01T04:00:00+00:00,14.0,14.0,42
2023-10-01T05:00:00+00:00,13.9,14.0,43
2023-10-01T06:00:00+00:00,14.3,14.4,44
2023-10-01T07:00:00+00:00,14.6,14.6,47
2023-10-01T08:00:00+00:00,23.1,23.9,49
2023-10-01T09:00:00+00:00,24.0,24.7,50
2023-10-01T10:00:00+00:00,20.7,20.9,52
2023-10-01T11:00:00+00:00,18.7,18.7,52
2023-10-01T12:00:00+00:00,19.4,19.5,53
2023-10-01T13:00:00+00:00,20.1,20.2,54
2023-10-01T14:00:00+00:00,21.3,21.5,54
2023-10-01T15:00:00+00:00,24.4,25.3,54
2023-10-01T16:00:00+00:00,22.6,23.2,48
2023-10-01T17:00:00+00:00,22.3,22.9,42
2023-10-01T18:00:00+00:00,22.0,22.6,39
2023-10-01T19:00:00+00:00,19.7,19.9,36
2023-10-01T20:00:00+00:00,17.7,17.8,31
2023-10-01T21:00:00+00:00,18.1,18.6,27
2023-10-01T22:00:00+00:00,18.6,19.6,26
2023-10-01T23:00:00+00:00,16.6,17.3,27
2023-10-02T00:00:00+00:00,14.1,14.1,29
2023-10-02T01:00:00+00:00,15.6,15.6,33
2023-10-02T02:00:00+00:00,18.0,18.1,38
2023-10-02T03:00:00+00:00,18.1,18.1,40
2023-10-02T04:00:00+00:00,19.7,19.8,42
2023-10-02T05:00:00+00:00,18.6,18.7,44
2023-10-02T06:00:00+00:00,16.8,16.8,44
2023-10-02T07:00:00+00:00,19.9,20.0,42
2023-10-02T08:00:00+00:00,21.3,21.8,41
2023-10-02T09:00:00+00:00,17.8,17.8,42
2023-10-02T10:00:00+00:00,16.6,16.6,42
2023-10-02T11:00:00+00:00,16.2,16.2,42
2023-10-02T12:00:00+00:00,16.4,16.4,43
2023-10-02T13:00:00+00:00,17.4,17.4,45
2023-10-02T14:00:00+00:00,17.9,17.9,47
2023-10-02T15:00:00+00:00,19.9,20.0,45
2023-10-02T16:00:00+00:00,20.9,21.1,42
2023-10-02T17:00:00+00:00,20.6,20.8,37
2023-10-02T18:00:00+00:00,19.2,19.3,35
2023-10-02T19:00:00+00:00,16.8,16.8,30
2023-10-02T20:00:00+00:00,17.5,18.0,23
2023-10-02T21:00:00+00:00,16.4,16.5,19
2023-10-02T22:00:00+00:00,15.8,15.9,18
2023-10-02T23:00:00+00:00,14.9,14.9,20
2023-10-03T00:00:00+00:00,13.9,13.9,22
2023-10-03T01:00:00+00:00,13.5,13.5,24
2023-10-03T02:00:00+00:00,15.5,15.5,29
2023-10-03T03:00:00+00:00,16.0,16.0,33
2023-10-03T04:00:00+00:00,17.3,17.4,36
2023-10-03T05:00:00+00:00,15.4,15.4,36
2023-10-03T06:00:00+00:00,15.6,15.6,38
2023-10-03T07:00:00+00:00,15.7,15.7,39
2023-10-03T08:00:00+00:00,16.1,16.1,41
2023-10-03T09:00:00+00:00,16.7,16.7,43
2023-10-03T10:00:00+00:00,16.8,16.8,46
2023-10-03T11:00:00+00:00,17.7,17.7,48
2023-10-03T12:00:00+00:00,19.2,19.2,50
2023-10-03T13:00:00+00:00,22.2,22.4,52
2023-10-03T14:00:00+00:00,23.9,24.4,53
2023-10-03T15:00:00+00:00,32.6,35.7,52
2023-10-03T16:00:00+00:00,28.5,30.5,45
2023-10-03T17:00:00+00:00,25.1,26.3,37
2023-10-03T18:00:00+00:00,23.9,24.6,32
2023-10-03T19:00:00+00:00,22.8,23.7,27
2023-10-03T20:00:00+00:00,20.8,21.5,19
2023-10-03T21:00:00+00:00,18.9,19.5,16
2023-10-03T22:00:00+00:00,15.4,15.4,15
2023-10-03T23:00:00+00:00,15.9,16.2,17
2023-10-04T00:00:00+00:00,15.5,15.5,20
2023-10-04T01:00:00+00:00,16.2,16.2,25
2023-10-04T02:00:00+00:00,18.3,18.4,30
2023-10-04T03:00:00+00:00,19.7,19.8,34
2023-10-04T04:00:00+00:00,19.0,19.1,37
2023-10-04T05:00:00+00:00,20.6,20.8,40
2023-10-04T06:00:00+00:00,20.3,20.4,41
2023-10-04T07:00:00+00:00,20.3,20.4,43
2023-10-04T08:00:00+00:00,20.6,20.6,45
2023-10-04T09:00:00+00:00,21.5,21.7,46
2023-10-04T10:00:00+00:00,22.5,22.9,48
2023-10-04T11:00:00+00:00,22.2,22.4,49
2023-10-04T12:00:00+00:00,21.9,22.1,50
2023-10-04T13:00:00+00:00,21.6,21.8,51
2023-10-04T14:00:00+00:00,21.8,21.9,51
2023-10-04T15:00:00+00:00,24.6,25.2,51
2023-10-04T16:00:00+00:00,25.0,26.0,44
2023-10-04T17:00:00+00:00,22.9,23.4,35
2023-10-04T18:00:00+00:00,23.4,24.0,28
2023-10-04T19:00:00+00:00,21.2,21.9,24
2023-10-04T20:00:00+00:00,21.8,23.2,19
2023-10-04T21:00:00+00:00,16.5,16.6,16
2023-10-04T22:00:00+00:00,13.7,13.7,15
2023-10-04T23:00:00+00:00,14.1,14.1,17
2023-10-05T00:00:00+00:00,17.0,17.5,20
2023-10-05T01:00:00+00:00,15.7,15.8,26
2023-10-05T02:00:00+00:00,16.1,16.1,31
2023-10-05T03:00:00+00:00,17.0,17.0,34
2023-10-05T04:00:00+00:00,18.7,18.7,37
2023-10-05T05:00:00+00:00,20.1,20.1,38
2023-10-05T06:00:00+00:00,20.8,21.0,39
2023-10-05T07:00:00+00:00,20.1,20.2,40
2023-10-05T08:00:00+00:00,19.4,19.4,41
2023-10-05T09:00:00+00:00,20.8,21.0,43
2023-10-05T10:00:00+00:00,21.9,22.1,45
2023-10-05T11:00:00+00:00,21.4,21.5,48
2023-10-05T12:00:00+00:00,21.0,21.1,49
2023-10-05T13:00:00+00:00,20.9,21.0,51
2023-10-05T14:00:00+00:00,21.2,21.3,52
2023-10-05T15:00:00+00:00,21.7,21.9,53
2023-10-05T16:00:00+00:00,24.3,25.0,48
2023-10-05T17:00:00+00:00,22.6,23.0,39
2023-10-05T18:00:00+00:00,22.7,24.2,30
2023-10-05T19:00:00+00:00,25.9,28.3,25
2023-10-05T20:00:00+00:00,23.0,24.3,20
2023-10-05T21:00:00+00:00,17.3,17.4,17
2023-10-05T22:00:00+00:00,14.4,14.4,15
2023-10-05T23:00:00+00:00,14.9,14.9,17
2023-10-06T00:00:00+00:00,20.3,21.4,21
2023-10-06T01:00:00+00:00,20.9,22.0,27
2023-10-06T02:00:00+00:00,19.8,20.3,32
2023-10-06T03:00:00+00:00,21.3,21.6,36
2023-10-06T04:00:00+00:00,20.9,21.0,38
2023-10-06T05:00:00+00:00,21.5,21.8,39
2023-10-06T06:00:00+00:00,22.6,23.0,42
2023-10-06T07:00:00+00:00,22.3,22.6,44
2023-10-06T08:00:00+00:00,23.1,23.7,45
2023-10-06T09:00:00+00:00,23.1,23.6,47
2023-10-06T10:00:00+00:00,22.4,22.7,47
2023-10-06T11:00:00+00:00,21.7,21.9,47
2023-10-06T12:00:00+00:00,21.0,21.1,48
2023-10-06T13:00:00+00:00,22.1,22.4,50
2023-10-06T14:00:00+00:00,22.7,23.0,51
2023-10-06T15:00:00+00:00,27.5,29.1,52
2023-10-06T16:00:00+00:00,29.7,32.1,44
2023-10-06T17:00:00+00:00,25.1,26.0,34
2023-10-06T18:00:00+00:00,28.9,32.6,30
2023-10-06T19:00:00+00:00,25.6,27.2,26
2023-10-06T20:00:00+00:00,25.7,27.1,20
2023-10-06T21:00:00+00:00,24.2,25.5,17
2023-10-06T22:00:00+00:00,20.3,20.8,15
2023-10-06T23:00:00+00:00,17.6,17.6,17
2023-10-07T00:00:00+00:00,17.3,17.4,20
2023-10-07T01:00:00+00:00,18.6,19.4,27
2023-10-07T02:00:00+00:00,17.9,17.9,31
2023-10-07T03:00:00+00:00,19.6,19.7,35
2023-10-07T04:00:00+00:00,23.4,24.0,39
2023-10-07T05:00:00+00:00,26.6,27.9,41
2023-10-07T06:00:00+00:00,27.0,28.4,44
2023-10-07T07:00:00+00:00,27.5,28.9,46
2023-10-07T08:00:00+00:00,28.8,30.6,47
2023-10-07T09:00:00+00:00,28.8,30.6,48
2023-10-07T10:00:00+00:00,29.1,30.9,49
2023-10-07T11:00:00+00:00,29.9,32.0,50
2023-10-07T12:00:00+00:00,31.4,33.8,52
2023-10-07T13:00:00+00:00,31.4,33.7,53
2023-10-07T14:00:00+00:00,31.9,34.3,53
2023-10-07T15:00:00+00:00,39.5,48.3,55
2023-10-07T16:00:00+00:00,49.7,70.6,50
2023-10-07T17:00:00+00:00,32.3,35.3,39
2023-10-07T18:00:00+00:00,32.8,37.1,31
2023-10-07T19:00:00+00:00,32.0,35.4,27
2023-10-07T20:00:00+00:00,21.1,21.5,20
2023-10-07T21:00:00+00:00,19.6,20.0,17
2023-10-07T22:00:00+00:00,21.7,22.5,15
2023-10-07T23:00:00+00:00,21.7,22.2,18
2023-10-08T00:00:00+00:00,21.8,22.5,22
2023-10-08T01:00:00+00:00,23.6,24.7,28
2023-10-08T02:00:00+00:00,27.0,28.4,32
2023-10-08T03:00:00+00:00,29.8,32.8,36
2023-10-08T04:00:00+00:00,29.6,31.8,38
2023-10-08T05:00:00+00:00,30.8,32.9,40
2023-10-08T06:00:00+00:00,31.9,34.2,42
2023-10-08T07:00:00+00:00,33.3,36.4,44
2023-10-08T08:00:00+00:00,32.8,35.5,46
2023-10-08T09:00:00+00:00,30.9,33.2,48
2023-10-08T10:00:00+00:00,30.0,32.1,48
2023-10-08T11:00:00+00:00,30.1,32.2,48
2023-10-08T12:00:00+00:00,30.8,33.0,49
2023-10-08T13:00:00+00:00,32.9,35.8,50
2023-10-08T14:00:00+00:00,35.6,40.3,51
2023-10-08T15:00:00+00:00,40.7,49.6,52
2023-10-08T16:00:00+00:00,30.9,33.8,44
2023-10-08T17:00:00+00:00,25.6,26.9,34
2023-10-08T18:00:00+00:00,27.6,29.9,28
2023-10-08T19:00:00+00:00,27.4,29.4,24
2023-10-08T20:00:00+00:00,24.1,25.2,19
2023-10-08T21:00:00+00:00,23.3,24.4,15
2023-10-08T22:00:00+00:00,23.0,24.0,15
2023-10-08T23:00:00+00:00,21.1,21.7,16
2023-10-09T00:00:00+00:00,20.6,20.9,19
2023-10-09T01:00:00+00:00,24.5,26.6,27
2023-10-09T02:00:00+00:00,25.2,26.6,31
2023-10-09T03:00:00+00:00,24.5,25.5,32
2023-10-09T04:00:00+00:00,18.8,18.8,26
2023-10-09T05:00:00+00:00,19.5,19.5,31
2023-10-09T06:00:00+00:00,21.0,21.1,34
2023-10-09T07:00:00+00:00,21.6,21.8,37
2023-10-09T08:00:00+00:00,22.3,22.6,38
2023-10-09T09:00:00+00:00,21.1,21.3,37
2023-10-09T10:00:00+00:00,22.9,23.4,39
2023-10-09T11:00:00+00:00,24.1,24.7,41
2023-10-09T12:00:00+00:00,25.0,25.7,42
2023-10-09T13:00:00+00:00,26.1,27.1,45
2023-10-09T14:00:00+00:00,26.5,27.6,45
2023-10-09T15:00:00+00:00,25.7,26.8,43
2023-10-09T16:00:00+00:00,31.2,33.8,41
2023-10-09T17:00:00+00:00,32.8,36.0,35
2023-10-09T18:00:00+00:00,25.8,26.8,33
2023-10-09T19:00:00+00:00,25.1,26.4,31
2023-10-09T20:00:00+00:00,22.4,23.3,28
2023-10-09T21:00:00+00:00,20.9,21.3,27
2023-10-09T22:00:00+00:00,17.9,17.9,27
2023-10-09T23:00:00+00:00,17.9,17.9,29
2023-10-10T00:00:00+00:00,17.7,17.7,28
2023-10-10T01:00:00+00:00,17.0,17.0,32
2023-10-10T02:00:00+00:00,15.8,15.8,35
2023-10-10T03:00:00+00:00,14.2,14.2,38
2023-10-10T04:00:00+00:00,12.5,12.5,40
2023-10-10T05:00:00+00:00,12.7,12.7,42
2023-10-10T06:00:00+00:00,13.4,13.4,44
2023-10-10T07:00:00+00:00,13.9,13.9,46
2023-10-10T08:00:00+00:00,14.2,14.2,47
2023-10-10T09:00:00+00:00,15.5,15.6,48
2023-10-10T10:00:00+00:00,14.6,14.6,49
2023-10-10T11:00:00+00:00,14.1,14.1,51
2023-10-10T12:00:00+00:00,15.1,15.1,53
2023-10-10T13:00:00+00:00,15.0,15.0,54
2023-10-10T14:00:00+00:00,16.9,16.9,55
2023-10-10T15:00:00+00:00,21.9,22.2,52
2023-10-10T16:00:00+00:00,23.4,24.2,49
2023-10-10T17:00:00+00:00,17.7,17.8,50
2023-10-10T18:00:00+00:00,15.4,15.4,45
2023-10-10T19:00:00+00:00,12.7,12.7,38
2023-10-10T20:00:00+00:00,14.4,14.6,30
2023-10-10T21:00:00+00:00,12.6,12.6,27
2023-10-10T22:00:00+00:00,15.0,15.6,25
2023-10-10T23:00:00+00:00,13.1,13.1,27
2023-10-11T00:00:00+00:00,17.2,17.8,28
2023-10-11T01:00:00+00:00,13.1,13.1,29
2023-10-11T02:00:00+00:00,12.1,12.1,32
2023-10-11T03:00:00+00:00,11.2,11.2,34
2023-10-11T04:00:00+00:00,11.4,11.4,37
2023-10-11T05:00:00+00:00,11.3,11.3,37
2023-10-11T06:00:00+00:00,11.1,11.1,37
2023-10-11T07:00:00+00:00,11.6,11.6,39
2023-10-11T08:00:00+00:00,11.1,11.1,42
2023-10-11T09:00:00+00:00,12.8,12.8,41
2023-10-11T10:00:00+00:00,13.4,13.5,39
2023-10-11T11:00:00+00:00,12.3,12.3,38
2023-10-11T12:00:00+00:00,12.6,12.6,40
2023-10-11T13:00:00+00:00,13.1,13.1,44
2023-10-11T14:00:00+00:00,13.7,13.7,47
2023-10-11T15:00:00+00:00,13.8,13.8,48
2023-10-11T16:00:00+00:00,13.4,13.4,46
2023-10-11T17:00:00+00:00,13.9,13.9,40
2023-10-11T18:00:00+00:00,12.6,12.6,35
2023-10-11T19:00:00+00:00,12.6,12.6,30
2023-10-11T20:00:00+00:00,13.1,13.1,24
2023-10-11T21:00:00+00:00,13.0,13.0,21
2023-10-11T22:00:00+00:00,11.8,11.8,19
2023-10-11T23:00:00+00:00,12.0,12.0,20
2023-10-12T00:00:00+00:00,11.3,11.3,21
2023-10-12T01:00:00+00:00,11.5,11.5,23
2023-10-12T02:00:00+00:00,11.4,11.4,24
2023-10-12T03:00:00+00:00,10.6,10.6,25
2023-10-12T04:00:00+00:00,10.7,10.7,28
2023-10-12T05:00:00+00:00,12.7,12.7,31
2023-10-12T06:00:00+00:00,13.2,13.3,31
2023-10-12T07:00:00+00:00,10.7,10.7,34
2023-10-12T08:00:00+00:00,15.2,15.2,37
2023-10-12T09:00:00+00:00,17.0,17.0,40
2023-10-12T10:00:00+00:00,15.7,15.7,43
2023-10-12T11:00:00+00:00,15.2,15.2,45
2023-10-12T12:00:00+00:00,15.5,15.5,47
2023-10-12T13:00:00+00:00,16.2,16.2,48
2023-10-12T14:00:00+00:00,16.9,16.9,48
2023-10-12T15:00:00+00:00,20.0,20.1,47
2023-10-12T16:00:00+00:00,19.1,19.2,43
2023-10-12T17:00:00+00:00,20.0,20.1,36
2023-10-12T18:00:00+00:00,18.1,18.1,33
2023-10-12T19:00:00+00:00,17.0,17.2,28
2023-10-12T20:00:00+00:00,17.2,17.2,22
2023-10-12T21:00:00+00:00,16.9,17.5,19
2023-10-12T22:00:00+00:00,14.8,14.8,18
2023-10-12T23:00:00+00:00,14.3,14.3,20
2023-10-13T00:00:00+00:00,14.1,14.1,24
2023-10-13T01:00:00+00:00,14.3,14.3,29
2023-10-13T02:00:00+00:00,14.7,14.7,33
2023-10-13T03:00:00+00:00,16.6,16.6,35
2023-10-13T04:00:00+00:00,16.9,16.9,39
2023-10-13T05:00:00+00:00,17.9,17.9,42
2023-10-13T06:00:00+00:00,18.0,18.1,45
2023-10-13T07:00:00+00:00,18.2,18.2,46
2023-10-13T08:00:00+00:00,18.0,18.0,48
2023-10-13T09:00:00+00:00,18.4,18.4,49
2023-10-13T10:00:00+00:00,18.2,18.2,49
2023-10-13T11:00:00+00:00,18.0,18.0,49
2023-10-13T12:00:00+00:00,17.5,17.5,49
2023-10-13T13:00:00+00:00,16.9,16.9,50
2023-10-13T14:00:00+00:00,17.2,17.2,50
2023-10-13T15:00:00+00:00,19.5,19.6,51
2023-10-13T16:00:00+00:00,28.2,29.9,47
2023-10-13T17:00:00+00:00,33.2,36.4,39
2023-10-13T18:00:00+00:00,25.2,26.2,33
