time_stamp,pm2.5_atm,pm2.5_cf_1,humidity
2023-10-01T00:00:00+00:00,0.8,0.8,41
2023-10-01T01:00:00+00:00,1.2,1.2,43
2023-10-01T02:00:00+00:00,1.3,1.3,43
2023-10-01T03:00:00+00:00,3.7,3.7,47
2023-10-01T04:00:00+00:00,5.1,5.1,50
2023-10-01T05:00:00+00:00,5.4,5.4,52
2023-10-01T06:00:00+00:00,5.7,5.7,52
2023-10-01T07:00:00+00:00,9.8,9.8,54
2023-10-01T08:00:00+00:00,19.4,19.4,55
2023-10-01T09:00:00+00:00,10.4,10.4,57
2023-10-01T10:00:00+00:00,9.8,9.8,56
2023-10-01T11:00:00+00:00,11.5,11.5,60
2023-10-01T12:00:00+00:00,10.9,10.9,60
2023-10-01T13:00:00+00:00,10.8,10.8,60
2023-10-01T14:00:00+00:00,12.6,12.6,61
2023-10-01T15:00:00+00:00,16.9,16.9,60
2023-10-01T16:00:00+00:00,16.7,16.7,56
2023-10-01T17:00:00+00:00,13.1,13.1,52
2023-10-01T18:00:00+00:00,13.2,13.2,48
2023-10-01T19:00:00+00:00,11.3,11.3,46
2023-10-01T20:00:00+00:00,9.2,9.2,44
2023-10-01T21:00:00+00:00,7.0,7.0,41
2023-10-01T22:00:00+00:00,5.9,5.9,39
2023-10-01T23:00:00+00:00,5.8,5.8,39
2023-10-02T00:00:00+00:00,5.1,5.1,38
2023-10-02T01:00:00+00:00,7.8,7.8,39
2023-10-02T02:00:00+00:00,8.1,8.1,42
2023-10-02T03:00:00+00:00,12.6,12.6,48
2023-10-02T04:00:00+00:00,11.1,11.1,49
2023-10-02T05:00:00+00:00,8.6,8.6,49
2023-10-02T06:00:00+00:00,8.4,8.4,47
2023-10-02T07:00:00+00:00,11.2,11.2,48
2023-10-02T08:00:00+00:00,11.3,11.3,49
2023-10-02T09:00:00+00:00,9.2,9.2,48
2023-10-02T10:00:00+00:00,9.7,9.7,49
2023-10-02T11:00:00+00:00,8.3,8.3,48
2023-10-02T12:00:00+00:00,8.5,8.5,49
2023-10-02T13:00:00+00:00,8.5,8.5,50
2023-10-02T14:00:00+00:00,8.7,8.7,52
2023-10-02T15:00:00+00:00,10.6,10.6,52
2023-10-02T16:00:00+00:00,12.1,12.1,48
2023-10-02T17:00:00+00:00,11.7,11.7,44
2023-10-02T18:00:00+00:00,10.9,10.9,41
2023-10-02T19:00:00+00:00,7.8,7.8,39
2023-10-02T20:00:00+00:00,5.3,5.3,35
2023-10-02T21:00:00+00:00,4.8,4.8,32
2023-10-02T22:00:00+00:00,4.6,4.6,30
2023-10-02T23:00:00+00:00,4.6,4.6,29
2023-10-03T00:00:00+00:00,4.4,4.4,29
2023-10-03T01:00:00+00:00,4.2,4.2,29
2023-10-03T02:00:00+00:00,4.4,4.4,34
2023-10-03T03:00:00+00:00,5.2,5.2,39
2023-10-03T04:00:00+00:00,5.7,5.7,42
2023-10-03T05:00:00+00:00,6.2,6.2,44
2023-10-03T06:00:00+00:00,6.9,6.9,44
2023-10-03T07:00:00+00:00,7.4,7.4,46
2023-10-03T08:00:00+00:00,8.1,8.1,48
2023-10-03T09:00:00+00:00,8.8,8.8,51
2023-10-03T10:00:00+00:00,9.4,9.4,54
2023-10-03T11:00:00+00:00,10.2,10.2,56
2023-10-03T12:00:00+00:00,9.8,9.8,57
2023-10-03T13:00:00+00:00,11.4,11.4,58
2023-10-03T14:00:00+00:00,15.7,15.7,58
2023-10-03T15:00:00+00:00,22.0,22.0,53
2023-10-03T16:00:00+00:00,18.9,18.9,49
2023-10-03T17:00:00+00:00,15.3,15.3,44
2023-10-03T18:00:00+00:00,14.1,14.1,39
2023-10-03T19:00:00+00:00,10.8,10.8,34
2023-10-03T20:00:00+00:00,9.8,9.8,29
2023-10-03T21:00:00+00:00,10.4,10.4,26
2023-10-03T22:00:00+00:00,8.1,8.1,25
2023-10-03T23:00:00+00:00,6.4,6.4,24
2023-10-04T00:00:00+00:00,7.2,7.2,24
2023-10-04T01:00:00+00:00,7.2,7.2,26
2023-10-04T02:00:00+00:00,8.0,8.0,33
2023-10-04T03:00:00+00:00,8.4,8.4,39
2023-10-04T04:00:00+00:00,9.2,9.2,43
2023-10-04T05:00:00+00:00,10.2,10.2,45
2023-10-04T06:00:00+00:00,11.0,11.0,48
2023-10-04T07:00:00+00:00,11.4,11.4,50
2023-10-04T08:00:00+00:00,11.9,11.9,52
2023-10-04T09:00:00+00:00,11.7,11.7,53
