time_stamp,pm2.5_atm,pm2.5_cf_1,humidity
2023-10-01T00:00:00+00:00,0.8,0.8,40
2023-10-01T01:00:00+00:00,1.2,1.2,42
2023-10-01T02:00:00+00:00,1.5,1.5,46
2023-10-01T03:00:00+00:00,3.7,3.7,50
2023-10-01T04:00:00+00:00,5.6,5.6,54
2023-10-01T05:00:00+00:00,24.8,25.6,56
2023-10-01T06:00:00+00:00,32.4,35.0,59
2023-10-01T07:00:00+00:00,12.8,12.8,61
2023-10-01T08:00:00+00:00,8.0,8.0,61
2023-10-01T09:00:00+00:00,9.7,9.7,61
2023-10-01T10:00:00+00:00,10.5,10.5,62
2023-10-01T11:00:00+00:00,10.5,10.5,65
2023-10-01T12:00:00+00:00,10.8,10.8,67
2023-10-01T13:00:00+00:00,12.5,12.5,68
2023-10-01T14:00:00+00:00,12.4,12.4,69
2023-10-01T15:00:00+00:00,14.0,14.0,60
2023-10-01T16:00:00+00:00,10.2,10.2,50
2023-10-01T17:00:00+00:00,8.9,8.9,42
2023-10-01T18:00:00+00:00,8.1,8.1,36
2023-10-01T19:00:00+00:00,11.9,11.9,34
2023-10-01T20:00:00+00:00,11.9,11.9,38
2023-10-01T21:00:00+00:00,8.6,8.6,38
2023-10-01T22:00:00+00:00,6.6,6.6,37
2023-10-01T23:00:00+00:00,6.0,6.0,37
2023-10-02T00:00:00+00:00,5.5,5.5,37
2023-10-02T01:00:00+00:00,6.1,6.1,39
2023-10-02T02:00:00+00:00,6.8,6.8,43
2023-10-02T03:00:00+00:00,18.6,21.7,46
2023-10-02T04:00:00+00:00,9.4,9.4,50
2023-10-02T05:00:00+00:00,10.9,10.9,50
2023-10-02T06:00:00+00:00,11.4,11.4,50
2023-10-02T07:00:00+00:00,13.0,13.0,51
2023-10-02T08:00:00+00:00,12.7,12.7,51
2023-10-02T09:00:00+00:00,10.8,10.8,51
2023-10-02T10:00:00+00:00,12.3,12.3,53
2023-10-02T11:00:00+00:00,12.6,12.6,53
2023-10-02T12:00:00+00:00,10.9,10.9,53
2023-10-02T13:00:00+00:00,10.4,10.4,54
2023-10-02T14:00:00+00:00,10.9,10.9,55
2023-10-02T15:00:00+00:00,11.2,11.2,45
2023-10-02T16:00:00+00:00,14.1,14.1,38
2023-10-02T17:00:00+00:00,16.6,16.6,34
2023-10-02T18:00:00+00:00,15.3,15.3,32
2023-10-02T19:00:00+00:00,8.7,8.7,28
2023-10-02T20:00:00+00:00,5.8,5.8,29
2023-10-02T21:00:00+00:00,4.8,4.8,27
2023-10-02T22:00:00+00:00,4.8,4.8,27
2023-10-02T23:00:00+00:00,5.4,5.4,27
2023-10-03T00:00:00+00:00,5.4,5.4,28
2023-10-03T01:00:00+00:00,5.4,5.4,30
2023-10-03T02:00:00+00:00,5.4,5.4,34
2023-10-03T03:00:00+00:00,6.0,6.0,41
2023-10-03T04:00:00+00:00,6.9,6.9,44
2023-10-03T05:00:00+00:00,7.6,7.6,44
2023-10-03T06:00:00+00:00,8.2,8.2,48
2023-10-03T07:00:00+00:00,8.4,8.4,54
2023-10-03T08:00:00+00:00,9.1,9.1,57
2023-10-03T09:00:00+00:00,9.1,9.1,59
2023-10-03T10:00:00+00:00,9.9,9.9,58
2023-10-03T11:00:00+00:00,11.5,11.5,58
2023-10-03T12:00:00+00:00,12.4,12.4,62
2023-10-03T13:00:00+00:00,14.1,14.1,63
2023-10-03T14:00:00+00:00,15.4,15.4,62
2023-10-03T15:00:00+00:00,16.7,16.7,49
