time_stamp,pm2.5_atm,pm2.5_cf_1,humidity
2023-10-01T00:00:00+00:00,1.4,1.4,35
2023-10-01T01:00:00+00:00,1.7,1.7,37
2023-10-01T02:00:00+00:00,1.9,1.9,38
2023-10-01T03:00:00+00:00,4.0,4.0,41
2023-10-01T04:00:00+00:00,4.7,4.7,42
2023-10-01T05:00:00+00:00,4.9,4.9,43
2023-10-01T06:00:00+00:00,5.2,5.2,44
2023-10-01T07:00:00+00:00,6.8,6.8,47
2023-10-01T08:00:00+00:00,15.8,15.8,49
2023-10-01T09:00:00+00:00,16.9,16.9,50
2023-10-01T10:00:00+00:00,13.1,13.1,52
2023-10-01T11:00:00+00:00,10.6,10.6,52
2023-10-01T12:00:00+00:00,11.4,11.4,53
2023-10-01T13:00:00+00:00,12.0,12.0,54
2023-10-01T14:00:00+00:00,13.3,13.3,54
2023-10-01T15:00:00+00:00,17.2,17.2,54
2023-10-01T16:00:00+00:00,14.6,14.6,48
2023-10-01T17:00:00+00:00,13.8,13.8,42
2023-10-01T18:00:00+00:00,13.2,13.2,39
2023-10-01T19:00:00+00:00,10.6,10.6,36
2023-10-01T20:00:00+00:00,8.9,8.9,31
2023-10-01T21:00:00+00:00,6.9,6.9,27
2023-10-01T22:00:00+00:00,5.5,5.5,26
2023-10-01T23:00:00+00:00,4.8,4.8,27
2023-10-02T00:00:00+00:00,5.1,5.1,29
2023-10-02T01:00:00+00:00,7.0,7.0,33
2023-10-02T02:00:00+00:00,9.6,9.6,38
2023-10-02T03:00:00+00:00,9.5,9.5,40
2023-10-02T04:00:00+00:00,11.1,11.1,42
2023-10-02T05:00:00+00:00,10.2,10.2,44
2023-10-02T06:00:00+00:00,8.3,8.3,44
2023-10-02T07:00:00+00:00,11.0,11.0,42
2023-10-02T08:00:00+00:00,13.0,13.0,41
2023-10-02T09:00:00+00:00,9.2,9.2,42
2023-10-02T10:00:00+00:00,8.1,8.1,42
2023-10-02T11:00:00+00:00,7.7,7.7,42
2023-10-02T12:00:00+00:00,7.9,7.9,43
2023-10-02T13:00:00+00:00,8.7,8.7,45
2023-10-02T14:00:00+00:00,9.6,9.6,47
2023-10-02T15:00:00+00:00,11.7,11.7,45
2023-10-02T16:00:00+00:00,12.6,12.6,42
2023-10-02T17:00:00+00:00,11.8,11.8,37
2023-10-02T18:00:00+00:00,10.6,10.6,35
2023-10-02T19:00:00+00:00,8.0,8.0,30
2023-10-02T20:00:00+00:00,5.8,5.8,23
2023-10-02T21:00:00+00:00,5.0,5.0,19
2023-10-02T22:00:00+00:00,4.9,4.9,18
2023-10-02T23:00:00+00:00,5.3,5.3,20
2023-10-03T00:00:00+00:00,5.0,5.0,22
2023-10-03T01:00:00+00:00,5.0,5.0,24
2023-10-03T02:00:00+00:00,5.9,5.9,29
2023-10-03T03:00:00+00:00,7.3,7.3,33
2023-10-03T04:00:00+00:00,8.5,8.5,36
2023-10-03T05:00:00+00:00,7.1,7.1,36
2023-10-03T06:00:00+00:00,7.4,7.4,38
2023-10-03T07:00:00+00:00,7.6,7.6,39
2023-10-03T08:00:00+00:00,8.0,8.0,41
2023-10-03T09:00:00+00:00,8.6,8.6,43
2023-10-03T10:00:00+00:00,9.1,9.1,46
2023-10-03T11:00:00+00:00,10.3,10.3,48
2023-10-03T12:00:00+00:00,12.0,12.0,50
2023-10-03T13:00:00+00:00,15.1,15.1,52
2023-10-03T14:00:00+00:00,17.2,17.2,53
2023-10-03T15:00:00+00:00,28.0,28.0,52
2023-10-03T16:00:00+00:00,21.8,21.8,45
2023-10-03T17:00:00+00:00,17.4,17.4,37
2023-10-03T18:00:00+00:00,16.2,16.2,32
2023-10-03T19:00:00+00:00,14.0,14.0,27
2023-10-03T20:00:00+00:00,11.0,11.0,19
2023-10-03T21:00:00+00:00,8.3,8.3,16
2023-10-03T22:00:00+00:00,6.5,6.5,15
2023-10-03T23:00:00+00:00,6.2,6.2,17
2023-10-04T00:00:00+00:00,7.2,7.2,20
2023-10-04T01:00:00+00:00,8.2,8.2,25
2023-10-04T02:00:00+00:00,9.7,9.7,30
2023-10-04T03:00:00+00:00,12.3,12.3,34
2023-10-04T04:00:00+00:00,11.3,11.3,37
2023-10-04T05:00:00+00:00,12.3,12.3,40
2023-10-04T06:00:00+00:00,12.3,12.3,41
2023-10-04T07:00:00+00:00,12.3,12.3,43
2023-10-04T08:00:00+00:00,13.3,13.3,45
2023-10-04T09:00:00+00:00,14.3,14.3,46
2023-10-04T10:00:00+00:00,15.5,15.5,48
2023-10-04T11:00:00+00:00,15.3,15.3,49
2023-10-04T12:00:00+00:00,14.8,14.8,50
2023-10-04T13:00:00+00:00,14.5,14.5,51
2023-10-04T14:00:00+00:00,15.0,15.0,51
2023-10-04T15:00:00+00:00,18.0,18.0,51
2023-10-04T16:00:00+00:00,17.6,17.6,44
2023-10-04T17:00:00+00:00,15.1,15.1,35
2023-10-04T18:00:00+00:00,16.2,16.2,28
2023-10-04T19:00:00+00:00,12.0,12.0,24
2023-10-04T20:00:00+00:00,11.2,11.2,19
2023-10-04T21:00:00+00:00,8.9,8.9,16
2023-10-04T22:00:00+00:00,6.4,6.4,15
2023-10-04T23:00:00+00:00,6.1,6.1,17
2023-10-05T00:00:00+00:00,6.0,6.0,20
2023-10-05T01:00:00+00:00,6.5,6.5,26
2023-10-05T02:00:00+00:00,8.0,8.0,31
2023-10-05T03:00:00+00:00,9.3,9.3,34
2023-10-05T04:00:00+00:00,11.2,11.2,37
2023-10-05T05:00:00+00:00,12.7,12.7,38
2023-10-05T06:00:00+00:00,13.1,13.1,39
2023-10-05T07:00:00+00:00,11.7,11.7,40
2023-10-05T08:00:00+00:00,11.2,11.2,41
2023-10-05T09:00:00+00:00,12.4,12.4,43
2023-10-05T10:00:00+00:00,14.4,14.4,45
2023-10-05T11:00:00+00:00,14.3,14.3,48
2023-10-05T12:00:00+00:00,14.1,14.1,49
2023-10-05T13:00:00+00:00,13.6,13.6,51
2023-10-05T14:00:00+00:00,13.7,13.7,52
2023-10-05T15:00:00+00:00,14.9,14.9,53
2023-10-05T16:00:00+00:00,17.2,17.2,48
2023-10-05T17:00:00+00:00,15.1,15.1,39
2023-10-05T18:00:00+00:00,13.0,13.0,30
2023-10-05T19:00:00+00:00,16.4,16.4,25
2023-10-05T20:00:00+00:00,14.8,14.8,20
2023-10-05T21:00:00+00:00,9.5,9.5,17
2023-10-05T22:00:00+00:00,6.0,6.0,15
2023-10-05T23:00:00+00:00,7.3,7.3,17
2023-10-06T00:00:00+00:00,11.0,11.0,21
2023-10-06T01:00:00+00:00,10.3,10.3,27
2023-10-06T02:00:00+00:00,9.7,9.7,32
2023-10-06T03:00:00+00:00,13.2,13.2,36
2023-10-06T04:00:00+00:00,13.0,13.0,38
2023-10-06T05:00:00+00:00,13.8,13.8,39
2023-10-06T06:00:00+00:00,14.9,14.9,42
2023-10-06T07:00:00+00:00,14.8,14.8,44
2023-10-06T08:00:00+00:00,15.6,15.6,45
2023-10-06T09:00:00+00:00,15.6,15.6,47
2023-10-06T10:00:00+00:00,15.0,15.0,47
2023-10-06T11:00:00+00:00,14.6,14.6,47
2023-10-06T12:00:00+00:00,13.8,13.8,48
2023-10-06T13:00:00+00:00,14.6,14.6,50
2023-10-06T14:00:00+00:00,15.6,15.6,51
2023-10-06T15:00:00+00:00,21.7,21.7,52
2023-10-06T16:00:00+00:00,23.7,23.7,44
2023-10-06T17:00:00+00:00,18.1,18.1,34
2023-10-06T18:00:00+00:00,18.9,18.9,30
2023-10-06T19:00:00+00:00,18.0,18.0,26
2023-10-06T20:00:00+00:00,19.8,19.8,20
2023-10-06T21:00:00+00:00,17.8,17.8,17
2023-10-06T22:00:00+00:00,12.4,12.4,15
2023-10-06T23:00:00+00:00,9.6,9.6,17
2023-10-07T00:00:00+00:00,8.2,8.2,20
2023-10-07T01:00:00+00:00,7.1,7.1,27
2023-10-07T02:00:00+00:00,8.6,8.6,31
2023-10-07T03:00:00+00:00,11.2,11.2,35
2023-10-07T04:00:00+00:00,15.8,15.8,39
2023-10-07T05:00:00+00:00,20.0,20.0,41
2023-10-07T06:00:00+00:00,20.8,20.8,44
2023-10-07T07:00:00+00:00,21.6,21.6,46
2023-10-07T08:00:00+00:00,22.7,22.7,47
2023-10-07T09:00:00+00:00,23.0,23.0,48
2023-10-07T10:00:00+00:00,23.3,23.3,49
2023-10-07T11:00:00+00:00,24.3,24.3,50
2023-10-07T12:00:00+00:00,26.5,26.5,52
2023-10-07T13:00:00+00:00,26.6,26.6,53
2023-10-07T14:00:00+00:00,27.7,27.7,53
2023-10-07T15:00:00+00:00,36.0,36.0,55
2023-10-07T16:00:00+00:00,46.8,46.8,50
2023-10-07T17:00:00+00:00,27.3,27.3,39
2023-10-07T18:00:00+00:00,25.6,25.6,31
2023-10-07T19:00:00+00:00,27.0,27.0,27
2023-10-07T20:00:00+00:00,14.1,14.1,20
2023-10-07T21:00:00+00:00,12.0,12.0,17
2023-10-07T22:00:00+00:00,14.6,14.6,15
2023-10-07T23:00:00+00:00,14.4,14.4,18
2023-10-08T00:00:00+00:00,14.0,14.0,22
2023-10-08T01:00:00+00:00,15.5,15.5,28
2023-10-08T02:00:00+00:00,21.0,21.0,32
2023-10-08T03:00:00+00:00,21.8,21.8,36
2023-10-08T04:00:00+00:00,23.4,23.4,38
2023-10-08T05:00:00+00:00,26.0,26.0,40
2023-10-08T06:00:00+00:00,27.7,27.7,42
2023-10-08T07:00:00+00:00,29.2,29.2,44
2023-10-08T08:00:00+00:00,28.6,28.6,46
2023-10-08T09:00:00+00:00,25.9,25.9,48
2023-10-08T10:00:00+00:00,24.8,24.8,48
2023-10-08T11:00:00+00:00,24.8,24.8,48
2023-10-08T12:00:00+00:00,25.8,25.8,49
2023-10-08T13:00:00+00:00,28.4,28.4,50
2023-10-08T14:00:00+00:00,31.8,31.8,51
2023-10-08T15:00:00+00:00,37.3,37.3,52
2023-10-08T16:00:00+00:00,25.5,25.5,44
2023-10-08T17:00:00+00:00,18.1,18.1,34
2023-10-08T18:00:00+00:00,19.2,19.2,28
2023-10-08T19:00:00+00:00,20.6,20.6,24
2023-10-08T20:00:00+00:00,17.5,17.5,19
2023-10-08T21:00:00+00:00,16.7,16.7,15
2023-10-08T22:00:00+00:00,16.2,16.2,15
2023-10-08T23:00:00+00:00,13.4,13.4,16
2023-10-09T00:00:00+00:00,13.3,13.3,19
2023-10-09T01:00:00+00:00,14.4,14.4,27
2023-10-09T02:00:00+00:00,17.5,17.5,31
2023-10-09T03:00:00+00:00,17.1,17.1,32
2023-10-09T04:00:00+00:00,10.0,10.0,26
2023-10-09T05:00:00+00:00,10.9,10.9,31
2023-10-09T06:00:00+00:00,13.2,13.2,34
2023-10-09T07:00:00+00:00,14.6,14.6,37
2023-10-09T08:00:00+00:00,15.2,15.2,38
2023-10-09T09:00:00+00:00,13.6,13.6,37
2023-10-09T10:00:00+00:00,15.8,15.8,39
2023-10-09T11:00:00+00:00,17.4,17.4,41
2023-10-09T12:00:00+00:00,18.6,18.6,42
2023-10-09T13:00:00+00:00,19.7,19.7,45
2023-10-09T14:00:00+00:00,20.3,20.3,45
2023-10-09T15:00:00+00:00,18.9,18.9,43
2023-10-09T16:00:00+00:00,25.6,25.6,41
2023-10-09T17:00:00+00:00,28.5,28.5,35
2023-10-09T18:00:00+00:00,19.5,19.5,33
2023-10-09T19:00:00+00:00,17.2,17.2,31
2023-10-09T20:00:00+00:00,13.0,13.0,28
2023-10-09T21:00:00+00:00,12.0,12.0,27
2023-10-09T22:00:00+00:00,9.2,9.2,27
2023-10-09T23:00:00+00:00,8.9,8.9,29
2023-10-10T00:00:00+00:00,8.0,8.0,28
2023-10-10T01:00:00+00:00,7.4,7.4,32
2023-10-10T02:00:00+00:00,7.3,7.3,35
2023-10-10T03:00:00+00:00,5.8,5.8,38
2023-10-10T04:00:00+00:00,4.3,4.3,40
2023-10-10T05:00:00+00:00,3.7,3.7,42
2023-10-10T06:00:00+00:00,4.2,4.2,44
2023-10-10T07:00:00+00:00,4.8,4.8,46
2023-10-10T08:00:00+00:00,5.3,5.3,47
2023-10-10T09:00:00+00:00,5.5,5.5,48
2023-10-10T10:00:00+00:00,5.2,5.2,49
2023-10-10T11:00:00+00:00,6.1,6.1,51
2023-10-10T12:00:00+00:00,7.1,7.1,53
2023-10-10T13:00:00+00:00,7.3,7.3,54
2023-10-10T14:00:00+00:00,8.7,8.7,55
2023-10-10T15:00:00+00:00,14.4,14.4,52
2023-10-10T16:00:00+00:00,15.2,15.2,49
2023-10-10T17:00:00+00:00,8.7,8.7,50
2023-10-10T18:00:00+00:00,5.5,5.5,45
2023-10-10T19:00:00+00:00,3.1,3.1,38
2023-10-10T20:00:00+00:00,3.1,3.1,30
2023-10-10T21:00:00+00:00,3.5,3.5,27
2023-10-10T22:00:00+00:00,2.8,2.8,25
2023-10-10T23:00:00+00:00,2.6,2.6,27
2023-10-11T00:00:00+00:00,6.4,6.4,28
2023-10-11T01:00:00+00:00,4.6,4.6,29
2023-10-11T02:00:00+00:00,3.9,3.9,32
2023-10-11T03:00:00+00:00,2.7,2.7,34
2023-10-11T04:00:00+00:00,3.0,3.0,37
2023-10-11T05:00:00+00:00,2.8,2.8,37
2023-10-11T06:00:00+00:00,2.8,2.8,37
2023-10-11T07:00:00+00:00,2.4,2.4,39
2023-10-11T08:00:00+00:00,1.7,1.7,42
2023-10-11T09:00:00+00:00,2.7,2.7,41
2023-10-11T10:00:00+00:00,3.4,3.4,39
2023-10-11T11:00:00+00:00,3.5,3.5,38
2023-10-11T12:00:00+00:00,4.0,4.0,40
2023-10-11T13:00:00+00:00,4.4,4.4,44
2023-10-11T14:00:00+00:00,5.2,5.2,47
2023-10-11T15:00:00+00:00,5.3,5.3,48
2023-10-11T16:00:00+00:00,4.3,4.3,46
2023-10-11T17:00:00+00:00,3.8,3.8,40
2023-10-11T18:00:00+00:00,3.3,3.3,35
2023-10-11T19:00:00+00:00,2.9,2.9,30
2023-10-11T20:00:00+00:00,2.8,2.8,24
2023-10-11T21:00:00+00:00,2.4,2.4,21
2023-10-11T22:00:00+00:00,2.4,2.4,19
2023-10-11T23:00:00+00:00,2.3,2.3,20
2023-10-12T00:00:00+00:00,2.0,2.0,21
2023-10-12T01:00:00+00:00,2.2,2.2,23
2023-10-12T02:00:00+00:00,2.1,2.1,24
2023-10-12T03:00:00+00:00,1.9,1.9,25
2023-10-12T04:00:00+00:00,2.2,2.2,28
2023-10-12T05:00:00+00:00,3.5,3.5,31
2023-10-12T06:00:00+00:00,5.8,5.8,31
2023-10-12T07:00:00+00:00,2.7,2.7,34
2023-10-12T08:00:00+00:00,7.4,7.4,37
2023-10-12T09:00:00+00:00,9.2,9.2,40
2023-10-12T10:00:00+00:00,7.7,7.7,43
2023-10-12T11:00:00+00:00,7.2,7.2,45
2023-10-12T12:00:00+00:00,7.1,7.1,47
2023-10-12T13:00:00+00:00,7.5,7.5,48
2023-10-12T14:00:00+00:00,8.4,8.4,48
2023-10-12T15:00:00+00:00,12.1,12.1,47
2023-10-12T16:00:00+00:00,11.2,11.2,43
2023-10-12T17:00:00+00:00,11.7,11.7,36
2023-10-12T18:00:00+00:00,8.8,8.8,33
2023-10-12T19:00:00+00:00,7.6,7.6,28
2023-10-12T20:00:00+00:00,7.2,7.2,22
2023-10-12T21:00:00+00:00,7.3,7.3,19
2023-10-12T22:00:00+00:00,5.2,5.2,18
2023-10-12T23:00:00+00:00,4.9,4.9,20
2023-10-13T00:00:00+00:00,5.5,5.5,24
2023-10-13T01:00:00+00:00,5.8,5.8,29
2023-10-13T02:00:00+00:00,6.6,6.6,33
2023-10-13T03:00:00+00:00,8.5,8.5,35
2023-10-13T04:00:00+00:00,9.3,9.3,39
2023-10-13T05:00:00+00:00,9.6,9.6,42
2023-10-13T06:00:00+00:00,10.1,10.1,45
2023-10-13T07:00:00+00:00,10.3,10.3,46
2023-10-13T08:00:00+00:00,10.3,10.3,48
2023-10-13T09:00:00+00:00,10.8,10.8,49
2023-10-13T10:00:00+00:00,10.9,10.9,49
2023-10-13T11:00:00+00:00,10.7,10.7,49
2023-10-13T12:00:00+00:00,10.2,10.2,49
2023-10-13T13:00:00+00:00,9.4,9.4,50
2023-10-13T14:00:00+00:00,10.0,10.0,50
2023-10-13T15:00:00+00:00,12.2,12.2,51
2023-10-13T16:00:00+00:00,22.1,22.1,47
2023-10-13T17:00:00+00:00,28.3,28.3,39
2023-10-13T18:00:00+00:00,18.2,18.2,33
2023-10-13T19:00:00+00:00,10.3,10.3,27
2023-10-13T20:00:00+00:00,8.4,8.4,20
2023-10-13T21:00:00+00:00,6.8,6.8,16
2023-10-13T22:00:00+00:00,6.7,6.7,15
