time_stamp,pm2.5_atm,pm2.5_cf_1,humidity
2023-10-01T00:00:00+00:00,4.0,4.6,34
2023-10-01T01:00:00+00:00,1.4,1.4,37
2023-10-01T02:00:00+00:00,10.9,14.3,38
2023-10-01T03:00:00+00:00,3.6,3.6,41
2023-10-01T04:00:00+00:00,5.4,5.4,44
2023-10-01T05:00:00+00:00,5.2,5.2,44
2023-10-01T06:00:00+00:00,5.5,5.5,45
2023-10-01T07:00:00+00:00,6.7,6.8,47
2023-10-01T08:00:00+00:00,10.6,11.5,49
2023-10-01T09:00:00+00:00,11.2,11.2,51
2023-10-01T10:00:00+00:00,12.4,12.4,52
2023-10-01T11:00:00+00:00,13.6,13.6,52
2023-10-01T12:00:00+00:00,15.4,15.4,53
2023-10-01T13:00:00+00:00,13.1,13.1,54
2023-10-01T14:00:00+00:00,15.6,16.5,54
2023-10-01T15:00:00+00:00,16.2,16.2,51
2023-10-01T16:00:00+00:00,16.2,16.2,36
2023-10-01T17:00:00+00:00,12.7,12.7,24
2023-10-01T18:00:00+00:00,14.2,14.2,35
2023-10-01T19:00:00+00:00,12.6,12.6,36
2023-10-01T20:00:00+00:00,7.5,7.5,33
2023-10-01T21:00:00+00:00,6.9,6.9,31
2023-10-01T22:00:00+00:00,6.0,6.0,30
2023-10-01T23:00:00+00:00,5.6,5.6,31
2023-10-02T00:00:00+00:00,4.7,4.7,32
2023-10-02T01:00:00+00:00,4.7,4.7,33
2023-10-02T02:00:00+00:00,5.6,5.6,36
2023-10-02T03:00:00+00:00,10.0,10.2,38
2023-10-02T04:00:00+00:00,21.2,26.4,40
2023-10-02T05:00:00+00:00,13.4,13.4,43
2023-10-02T06:00:00+00:00,12.5,12.5,43
2023-10-02T07:00:00+00:00,11.8,11.8,44
2023-10-02T08:00:00+00:00,10.2,10.2,43
2023-10-02T09:00:00+00:00,9.1,9.1,42
2023-10-02T10:00:00+00:00,8.5,8.5,42
2023-10-02T11:00:00+00:00,8.0,8.0,43
2023-10-02T12:00:00+00:00,7.8,7.8,43
2023-10-02T13:00:00+00:00,9.3,9.3,45
2023-10-02T14:00:00+00:00,10.6,10.6,45
2023-10-02T15:00:00+00:00,13.8,13.8,45
2023-10-02T16:00:00+00:00,14.6,14.6,25
2023-10-02T17:00:00+00:00,14.1,14.1,17
2023-10-02T18:00:00+00:00,11.9,11.9,26
2023-10-02T19:00:00+00:00,9.7,9.7,29
2023-10-02T20:00:00+00:00,5.8,5.8,26
2023-10-02T21:00:00+00:00,4.6,4.6,24
2023-10-02T22:00:00+00:00,4.8,4.8,23
2023-10-02T23:00:00+00:00,4.9,4.9,23
2023-10-03T00:00:00+00:00,5.2,5.2,24
2023-10-03T01:00:00+00:00,4.8,4.8,25
2023-10-03T02:00:00+00:00,5.5,5.5,27
2023-10-03T03:00:00+00:00,8.6,8.6,30
2023-10-03T04:00:00+00:00,12.1,12.1,32
2023-10-03T05:00:00+00:00,10.6,10.6,34
2023-10-03T06:00:00+00:00,11.0,11.0,36
2023-10-03T07:00:00+00:00,10.0,10.0,38
2023-10-03T08:00:00+00:00,10.5,10.5,40
2023-10-03T09:00:00+00:00,10.4,10.4,41
2023-10-03T10:00:00+00:00,9.7,9.7,42
2023-10-03T11:00:00+00:00,10.8,10.8,44
2023-10-03T12:00:00+00:00,18.8,18.8,47
2023-10-03T13:00:00+00:00,29.2,30.0,50
2023-10-03T14:00:00+00:00,35.0,38.6,51
2023-10-03T15:00:00+00:00,34.4,37.7,50
2023-10-03T16:00:00+00:00,27.4,28.3,27
2023-10-03T17:00:00+00:00,24.7,24.8,19
2023-10-03T18:00:00+00:00,20.6,20.6,27
2023-10-03T19:00:00+00:00,15.9,15.9,25
2023-10-03T20:00:00+00:00,10.9,10.9,22
2023-10-03T21:00:00+00:00,7.4,7.4,20
2023-10-03T22:00:00+00:00,5.7,5.7,19
2023-10-03T23:00:00+00:00,7.3,7.7,19
2023-10-04T00:00:00+00:00,6.6,6.6,20
2023-10-04T01:00:00+00:00,7.3,7.3,23
2023-10-04T02:00:00+00:00,9.8,9.8,26
2023-10-04T03:00:00+00:00,18.1,21.3,28
2023-10-04T04:00:00+00:00,13.3,13.3,32
2023-10-04T05:00:00+00:00,15.6,15.6,34
2023-10-04T06:00:00+00:00,18.7,18.7,37
2023-10-04T07:00:00+00:00,19.4,19.4,38
2023-10-04T08:00:00+00:00,18.3,18.3,40
2023-10-04T09:00:00+00:00,18.8,18.8,42
2023-10-04T10:00:00+00:00,19.5,19.5,45
2023-10-04T11:00:00+00:00,20.0,20.0,46
2023-10-04T12:00:00+00:00,20.0,20.0,47
2023-10-04T13:00:00+00:00,19.4,19.4,48
2023-10-04T14:00:00+00:00,21.2,21.2,48
2023-10-04T15:00:00+00:00,27.6,27.8,45
2023-10-04T16:00:00+00:00,20.5,20.6,21
2023-10-04T17:00:00+00:00,21.8,21.8,14
2023-10-04T18:00:00+00:00,13.5,13.5,21
2023-10-04T19:00:00+00:00,11.0,11.0,22
2023-10-04T20:00:00+00:00,9.7,9.7,21
2023-10-04T21:00:00+00:00,8.0,8.0,19
