time_stamp,pm2.5_atm,pm2.5_cf_1,humidity,pm2.5_atm_a,pm2.5_atm_b
2023-11-15T17:00:00+00:00,8.6,8.6,28,8.4,8.7
2023-11-15T18:00:00+00:00,5.0,5.0,22,5.1,5.0
2023-11-15T19:00:00+00:00,3.9,4.0,18,3.9,3.8
2023-11-15T20:00:00+00:00,5.3,5.3,21,5.3,5.4
2023-11-15T21:00:00+00:00,8.2,8.2,25,8.1,8.3
2023-11-15T22:00:00+00:00,6.9,6.9,34,6.8,7.0
2023-11-15T23:00:00+00:00,6.4,6.4,48,6.3,6.6
2023-11-16T00:00:00+00:00,9.4,9.5,62,9.2,9.7
2023-11-16T01:00:00+00:00,8.9,8.9,63,8.8,9.0
2023-11-16T02:00:00+00:00,5.2,5.2,67,4.9,5.4
2023-11-16T03:00:00+00:00,4.3,4.3,71,4.1,4.5
2023-11-16T04:00:00+00:00,2.9,2.9,55,2.6,3.3
2023-11-16T05:00:00+00:00,4.0,4.0,66,3.7,4.3
2023-11-16T06:00:00+00:00,4.6,4.6,71,4.3,5.0
2023-11-16T07:00:00+00:00,7.3,7.3,75,7.1,7.5
2023-11-16T08:00:00+00:00,7.2,7.2,85,6.9,7.6
2023-11-16T09:00:00+00:00,5.9,5.9,86,5.5,6.3
2023-11-16T10:00:00+00:00,4.7,4.7,85,4.3,5.1
2023-11-16T11:00:00+00:00,4.8,4.8,86,4.4,5.1
2023-11-16T12:00:00+00:00,6.3,6.3,83,6.1,6.5
2023-11-16T13:00:00+00:00,5.6,5.6,80,5.3,5.8
2023-11-16T14:00:00+00:00,3.9,3.9,83,3.4,4.3
2023-11-16T15:00:00+00:00,3.6,3.6,80,3.2,3.9
2023-11-16T16:00:00+00:00,1.8,1.8,47,1.7,2.0
2023-11-16T17:00:00+00:00,1.6,1.6,39,1.6,1.6
2023-11-16T18:00:00+00:00,0.1,0.1,28,0.1,0.1
2023-11-16T19:00:00+00:00,0.1,0.1,28,0.1,0.1
2023-11-16T20:00:00+00:00,0.7,0.7,30,0.8,0.7
2023-11-16T21:00:00+00:00,0.3,0.3,33,0.3,0.3
2023-11-16T22:00:00+00:00,0.2,0.2,32,0.2,0.2
2023-11-16T23:00:00+00:00,0.2,0.2,32,0.3,0.2
2023-11-17T00:00:00+00:00,0.4,0.4,33,0.4,0.5
2023-11-17T01:00:00+00:00,0.9,0.9,40,0.8,0.9
2023-11-17T02:00:00+00:00,1.8,1.8,44,1.7,1.8
2023-11-17T03:00:00+00:00,10.6,10.6,58,10.2,11.0
2023-11-17T04:00:00+00:00,13.8,13.8,64,13.3,14.3
2023-11-17T05:00:00+00:00,17.2,17.2,72,16.8,17.6
2023-11-17T06:00:00+00:00,26.5,26.7,80,25.9,27.2
2023-11-17T07:00:00+00:00,26.9,27.0,83,26.6,27.2
2023-11-17T08:00:00+00:00,23.5,23.6,85,23.2,23.8
2023-11-17T09:00:00+00:00,15.0,15.0,84,14.4,15.6
2023-11-17T10:00:00+00:00,25.1,25.2,87,24.3,25.9
2023-11-17T11:00:00+00:00,21.2,21.2,89,20.2,22.2
2023-11-17T12:00:00+00:00,16.0,16.0,88,15.5,16.5
2023-11-17T13:00:00+00:00,15.2,17.3,86,15.5,14.9
2023-11-17T14:00:00+00:00,9.5,10.4,82,9.1,9.9
2023-11-17T15:00:00+00:00,6.8,6.8,75,6.6,6.9
2023-11-17T16:00:00+00:00,6.8,6.8,54,6.9,6.7
2023-11-17T17:00:00+00:00,4.1,4.1,35,4.3,3.8
2023-11-17T18:00:00+00:00,3.2,3.2,30,3.6,2.9
2023-11-17T19:00:00+00:00,3.2,3.2,27,3.4,2.9
2023-11-17T20:00:00+00:00,3.4,3.4,27,3.6,3.2
2023-11-17T21:00:00+00:00,3.8,3.8,28,4.1,3.5
2023-11-17T22:00:00+00:00,3.8,3.8,29,4.0,3.6
2023-11-17T23:00:00+00:00,2.9,2.9,30,3.1,2.7
2023-11-18T00:00:00+00:00,2.8,2.8,33,2.8,2.8
2023-11-18T01:00:00+00:00,2.8,2.8,32,2.8,2.7
2023-11-18T02:00:00+00:00,5.7,5.7,32,5.7,5.7
2023-11-18T03:00:00+00:00,12.9,12.9,42,12.9,12.9
2023-11-18T04:00:00+00:00,3.6,3.6,44,3.6,3.7
2023-11-18T05:00:00+00:00,4.4,4.4,57,4.0,4.8
2023-11-18T06:00:00+00:00,3.3,3.3,55,3.2,3.5
2023-11-18T07:00:00+00:00,3.1,3.1,57,3.1,3.2
2023-11-18T08:00:00+00:00,4.0,4.0,59,3.9,4.1
2023-11-18T09:00:00+00:00,3.2,3.2,59,3.3,3.2
2023-11-18T10:00:00+00:00,4.5,4.5,64,4.4,4.5
2023-11-18T11:00:00+00:00,6.4,6.4,68,6.3,6.5
2023-11-18T12:00:00+00:00,4.8,4.8,61,4.7,4.9
2023-11-18T13:00:00+00:00,6.2,6.2,61,6.0,6.4
2023-11-18T14:00:00+00:00,2.0,2.0,55,1.9,2.1
2023-11-18T15:00:00+00:00,0.6,0.6,50,0.5,0.7
2023-11-18T16:00:00+00:00,0.1,0.1,40,0.0,0.1
2023-11-18T17:00:00+00:00,0.1,0.1,49,0.1,0.1
2023-11-18T18:00:00+00:00,0.7,0.7,77,0.5,1.0
2023-11-18T19:00:00+00:00,1.2,1.2,78,1.0,1.4
2023-11-18T20:00:00+00:00,3.8,3.8,86,3.5,4.1
2023-11-18T21:00:00+00:00,0.8,0.8,73,0.6,1.0
2023-11-18T22:00:00+00:00,0.1,0.1,60,0.0,0.1
2023-11-18T23:00:00+00:00,0.1,0.1,55,0.0,0.1
2023-11-19T00:00:00+00:00,0.2,0.2,57,0.1,0.3
2023-11-19T01:00:00+00:00,2.8,2.8,76,2.5,3.0
2023-11-19T02:00:00+00:00,5.4,5.4,83,5.3,5.6
2023-11-19T03:00:00+00:00,2.3,2.3,81,2.1,2.6
2023-11-19T04:00:00+00:00,6.1,6.1,84,6.0,6.2
2023-11-19T05:00:00+00:00,8.3,8.3,86,8.2,8.3
2023-11-19T06:00:00+00:00,9.9,9.9,86,9.9,9.9
2023-11-19T07:00:00+00:00,10.0,10.0,93,9.9,10.0
2023-11-19T08:00:00+00:00,11.7,11.7,99,11.7,11.7
2023-11-19T09:00:00+00:00,7.0,7.0,99,6.8,7.3
2023-11-19T10:00:00+00:00,1.1,1.1,85,0.6,1.5
2023-11-19T11:00:00+00:00,1.1,1.1,87,0.6,1.7
2023-11-19T12:00:00+00:00,1.3,1.3,90,0.6,1.9
2023-11-19T13:00:00+00:00,1.5,1.5,90,0.8,2.3
2023-11-19T14:00:00+00:00,1.3,1.3,93,0.6,2.0
2023-11-19T15:00:00+00:00,1.5,1.5,94,0.8,2.2
2023-11-19T16:00:00+00:00,1.5,1.5,70,0.8,2.2
2023-11-19T17:00:00+00:00,1.1,1.1,51,0.6,1.7
2023-11-19T18:00:00+00:00,1.1,1.1,44,0.8,1.4
2023-11-19T19:00:00+00:00,0.7,0.7,39,0.5,0.8
2023-11-19T20:00:00+00:00,0.3,0.3,38,0.2,0.4
2023-11-19T21:00:00+00:00,0.3,0.3,39,0.1,0.5
2023-11-19T22:00:00+00:00,0.2,0.2,35,0.1,0.2
