time_stamp,pm2.5_atm,pm2.5_cf_1,humidity
2023-10-01T00:00:00+00:00,1.2,1.2,40
2023-10-01T01:00:00+00:00,1.5,1.5,41
2023-10-01T02:00:00+00:00,2.0,2.0,43
2023-10-01T03:00:00+00:00,4.6,4.6,48
2023-10-01T04:00:00+00:00,6.0,6.0,50
2023-10-01T05:00:00+00:00,5.9,5.9,50
2023-10-01T06:00:00+00:00,6.8,6.8,51
2023-10-01T07:00:00+00:00,8.3,8.3,55
2023-10-01T08:00:00+00:00,22.1,22.3,56
2023-10-01T09:00:00+00:00,22.0,22.0,56
2023-10-01T10:00:00+00:00,15.5,15.5,57
2023-10-01T11:00:00+00:00,13.3,13.3,57
2023-10-01T12:00:00+00:00,14.6,14.6,59
2023-10-01T13:00:00+00:00,15.6,15.6,60
2023-10-01T14:00:00+00:00,17.0,17.0,61
2023-10-01T15:00:00+00:00,20.7,20.7,58
2023-10-01T16:00:00+00:00,18.1,18.1,52
2023-10-01T17:00:00+00:00,17.3,17.3,48
2023-10-01T18:00:00+00:00,16.9,16.9,47
2023-10-01T19:00:00+00:00,13.4,13.4,44
2023-10-01T20:00:00+00:00,11.1,11.1,42
2023-10-01T21:00:00+00:00,8.3,8.3,39
2023-10-01T22:00:00+00:00,6.5,6.5,37
2023-10-01T23:00:00+00:00,5.7,5.7,36
2023-10-02T00:00:00+00:00,5.4,5.4,35
2023-10-02T01:00:00+00:00,6.7,6.7,37
2023-10-02T02:00:00+00:00,11.9,11.9,41
2023-10-02T03:00:00+00:00,14.0,14.0,44
2023-10-02T04:00:00+00:00,12.8,12.8,47
2023-10-02T05:00:00+00:00,11.6,11.6,48
2023-10-02T06:00:00+00:00,10.0,10.0,47
2023-10-02T07:00:00+00:00,14.9,14.9,46
2023-10-02T08:00:00+00:00,15.2,15.3,46
2023-10-02T09:00:00+00:00,10.7,10.7,47
2023-10-02T10:00:00+00:00,9.4,9.4,47
2023-10-02T11:00:00+00:00,9.1,9.1,47
2023-10-02T12:00:00+00:00,9.5,9.5,48
2023-10-02T13:00:00+00:00,10.5,10.5,49
2023-10-02T14:00:00+00:00,12.7,12.7,51
2023-10-02T15:00:00+00:00,14.7,14.7,49
2023-10-02T16:00:00+00:00,18.2,18.4,44
2023-10-02T17:00:00+00:00,16.4,16.4,41
2023-10-02T18:00:00+00:00,13.5,13.5,40
2023-10-02T19:00:00+00:00,9.5,9.5,36
2023-10-02T20:00:00+00:00,6.7,6.7,32
2023-10-02T21:00:00+00:00,5.7,5.7,28
2023-10-02T22:00:00+00:00,5.3,5.3,26
2023-10-02T23:00:00+00:00,6.5,6.8,25
2023-10-03T00:00:00+00:00,5.4,5.4,26
2023-10-03T01:00:00+00:00,5.4,5.4,26
2023-10-03T02:00:00+00:00,7.9,7.9,30
2023-10-03T03:00:00+00:00,9.5,9.5,34
2023-10-03T04:00:00+00:00,7.8,7.8,37
2023-10-03T05:00:00+00:00,7.8,7.8,39
2023-10-03T06:00:00+00:00,8.4,8.4,40
2023-10-03T07:00:00+00:00,8.8,8.8,42
2023-10-03T08:00:00+00:00,9.2,9.2,45
2023-10-03T09:00:00+00:00,10.0,10.0,48
2023-10-03T10:00:00+00:00,10.7,10.7,51
2023-10-03T11:00:00+00:00,12.1,12.1,53
2023-10-03T12:00:00+00:00,14.7,14.7,56
2023-10-03T13:00:00+00:00,17.9,17.9,57
2023-10-03T14:00:00+00:00,21.4,21.5,58
2023-10-03T15:00:00+00:00,32.8,35.4,53
2023-10-03T16:00:00+00:00,26.4,26.6,44
2023-10-03T17:00:00+00:00,22.0,22.0,39
2023-10-03T18:00:00+00:00,19.5,19.5,35
2023-10-03T19:00:00+00:00,16.0,16.0,30
2023-10-03T20:00:00+00:00,14.9,14.9,25
2023-10-03T21:00:00+00:00,9.6,9.6,22
2023-10-03T22:00:00+00:00,7.2,7.2,21
2023-10-03T23:00:00+00:00,6.7,6.7,21
2023-10-04T00:00:00+00:00,7.8,7.8,22
2023-10-04T01:00:00+00:00,8.6,8.6,25
2023-10-04T02:00:00+00:00,10.7,10.7,31
2023-10-04T03:00:00+00:00,13.1,13.1,37
2023-10-04T04:00:00+00:00,13.9,13.9,41
2023-10-04T05:00:00+00:00,14.8,14.8,44
2023-10-04T06:00:00+00:00,15.5,15.5,45
2023-10-04T07:00:00+00:00,15.6,15.6,48
2023-10-04T08:00:00+00:00,16.2,16.2,50
2023-10-04T09:00:00+00:00,17.8,17.8,51
2023-10-04T10:00:00+00:00,17.2,17.2,53
2023-10-04T11:00:00+00:00,18.6,18.6,55
2023-10-04T12:00:00+00:00,18.2,18.2,55
2023-10-04T13:00:00+00:00,17.5,17.5,56
2023-10-04T14:00:00+00:00,17.7,17.7,56
2023-10-04T15:00:00+00:00,21.4,21.4,48
2023-10-04T16:00:00+00:00,21.6,21.7,39
2023-10-04T17:00:00+00:00,19.4,19.4,33
2023-10-04T18:00:00+00:00,19.3,19.3,29
2023-10-04T19:00:00+00:00,14.1,14.1,26
2023-10-04T20:00:00+00:00,12.3,12.3,24
2023-10-04T21:00:00+00:00,9.8,9.8,22
2023-10-04T22:00:00+00:00,6.5,6.5,20
2023-10-04T23:00:00+00:00,6.4,6.4,20
2023-10-05T00:00:00+00:00,6.0,6.0,21
2023-10-05T01:00:00+00:00,7.2,7.2,25
2023-10-05T02:00:00+00:00,8.8,8.8,30
2023-10-05T03:00:00+00:00,11.4,11.4,34
2023-10-05T04:00:00+00:00,12.9,12.9,38
2023-10-05T05:00:00+00:00,14.4,14.4,41
2023-10-05T06:00:00+00:00,15.3,15.3,42
2023-10-05T07:00:00+00:00,14.6,14.6,44
2023-10-05T08:00:00+00:00,14.2,14.2,46
