time_stamp,pm2.5_atm,pm2.5_cf_1,humidity,pm2.5_atm_a,pm2.5_atm_b
2023-10-01T00:00:00+00:00,0.3,0.3,30,0.0,0.6
2023-10-01T01:00:00+00:00,0.5,0.5,33,0.0,1.0
2023-10-01T02:00:00+00:00,0.5,0.5,40,0.0,1.1
2023-10-01T03:00:00+00:00,0.6,0.6,43,0.0,1.1
2023-10-01T04:00:00+00:00,1.1,1.1,44,0.0,2.1
2023-10-01T05:00:00+00:00,2.9,2.9,46,0.1,5.6
2023-10-01T06:00:00+00:00,3.1,3.1,47,0.0,6.2
2023-10-01T07:00:00+00:00,3.4,3.4,49,0.2,6.6
2023-10-01T08:00:00+00:00,3.5,3.5,49,0.1,6.9
2023-10-01T09:00:00+00:00,3.2,3.2,50,0.0,6.4
2023-10-01T10:00:00+00:00,2.8,2.8,51,0.0,5.5
2023-10-01T11:00:00+00:00,2.8,2.8,55,0.2,5.5
2023-10-01T12:00:00+00:00,2.4,2.4,54,0.1,4.8
2023-10-01T13:00:00+00:00,4.2,4.2,53,0.1,8.3
2023-10-01T14:00:00+00:00,5.0,5.0,53,0.3,9.6
2023-10-01T15:00:00+00:00,7.9,7.9,52,1.6,14.2
2023-10-01T16:00:00+00:00,6.4,6.4,46,1.3,11.6
2023-10-01T17:00:00+00:00,4.4,4.4,41,0.5,8.4
2023-10-01T18:00:00+00:00,3.9,3.9,39,0.3,7.6
2023-10-01T19:00:00+00:00,5.4,5.4,36,0.5,10.3
2023-10-01T20:00:00+00:00,5.2,5.2,31,0.2,10.2
2023-10-01T21:00:00+00:00,4.8,4.8,29,0.1,9.5
2023-10-01T22:00:00+00:00,4.3,4.3,29,0.1,8.5
2023-10-01T23:00:00+00:00,4.0,4.0,30,0.1,7.9
2023-10-02T00:00:00+00:00,4.1,4.1,30,0.0,8.3
2023-10-02T01:00:00+00:00,3.7,3.7,32,0.0,7.4
2023-10-02T02:00:00+00:00,3.6,3.6,35,0.0,7.2
2023-10-02T03:00:00+00:00,3.8,3.8,37,0.0,7.7
2023-10-02T04:00:00+00:00,4.0,4.0,39,0.0,8.0
2023-10-02T05:00:00+00:00,4.1,4.1,39,0.0,8.3
2023-10-02T06:00:00+00:00,4.4,4.4,39,0.0,8.8
2023-10-02T07:00:00+00:00,4.5,4.5,40,0.0,9.0
2023-10-02T08:00:00+00:00,5.2,5.2,41,0.0,10.4
2023-10-02T09:00:00+00:00,4.7,4.7,41,0.1,9.2
2023-10-02T10:00:00+00:00,4.5,4.5,41,0.0,9.0
2023-10-02T11:00:00+00:00,5.1,5.1,43,0.0,10.2
2023-10-02T12:00:00+00:00,5.7,5.7,43,0.0,11.3
2023-10-02T13:00:00+00:00,7.1,7.1,46,0.3,13.8
2023-10-02T14:00:00+00:00,9.1,9.1,48,1.0,17.2
2023-10-02T15:00:00+00:00,10.5,10.5,45,1.1,20.0
2023-10-02T16:00:00+00:00,9.8,9.8,40,1.2,18.4
2023-10-02T17:00:00+00:00,9.0,9.0,37,0.8,17.1
2023-10-02T18:00:00+00:00,11.4,11.4,33,0.9,22.0
2023-10-02T19:00:00+00:00,9.3,9.3,30,0.5,18.0
2023-10-02T20:00:00+00:00,4.8,4.8,27,0.1,9.4
2023-10-02T21:00:00+00:00,3.8,3.8,25,0.1,7.6
2023-10-02T22:00:00+00:00,3.6,3.6,23,0.0,7.1
2023-10-02T23:00:00+00:00,3.4,3.4,23,0.1,6.6
2023-10-03T00:00:00+00:00,3.0,3.0,23,0.0,6.0
2023-10-03T01:00:00+00:00,2.8,2.8,25,0.1,5.6
2023-10-03T02:00:00+00:00,2.8,2.8,27,0.0,5.6
2023-10-03T03:00:00+00:00,2.9,2.9,30,0.0,5.8
2023-10-03T04:00:00+00:00,2.7,2.7,31,0.0,5.4
2023-10-03T05:00:00+00:00,2.9,2.9,32,0.0,5.7
2023-10-03T06:00:00+00:00,4.1,4.1,36,0.0,8.2
2023-10-03T07:00:00+00:00,5.1,5.1,39,0.0,10.1
2023-10-03T08:00:00+00:00,4.8,4.8,41,0.0,9.7
2023-10-03T09:00:00+00:00,5.5,5.5,43,0.0,10.9
2023-10-03T10:00:00+00:00,5.4,5.4,44,0.0,10.7
2023-10-03T11:00:00+00:00,5.5,5.5,45,0.0,11.0
2023-10-03T12:00:00+00:00,5.7,5.7,46,0.0,11.4
2023-10-03T13:00:00+00:00,5.6,5.6,47,0.0,11.2
2023-10-03T14:00:00+00:00,5.7,5.7,43,0.1,11.4
2023-10-03T15:00:00+00:00,5.2,5.2,34,0.0,10.3
2023-10-03T16:00:00+00:00,5.9,5.9,32,0.3,11.5
2023-10-03T17:00:00+00:00,7.1,7.1,32,1.2,13.0
2023-10-03T18:00:00+00:00,6.3,6.3,30,0.9,11.7
2023-10-03T19:00:00+00:00,4.6,4.6,24,0.1,9.1
2023-10-03T20:00:00+00:00,4.1,4.1,21,0.1,8.0
2023-10-03T21:00:00+00:00,3.7,3.7,18,0.1,7.3
2023-10-03T22:00:00+00:00,3.6,3.6,18,0.1,7.2
2023-10-03T23:00:00+00:00,3.7,3.7,18,0.1,7.3
2023-10-04T00:00:00+00:00,3.6,3.6,19,0.1,7.2
2023-10-04T01:00:00+00:00,3.7,3.7,20,0.0,7.3
2023-10-04T02:00:00+00:00,3.8,3.8,24,0.0,7.7
2023-10-04T03:00:00+00:00,4.0,4.0,26,0.0,7.9
2023-10-04T04:00:00+00:00,4.2,4.2,28,0.1,8.4
2023-10-04T05:00:00+00:00,4.2,4.2,30,0.0,8.4
2023-10-04T06:00:00+00:00,4.2,4.2,31,0.0,8.4
2023-10-04T07:00:00+00:00,4.3,4.3,34,0.1,8.5
2023-10-04T08:00:00+00:00,4.4,4.4,37,0.1,8.7
2023-10-04T09:00:00+00:00,4.5,4.5,36,0.0,9.0
2023-10-04T10:00:00+00:00,4.7,4.7,38,0.1,9.3
2023-10-04T11:00:00+00:00,4.8,4.8,39,0.0,9.6
2023-10-04T12:00:00+00:00,4.9,4.9,41,0.0,9.8
