time_stamp,pm2.5_atm,pm2.5_cf_1,humidity
2023-10-01T00:00:00+00:00,0.0,0.0,32
2023-10-01T01:00:00+00:00,0.0,0.0,34
2023-10-01T02:00:00+00:00,0.0,0.0,36
2023-10-01T03:00:00+00:00,0.0,0.0,39
2023-10-01T04:00:00+00:00,0.1,0.1,41
2023-10-01T05:00:00+00:00,3.0,3.0,43
2023-10-01T06:00:00+00:00,20.2,20.2,44
2023-10-01T07:00:00+00:00,14.5,14.5,45
2023-10-01T08:00:00+00:00,0.5,0.5,46
2023-10-01T09:00:00+00:00,0.6,0.6,48
2023-10-01T10:00:00+00:00,1.0,1.0,49
2023-10-01T11:00:00+00:00,1.1,1.1,50
2023-10-01T12:00:00+00:00,1.2,1.2,51
2023-10-01T13:00:00+00:00,1.4,1.4,52
2023-10-01T14:00:00+00:00,2.6,2.6,53
2023-10-01T15:00:00+00:00,5.7,5.7,52
2023-10-01T16:00:00+00:00,2.1,2.1,41
2023-10-01T17:00:00+00:00,2.1,2.1,33
2023-10-01T18:00:00+00:00,1.9,1.9,35
2023-10-01T19:00:00+00:00,3.6,3.6,34
2023-10-01T20:00:00+00:00,3.8,3.8,33
2023-10-01T21:00:00+00:00,1.4,1.4,32
2023-10-01T22:00:00+00:00,0.2,0.2,30
2023-10-01T23:00:00+00:00,0.2,0.2,29
2023-10-02T00:00:00+00:00,0.5,0.5,30
2023-10-02T01:00:00+00:00,0.1,0.1,31
2023-10-02T02:00:00+00:00,0.4,0.4,35
2023-10-02T03:00:00+00:00,2.6,2.6,37
2023-10-02T04:00:00+00:00,1.7,1.7,39
2023-10-02T05:00:00+00:00,1.5,1.5,40
2023-10-02T06:00:00+00:00,1.7,1.7,39
2023-10-02T07:00:00+00:00,2.8,2.8,40
2023-10-02T08:00:00+00:00,3.5,3.5,40
2023-10-02T09:00:00+00:00,2.7,2.7,40
2023-10-02T10:00:00+00:00,2.8,2.8,41
2023-10-02T11:00:00+00:00,3.5,3.5,42
2023-10-02T12:00:00+00:00,3.5,3.5,42
2023-10-02T13:00:00+00:00,3.2,3.2,43
2023-10-02T14:00:00+00:00,2.7,2.7,44
2023-10-02T15:00:00+00:00,5.7,5.7,44
2023-10-02T16:00:00+00:00,13.3,13.3,36
2023-10-02T17:00:00+00:00,14.4,14.4,29
2023-10-02T18:00:00+00:00,12.6,12.6,30
2023-10-02T19:00:00+00:00,4.0,4.0,29
2023-10-02T20:00:00+00:00,0.6,0.6,27
2023-10-02T21:00:00+00:00,0.1,0.1,25
2023-10-02T22:00:00+00:00,0.0,0.0,23
2023-10-02T23:00:00+00:00,0.1,0.1,22
2023-10-03T00:00:00+00:00,0.1,0.1,23
2023-10-03T01:00:00+00:00,0.1,0.1,25
2023-10-03T02:00:00+00:00,0.4,0.4,28
2023-10-03T03:00:00+00:00,0.2,0.2,30
2023-10-03T04:00:00+00:00,0.4,0.4,32
2023-10-03T05:00:00+00:00,0.8,0.8,36
2023-10-03T06:00:00+00:00,1.0,1.0,39
2023-10-03T07:00:00+00:00,1.1,1.1,42
2023-10-03T08:00:00+00:00,1.5,1.5,43
2023-10-03T09:00:00+00:00,2.3,2.3,44
2023-10-03T10:00:00+00:00,2.4,2.4,45
2023-10-03T11:00:00+00:00,3.5,3.5,46
2023-10-03T12:00:00+00:00,4.6,4.6,47
2023-10-03T13:00:00+00:00,4.8,4.8,48
2023-10-03T14:00:00+00:00,6.3,6.3,50
2023-10-03T15:00:00+00:00,8.3,8.3,48
2023-10-03T16:00:00+00:00,6.3,6.3,37
2023-10-03T17:00:00+00:00,5.1,5.1,28
2023-10-03T18:00:00+00:00,3.8,3.8,28
2023-10-03T19:00:00+00:00,1.9,1.9,24
2023-10-03T20:00:00+00:00,0.4,0.4,21
2023-10-03T21:00:00+00:00,1.2,1.2,20
2023-10-03T22:00:00+00:00,1.9,1.9,20
2023-10-03T23:00:00+00:00,2.4,2.4,20
2023-10-04T00:00:00+00:00,1.7,1.7,20
2023-10-04T01:00:00+00:00,1.3,1.3,23
2023-10-04T02:00:00+00:00,2.4,2.4,27
2023-10-04T03:00:00+00:00,2.8,2.8,31
2023-10-04T04:00:00+00:00,2.3,2.3,34
2023-10-04T05:00:00+00:00,2.8,2.8,36
2023-10-04T06:00:00+00:00,3.0,3.0,38
2023-10-04T07:00:00+00:00,2.6,2.6,38
2023-10-04T08:00:00+00:00,2.4,2.4,38
2023-10-04T09:00:00+00:00,2.2,2.2,39
2023-10-04T10:00:00+00:00,2.3,2.3,42
2023-10-04T11:00:00+00:00,2.8,2.8,44
2023-10-04T12:00:00+00:00,2.8,2.8,46
2023-10-04T13:00:00+00:00,3.0,3.0,47
2023-10-04T14:00:00+00:00,3.6,3.6,47
2023-10-04T15:00:00+00:00,5.2,5.2,44
