time,u10,v10
2023-01-01T00:00,1.598,1.598
2023-01-01T01:00,1.996,1.017
2023-01-01T02:00,1.600,0.311
2023-01-01T03:00,2.306,-1.385
2023-01-01T04:00,3.188,-1.420
2023-01-01T05:00,3.098,-0.715
2023-01-01T06:00,1.701,-0.488
2023-01-01T07:00,1.705,-0.394
2023-01-01T08:00,1.600,0.000
2023-01-01T09:00,1.502,0.292
2023-01-01T10:00,0.997,1.107
2023-01-01T11:00,1.207,1.294
2023-01-01T12:00,0.604,0.694
2023-01-01T13:00,0.799,1.100
2023-01-01T14:00,0.806,2.101
2023-01-01T15:00,0.408,2.101
2023-01-01T16:00,1.278,3.010
2023-01-01T17:00,1.379,3.412
2023-01-01T18:00,1.790,3.100
2023-01-01T19:00,1.997,3.603
2023-01-01T20:00,2.883,2.019
2023-01-01T21:00,3.188,1.420
2023-01-01T22:00,1.193,1.704
2023-01-01T23:00,2.007,1.684
2023-01-02T00:00,1.607,0.491
2023-01-02T01:00,1.608,1.397
2023-01-02T02:00,0.604,0.895
2023-01-02T03:00,1.105,0.492
2023-01-02T04:00,1.495,0.210
2023-01-02T05:00,1.197,0.508
2023-01-02T06:00,0.204,0.401
2023-01-02T07:00,0.796,-0.198
2023-01-02T08:00,-0.499,0.901
2023-01-02T09:00,-0.403,0.403
2023-01-02T10:00,-0.604,0.694
2023-01-02T11:00,-0.694,0.604
2023-01-02T12:00,-0.797,0.498
2023-01-02T13:00,-0.603,1.003
2023-01-02T14:00,-0.499,0.901
2023-01-02T15:00,-0.694,0.604
2023-01-02T16:00,-0.995,-0.806
2023-01-02T17:00,-1.197,0.508
2023-01-02T18:00,-0.510,1.400
2023-01-02T19:00,0.901,0.499
2023-01-02T20:00,0.100,0.196
2023-01-02T21:00,0.399,0.301
2023-01-02T22:00,-0.796,-0.198
2023-01-02T23:00,-0.796,0.198
2023-01-03T00:00,-0.501,-0.202
2023-01-03T01:00,-0.701,-0.405
2023-01-03T02:00,-1.200,-0.000
2023-01-03T03:00,-1.103,0.194
2023-01-03T04:00,-0.701,-0.405
2023-01-03T05:00,-1.501,-0.798
2023-01-03T06:00,-0.696,0.505
2023-01-03T07:00,-1.101,0.295
2023-01-03T08:00,-0.796,-0.198
2023-01-03T09:00,-1.608,-1.397
2023-01-03T10:00,-1.600,-0.311
2023-01-03T11:00,-0.700,0.999
2023-01-03T12:00,-0.000,2.000
2023-01-03T13:00,-0.985,2.706
2023-01-03T14:00,2.118,4.989
2023-01-03T15:00,0.576,4.100
2023-01-03T16:00,2.019,4.998
2023-01-03T17:00,0.632,4.496
2023-01-03T18:00,0.992,4.297
2023-01-03T19:00,0.618,4.397
2023-01-03T20:00,0.587,3.704
2023-01-03T21:00,0.808,3.498
2023-01-03T22:00,0.194,3.705
2023-01-03T23:00,0.284,2.705
2023-01-04T00:00,0.105,1.997
2023-01-04T01:00,1.802,-0.999
2023-01-04T02:00,0.210,1.495
2023-01-04T03:00,-0.000,1.700
2023-01-04T04:00,0.715,3.098
2023-01-04T05:00,1.680,2.910
2023-01-04T06:00,0.910,2.500
2023-01-04T07:00,1.508,3.092
2023-01-04T08:00,1.200,2.695
2023-01-04T09:00,0.300,1.704
2023-01-04T10:00,-0.208,1.697
2023-01-04T11:00,-1.208,1.791
2023-01-04T12:00,-1.298,0.498
2023-01-04T13:00,-0.399,0.895
2023-01-04T14:00,-0.604,1.296
2023-01-04T15:00,-0.189,1.800
2023-01-04T16:00,-0.098,1.397
2023-01-04T17:00,-1.296,0.299
2023-01-04T18:00,-2.004,0.690
2023-01-04T19:00,-2.207,1.787
2023-01-04T20:00,-0.999,2.903
2023-01-04T21:00,-0.217,3.102
2023-01-04T22:00,0.683,2.102
2023-01-04T23:00,1.699,2.098
2023-01-05T00:00,1.313,3.093
2023-01-05T01:00,1.684,3.306
2023-01-05T02:00,2.899,2.899
2023-01-05T03:00,5.303,0.278
2023-01-05T04:00,3.603,-1.997
2023-01-05T05:00,0.701,0.405
2023-01-05T06:00,2.300,0.000
2023-01-05T07:00,1.204,0.695
