time_stamp,pm2.5_atm
2023-12-01T00:00:00+00:00,46.6
2023-12-01T01:00:00+00:00,45.8
2023-12-01T02:00:00+00:00,45.9
2023-12-01T03:00:00+00:00,41.3
2023-12-25T16:00:00+00:00,0.7
2023-12-25T17:00:00+00:00,4.1
2023-12-25T18:00:00+00:00,7.6
2023-12-25T19:00:00+00:00,10.4
2023-12-25T20:00:00+00:00,8.9
2023-12-25T21:00:00+00:00,9.5
2023-12-25T22:00:00+00:00,4.4
2023-12-25T23:00:00+00:00,3.8
2023-12-26T00:00:00+00:00,6.0
2023-12-26T01:00:00+00:00,5.2
2023-12-26T02:00:00+00:00,3.1
2023-12-26T03:00:00+00:00,1.0
2023-12-26T04:00:00+00:00,0.3
2023-12-26T05:00:00+00:00,0.1
2023-12-26T06:00:00+00:00,0.0
2023-12-26T07:00:00+00:00,0.1
2023-12-26T08:00:00+00:00,0.0
2023-12-26T09:00:00+00:00,0.1
2023-12-26T10:00:00+00:00,0.1
2023-12-26T11:00:00+00:00,0.8
2023-12-26T12:00:00+00:00,0.1
2023-12-26T13:00:00+00:00,0.0
2023-12-26T14:00:00+00:00,0.5
2023-12-26T15:00:00+00:00,1.9
2023-12-26T16:00:00+00:00,5.0
2023-12-26T17:00:00+00:00,6.4
2023-12-26T18:00:00+00:00,11.6
2023-12-26T19:00:00+00:00,19.7
2023-12-26T20:00:00+00:00,15.9
2023-12-26T21:00:00+00:00,14.0
2023-12-26T22:00:00+00:00,14.7
2023-12-26T23:00:00+00:00,15.9
2023-12-27T00:00:00+00:00,19.4
2023-12-27T01:00:00+00:00,23.8
2023-12-27T02:00:00+00:00,23.6
2023-12-27T03:00:00+00:00,24.1
2023-12-27T04:00:00+00:00,21.6
2023-12-27T05:00:00+00:00,22.8
2023-12-27T06:00:00+00:00,25.5
2023-12-27T07:00:00+00:00,29.0
2023-12-27T08:00:00+00:00,30.7
2023-12-27T09:00:00+00:00,32.2
2023-12-27T10:00:00+00:00,30.3
2023-12-27T11:00:00+00:00,30.3
2023-12-27T12:00:00+00:00,24.0
2023-12-27T13:00:00+00:00,22.7
2023-12-27T14:00:00+00:00,36.6
2023-12-27T15:00:00+00:00,5.0
2023-12-27T16:00:00+00:00,0.0
2023-12-27T17:00:00+00:00,20.3
