time,u10,v10
2023-10-01T00:00,-0.559,8.000
2023-10-01T01:00,4.519,5.580
2023-10-01T02:00,4.102,-3.694
2023-10-01T03:00,0.999,0.700
2023-10-01T04:00,1.103,-3.395
2023-10-01T05:00,-0.089,-5.099
2023-10-01T06:00,0.178,-3.405
2023-10-01T07:00,2.101,0.408
2023-10-01T08:00,0.105,1.195
2023-10-01T09:00,0.204,0.401
2023-10-01T10:00,-6.694,-0.941
2023-10-01T11:00,-0.422,3.001
2023-10-01T12:00,1.505,1.093
2023-10-01T13:00,-0.112,6.399
2023-10-01T14:00,0.174,4.997
2023-10-01T15:00,0.664,5.409
2023-10-01T16:00,-1.655,7.786
2023-10-01T17:00,1.775,5.805
2023-10-01T18:00,2.007,6.998
2023-10-01T19:00,3.213,6.588
2023-10-01T20:00,3.235,6.084
2023-10-01T21:00,1.410,4.094
2023-10-01T22:00,1.205,3.498
2023-10-01T23:00,0.300,1.704
2023-10-02T00:00,0.189,1.800
2023-10-02T01:00,-1.929,3.787
2023-10-02T02:00,-4.896,-1.497
2023-10-02T03:00,-5.909,-1.473
2023-10-02T04:00,-6.491,-1.618
2023-10-02T05:00,-5.909,-1.149
2023-10-02T06:00,-4.309,-2.291
2023-10-02T07:00,-4.901,-0.429
2023-10-02T08:00,-5.298,-0.745
2023-10-02T09:00,-2.608,1.694
2023-10-02T10:00,-2.491,1.618
2023-10-02T11:00,-5.390,-1.146
2023-10-02T12:00,-8.596,1.208
2023-10-02T13:00,-3.497,0.306
2023-10-02T14:00,-4.794,-1.107
2023-10-02T15:00,-3.092,1.508
2023-10-02T16:00,1.110,2.494
2023-10-02T17:00,2.198,-0.309
2023-10-02T18:00,2.480,-3.414
2023-10-02T19:00,3.395,-0.417
2023-10-02T20:00,3.295,0.405
2023-10-02T21:00,-0.000,1.400
2023-10-02T22:00,0.217,3.102
2023-10-02T23:00,0.997,1.107
2023-10-03T00:00,0.105,1.195
2023-10-03T01:00,-0.100,0.196
2023-10-03T02:00,-0.497,-0.299
2023-10-03T03:00,-1.107,-0.997
2023-10-03T04:00,-1.103,1.103
2023-10-03T05:00,-0.901,1.500
2023-10-03T06:00,1.387,1.909
2023-10-03T07:00,-0.904,-1.392
2023-10-03T08:00,-0.695,-1.204
2023-10-03T09:00,-1.195,-0.105
2023-10-03T10:00,-1.597,1.204
2023-10-03T11:00,-0.806,0.995
2023-10-03T12:00,-1.504,-0.702
2023-10-03T13:00,-0.608,-1.194
2023-10-03T14:00,0.297,-0.700
2023-10-03T15:00,0.095,-0.602
2023-10-03T16:00,1.503,-0.488
2023-10-03T17:00,1.001,0.405
2023-10-03T18:00,1.204,0.695
2023-10-03T19:00,1.497,-0.401
2023-10-03T20:00,2.022,-2.783
2023-10-03T21:00,1.807,-2.892
2023-10-03T22:00,0.487,-2.503
2023-10-03T23:00,1.706,-1.895
2023-10-04T00:00,0.803,-0.892
2023-10-04T01:00,0.796,0.198
2023-10-04T02:00,-1.294,0.906
2023-10-04T03:00,-3.494,-0.429
2023-10-04T04:00,-2.102,0.184
2023-10-04T05:00,-2.601,-0.506
2023-10-04T06:00,-2.907,-0.779
2023-10-04T07:00,-2.605,-1.385
2023-10-04T08:00,-2.202,-0.590
2023-10-04T09:00,-1.096,0.096
2023-10-04T10:00,-1.704,-0.300
2023-10-04T11:00,-1.205,0.191
2023-10-04T12:00,-1.003,0.603
2023-10-04T13:00,-1.496,-0.105
2023-10-04T14:00,0.204,0.401
2023-10-04T15:00,-1.001,0.405
2023-10-04T16:00,0.300,1.203
2023-10-04T17:00,0.799,0.602
2023-10-04T18:00,1.495,0.210
2023-10-04T19:00,2.604,-0.182
2023-10-04T20:00,2.598,-0.696
2023-10-04T21:00,2.696,-1.315
2023-10-04T22:00,1.681,-2.314
2023-10-04T23:00,1.684,-2.007
2023-10-05T00:00,1.589,-2.108
2023-10-05T01:00,0.489,-2.299
2023-10-05T02:00,-1.204,-1.597
2023-10-05T03:00,-1.710,1.385
2023-10-05T04:00,-2.400,-0.000
2023-10-05T05:00,-3.603,-0.700
2023-10-05T06:00,-3.191,-0.915
2023-10-05T07:00,-3.296,-0.701
2023-10-05T08:00,-3.202,-0.798
2023-10-05T09:00,-4.494,-0.712
2023-10-05T10:00,-4.501,-0.794
2023-10-05T11:00,-2.911,-1.176
2023-10-05T12:00,-0.997,-0.997
2023-10-05T13:00,-3.298,-0.115
2023-10-05T14:00,-4.304,0.377
2023-10-05T15:00,-2.598,-0.411
2023-10-05T16:00,0.505,0.696
2023-10-05T17:00,0.997,1.107
2023-10-05T18:00,2.197,0.714
2023-10-05T19:00,2.306,0.885
2023-10-05T20:00,3.196,-0.392
2023-10-05T21:00,2.899,-2.799
2023-10-05T22:00,2.192,-2.805
