city,N_requested,N_actual,seed,spatial_nrmse,ours_mae,stk_mae,margin_pct,folds_won
pittsburgh,12,12,0,0.945,4.265,4.762,10.44,5/5
pittsburgh,12,12,1,0.9068,4.366,4.9,10.9,5/5
pittsburgh,20,20,0,0.9174,4.319,4.618,6.46,5/5
pittsburgh,20,20,1,0.9188,3.973,4.489,11.49,5/5
pittsburgh,30,30,0,0.9364,3.896,4.32,9.82,5/5
pittsburgh,30,30,1,0.9191,3.972,4.459,10.92,5/5
pittsburgh,45,45,0,0.8739,4.043,4.459,9.34,5/5
pittsburgh,45,45,1,0.8823,3.984,4.457,10.62,5/5
slc,10,10,0,0.8157,4.827,5.061,4.62,5/5
slc,10,10,1,0.8062,8.344,8.885,6.09,5/5
slc,16,16,0,0.6795,7.638,7.918,3.53,4/5
slc,16,16,1,0.6756,8.095,8.563,5.47,5/5
slc,24,24,0,0.6369,6.878,7.124,3.45,5/5
slc,24,24,1,0.6419,6.264,6.517,3.88,5/5
fresno,8,8,0,0.9663,4.998,5.483,8.84,5/5
fresno,8,8,1,1.0235,5.959,6.196,3.83,5/5
fresno,12,12,0,0.7629,4.582,4.75,3.54,5/5
fresno,12,12,1,0.7916,3.934,4.31,8.72,5/5
