edge,src_station,dst_station,distance_m,wind_angle,wind_speed,delev_m,pm25_corr
0,120859,125725,1902.167,0.0,0.0,0.0,0.1825207
1,120859,129735,2445.9646,0.0,0.0,0.0,0.27186835
2,120859,146510,1921.3618,0.0,0.0,0.0,0.9505767
3,120859,147456,7714.71,0.0,0.0,0.0,-0.09496362
4,120859,180637,5200.4146,0.0,0.0,0.0,-0.045480255
5,121721,129117,4418.844,0.0,0.0,0.0,-0.025255915
6,121721,129243,2968.0945,0.0,0.0,0.0,-0.053052563
7,121721,130313,3808.6885,0.0,0.0,0.0,-0.08902362
8,121721,130329,1927.4126,0.0,0.0,0.0,0.09637945
9,121721,131279,3883.3835,0.0,0.0,0.0,-0.052051846
10,121721,131967,3843.7908,0.0,0.0,0.0,0.7994851
11,121721,133131,4477.407,0.0,0.0,0.0,0.24462591
12,121721,175953,3328.5808,0.0,0.0,0.0,-0.010108727
13,124223,124291,2780.5486,0.0,0.0,0.0,-0.015153015
14,124223,129281,2585.027,0.0,0.0,0.0,0.06684996
15,124223,133319,1199.0887,0.0,0.0,0.0,-0.0119542135
16,124223,65669,2940.6028,0.0,0.0,0.0,-0.09125058
17,124223,92321,3508.0474,0.0,0.0,0.0,-0.049105495
18,124291,124223,2780.5486,0.0,0.0,0.0,-0.015153015
19,124291,129281,824.5709,0.0,0.0,0.0,0.3675846
20,124291,133319,1905.8909,0.0,0.0,0.0,0.9088934
21,124291,180637,4525.78,0.0,0.0,0.0,-0.018028036
22,124291,65669,3024.9265,0.0,0.0,0.0,0.9519295
23,124291,92321,4246.6206,0.0,0.0,0.0,0.5826871
24,125725,120859,1902.167,0.0,0.0,0.0,0.1825207
25,125725,129735,1349.8304,0.0,0.0,0.0,0.0982106
26,125725,146510,654.03864,0.0,0.0,0.0,0.1574629
27,125725,147456,7050.1665,0.0,0.0,0.0,0.06133993
28,125725,180637,3345.468,0.0,0.0,0.0,0.09789848
29,128465,129587,1919.2428,0.0,0.0,0.0,0.7959672
30,128465,129637,1908.0481,0.0,0.0,0.0,0.13857736
31,128465,131967,5532.855,0.0,0.0,0.0,-0.05527502
32,128465,133131,3736.089,0.0,0.0,0.0,0.005456151
33,128465,144040,1531.6577,0.0,0.0,0.0,0.188038
34,129117,121721,4418.844,0.0,0.0,0.0,-0.025255915
35,129117,129243,3871.0715,0.0,0.0,0.0,0.03330568
