edge,src_station,dst_station,distance_m,wind_angle,wind_speed,delev_m,pm25_corr
0,120859,121721,891.252,40.983864,1.9980391,-12.8016,-0.0751821
1,120859,129117,106.32377,41.22171,2.0045013,3.9624,0.35336098
2,120859,129587,168.16339,41.087433,2.0042677,9.7536,0.70549166
3,120859,129637,260.85602,41.265358,2.0031438,-8.8392,0.16594367
4,120859,129735,265.21503,41.31699,2.0051675,-2.1336,0.27186835
5,120859,144040,390.82135,40.92948,2.0033057,13.1064,0.15356039
6,120859,65669,336.55624,41.347733,2.0056796,-2.1336,0.95055825
7,121721,120859,891.252,40.983864,1.9980391,12.8016,-0.0751821
8,121721,125725,1019.26843,41.417095,1.9942123,-11.8872,0.1835118
9,121721,128465,1087.4429,40.880116,1.9859726,0.3048,-0.019073542
10,121721,129263,858.75507,40.311703,1.9920175,16.4592,-0.012650483
11,121721,129637,787.154,41.084133,1.9972367,3.9624,0.036402628
12,121721,133319,535.1002,40.740757,1.9887096,4.2672,-0.08974144
13,121721,180637,632.02795,40.495625,1.9932505,15.8496,-0.12078734
14,124223,130313,1319.275,42.84861,2.0161533,-19.812,-0.072735965
15,124223,133131,271.83206,42.44815,2.0201788,-0.3048,0.034614347
16,124223,146510,839.9676,42.10218,2.0173755,25.2984,-0.096313894
17,124223,147456,857.8697,42.26175,2.016212,7.3152,-0.4406547
18,124223,175953,580.5006,42.516212,2.0252168,6.4008,-0.09830857
19,124223,92321,1010.6881,42.097755,2.0238307,53.6448,-0.049105495
20,124291,129243,1008.4401,39.946407,1.9979502,-28.956,0.19745594
21,124291,129263,929.8961,40.093204,1.9980239,-35.052,0.34506094
22,124291,129281,225.87816,40.29831,2.0050638,5.4864,0.3675846
23,124291,129587,554.6129,40.68621,2.0043075,-28.956,0.7143784
24,124291,131279,569.4446,40.581505,2.0076332,-3.3528,0.9894772
25,124291,131967,627.1596,40.69684,2.0072713,-0.3048,-0.081669554
26,124291,144040,346.40433,40.528076,2.003384,-25.6032,0.15285757
27,124291,180637,748.4832,40.27671,1.9992325,-35.6616,-0.018028036
28,125725,121721,1019.26843,41.417095,1.9942123,11.8872,0.1835118
29,125725,128465,1306.8054,41.497696,1.9880515,12.192,0.18419172
