node,station_id,lat,lon,x_utm_m,y_utm_m,elev_m
0,120859,39.975098,-105.150894,487115.0532906136,4425004.246731026,1666.0368
1,121721,39.96723,-105.15298,486935.4303367701,4424131.28296281,1653.2352
2,124223,39.985016,-105.13926,488110.2083349073,4426103.428429054,1648.6632000000002
3,124291,39.97677,-105.15895,486427.47613445634,4425191.016720117,1704.7464
4,125725,39.9675,-105.14105,487954.3061613647,4424159.570930374,1641.3480000000002
5,128465,39.95777,-105.149666,487216.6861505867,4423080.841532615,1653.5400000000002
6,129117,39.975685,-105.14991,487199.18730465724,4425069.256047954,1669.9992
7,129243,39.96932,-105.16571,485848.7123179604,4424365.193543711,1675.7904
8,129263,39.96893,-105.16279,486097.99533257633,4424321.4483560445,1669.6944
9,129281,39.978428,-105.160484,486296.82106893044,4425375.272508748,1710.2328
10,129587,39.975918,-105.15255,486973.80188638676,4425095.498951153,1675.7904
11,129637,39.973495,-105.14866,487305.5196585929,4424826.009719948,1657.1976000000002
12,129735,39.976246,-105.14817,487347.86938903213,4425131.273033565,1663.9032000000002
13,130313,39.97468,-105.13163,488759.95211887435,4424955.247426065,1628.8512
14,130329,39.97972,-105.151306,487080.7426855473,4425517.301438951,1690.116
15,131279,39.98117,-105.15552,486721.2109717196,4425678.855830823,1701.3936
16,131967,39.980217,-105.15313,486925.0951717677,4425572.729270245,1704.4416
17,133131,39.98297,-105.14101,487960.43701561465,4425876.577773526,1648.3584
18,133319,39.962414,-105.15327,486909.7457324977,4423596.799500839,1657.5024
19,144040,39.975166,-105.15547,486724.31836392253,4425012.4651973825,1679.1432
20,146510,39.980633,-105.14728,487424.6700499399,4425618.059704169,1673.9616
21,147456,39.97809,-105.14372,487728.18169602676,4425335.316454451,1655.9784000000002
22,175953,39.99007,-105.14101,487961.68329707923,4426664.606909099,1655.064
23,180637,39.970036,-105.15942,486386.0074626385,4424443.683152529,1669.0848
24,65669,39.976864,-105.14769,487388.969857072,4425199.79676272,1663.9032000000002
25,92321,39.99013,-105.149055,487274.87579834,4426672.383598538,1702.308
